Phrase	Transcription	Notes
{{c1::إِنْتِ مِنِينْ::Skąd jesteś}}؟	{{c1::Enti mnēn}}?	r.ż.
أنَا {{c1::مِنْ مَصْر::z Egiptu}}.	Anā {{c1::min Maṣr}}.
أنَا {{c1::مِنْ أَمْرِيكَا::z Ameryki}}.	Anā {{c1::min Amrīkā}}.
أنَا {{c1::مِنْ فَرَنْسَا::z Francji}}.	Anā {{c1::min Faransā}}.
أنَا {{c1::مِنْ بِرِيطَانْيا::z Wielkiej Brytanii}}.	Anā {{c1::min Briṭānyā}}.
أنَا {{c1::مِنْ إِنْجِلْتِرَا::z Anglii}}.	Anā {{c1::min Ingilterā}}.
أنَا {{c1::مِنْ أَسْبَانْيا::z Hiszpanii}}.	Anā {{c1::min Esbānyā}}.
أنَا {{c1::مِنْ أَلْمَانْيَا::z Niemiec}}.	Anā {{c1::min Almānyā}}.
أنَا {{c1::مِنْ الْإِمَارَاتْ::z Emiratów}}.	Anā {{c1::min el-ʾImārāt}}.
أنَا {{c1::مِنْ إِيرَان::z Iranu}}.	Anā {{c1::min īrān}}.
أنَا {{c1::مِنْ الْعِرَاق::z Iraku}}.	Anā {{c1::min el-ʿIrāq}}.
أنَا {{c1::مِنْ السُّودَان::z Sudanu}}.	Anā {{c1::min es-Sūdān}}.
أنَا {{c1::مِنْ نُيوزلَانْدا::z Nowej Zelandii}}.	Anā {{c1::min Nyū Zilāndā}}.
أنَا {{c1::مِنْ الصِّينْ::z Chin}}.	Anā {{c1::min eṣ-Ṣīn}}.
أنَا {{c1::مِنْ اليَابَانْ::z Japonii}}.	Anā {{c1::min el-Yābān}}.
أنَا {{c1::مِنْ كُورْيَا::z Korei}}.	Anā {{c1::min Kūryā}}.
أنَا {{c1::مِنْ مَنْغُولْيَا::z Mongolii}}.	Anā {{c1::min Manġūlyā}}.
أنَا {{c1::مِنْ الْأَرْجَنْتِينْ::z Argentyny}}.	Anā {{c1::min el-ʾArgentīn}}.
أنَا {{c1::مِنْ الْبُرْتُغَالْ::z Portugalii}}.	Anā {{c1::min el-Burtuġāl}}.
أنَا {{c1::مِنْ فِنْلَنْدَا::z Finlandii}}.	Anā {{c1::min Finlandā}}.
أنَا {{c1::مِنْ بَلْغَارْيَا::z Bułgarii}}.	Anā {{c1::min Bulġāryā}}.
{{c1::إِنْتُواْ مِنِينْ::Skąd jesteście}}؟	{{c1::Entū mnēn}}?
إِحْنَا {{c1::مِنْ أَمْرِيكَا::z Ameryki}}.	Eḥnā {{c1::min Amrīkā}}.
إِحْنَا {{c1::مِنْ مَصْر::z Egiptu}}.	Eḥnā {{c1::min Maṣr}}.
إِحْنَا {{c1::مِنْ الْقَاهِرَة::z Kairu}}.	Eḥnā {{c1::min el-Qāhira}}.
إِحْنَا {{c1::مِنْ هِنَا::stąd}}.	Eḥnā {{c1::min hinā}}.
إِحْنَا {{c1::مِنْ هِنَاكْ::stamtąd}}.	Eḥnā {{c1::min hināk}}.
إِحْنَا {{c1::مِنْ بَلَدْ تَانْيَة::z innego kraju}}.	Eḥnā {{c1::min balad tānya}}.
{{c1::إِحْنَا أَجَانِبْ::jesteśmy cudzoziemcami}} مِنْ بَلَدْ تَانْيَة.	{{c1::Eḥna agānib}} min balad tānya.
إِحْنَا {{c1::مِنْ الْيُونَان::z Grecji}}.	Eḥna {{c1::min el-Yūnān}}.
إِحْنَا {{c1::مِنْ إِسْتُرَالْيَا::z Australii}}.	Eḥnā {{c1::min Ostrālyā}}.
إِحْنَا {{c1::مِنْ بُورْمَا::z Birmy}}.	Eḥnā {{c1::min Būrmā}}.
إِحْنَا {{c1::مِنْ الْهِنْدْ::z Indii}}.	Eḥnā {{c1::min el-Hind}}.
إِحْنَا {{c1::مِنْ بَاكِسْتَانْ::z Pakistanu}}.	Eḥnā {{c1::min Bākistān}}.
إِحْنَا {{c1::مِنْ أَفْغَانِسْتَان::z Afganistanu}}.	Eḥnā {{c1::min Afġānistān}}.
إِحْنَا {{c1::مِنْ أَرْمِينْيَا::z Armenii}}.	Eḥnā {{c1::min Armīnyā}}.
إِحْنَا {{c1::مِنْ جُورْجِيَا::z Gruzji}}.	Eḥnā {{c1::min Jūrjiyā}}.
{{c1::إِيهْ هِيَّ::Jaka jest}} جِنْسِيِّتَكْ؟	{{c1::ē hiyya}} ginsiyyitak?
{{c1::جِنْسِيِّتَكْ::twoja narodowość}} إِيه؟	{{c1::Ginsiyyitak}} ē?	r.m.
أنَا {{c1::بُولَنْدِي::jestem Polakiem}}.	Anā {{c1::būlandī}}.
أنَا {{c1::مَصْرِي::jestem Egipcjaninem}}.	Anā {{c1::maṣrī}}.
أنَا {{c1::إِنْجِلِيزِي::jestem Anglikiem}}.	Anā {{c1::inglīzī}}.
أنَا {{c1::تُرْكِي::jestem Turkiem}}.	Anā {{c1::turkī}}.
أنَا {{c1::إِيرَانِي::jestem Irańczykiem}}.	Anā {{c1::īrānī}}.
أنَا {{c1::رُوسِي::jestem Rosjaninem}}.	Anā {{c1::rūsī}}.
أنَا {{c1::يُونَانِي::jestem Grekiem}}.	Anā {{c1::yūnānī}}.
أنَا {{c1::أَسْبَانِي::jestem Hiszpanem}}.	Anā {{c1::esbānī}}.
أنَا {{c1::فَرَنْسَاوِي::jestem Francuzem}}.	Anā {{c1::faransāwī}}.
أنَا {{c1::بُرْتُغَالِي::jestem Portugalczykiem}}.	Anā {{c1::burtuġālī}}.
أنَا {{c1::سُعُودِي::jestem Saudyjczykiem}}.	Anā {{c1::suʿūdī}}.
أنَا {{c1::أُرْدُنِي::jestem Jordańczykiem}}.	Anā {{c1::urdunī}}.
أنَا {{c1::أَلْمَانِي::jestem Niemcem}}.	Anā {{c1::almānī}}.
أنَا {{c1::عُمَانِي::jestem Omańczykiem}}.	Anā {{c1::ʿumānī}}.
أنَا {{c1::تُونِسِي::jestem Tunezyjczykiem}}.	Anā {{c1::tūnisī}}.
أنَا {{c1::جَزَائِرِي::jestem Algierczykiem}}.	Anā {{c1::gazāʾirī}}.
أنَا {{c1::مَغْرِبِي::jestem Marokańczykiem}}.	Anā {{c1::maġrebī}}.
أنَا {{c1::إِسْرَائِيلِي::jestem Izraelczykiem}}.	Anā {{c1::isrāʾīlī}}.
أنَا {{c1::فِلِسْطِينِي::jestem Palestyńczykiem}}.	Anā {{c1::filisṭīnī}}.
أنَا {{c1::لِبْنَانِي::jestem Libańczykiem}}.	Anā {{c1::libnānī}}.
إِنْتِ {{c1::جِنْسِيِّتِكْ إِيه::jakiej jesteś narodowości}}؟	Enti {{c1::ginsiyyitik ē}}?
{{c1::إِيهْ هِيَّ::Jaka jest}} جِنْسِيِّتِكْ؟	{{c1::ē hiyya}} ginsiyyitik?
