Text	Transcription	IPA	Description	Notes
人	rén		człowiek	
大	dà		duży; wielki	
太	tài		zbyt	
犬	quǎn		pies	
天	tiān		niebo; dzień	
夫	fū		mąż	
矢	shǐ		strzała; przysięga	
失	shī		stracić; utracić; nie trafić	
知	zhī		znać; wiedzieć	
八	bā		osiem	
六	liù		sześć	
只	zhǐ		tylko	
火	huǒ		ogień	
央	yāng		centrum	
厂	hàn		urwisko
广	yǎn		przestronny	
石	shí		kamień; skała	
斤	jīn		pół kilograma	
兵	bīng		żołnierz; wojsko	
尸	shī		trup	
戶	hù		drzwi; gospodarstwo domowe	
爪	zhǎo		szpony	
瓜	guā		melon; dynia; tykwa	
非	fēi		nie; nieprawda; Afryka	
川	chuān		rzeka; strumień	
齊	qí		równy; jednorodny; symetryczny	
