Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
هُوَ			on	
هُمْ			oni	
أَنْتَ			ty	r. m.
أَنْتُمْ			wy	
أَنَا			ja	
نَحْنُ			my	
كَبِيرٌ	sg		duży	
كِبَارٌ	pl		duzi	
صَغِيرٌ	sg		mały	
صِغَارٌ	pl		mali	
# === 2 ===
نَحْنُ			my	
هِىَ			ona	
هُنَّ			one	
اَنْتِ			ty	
اَنْتُنَّ			wy	
اَنَا			ja	
كَبِيرَةٌ	sg		duża	
كَبِيرَاتٌ	pl		duże	
صَغِيرَةٌ	sg		mała	
صَغِيرَاتٌ	pl		małe	
# === 3 ===
هَذَا			ten	
هَذِهِ			ta	
هَؤُلاَءِ			ci, te	
رَجُلٌ	sg		mężczyzna	
رِجَالٌ	pl		mężczyźni	
اِمْرَأَةٌ	sg		kobieta	
نِسَاءٌ	pl		kobiety	
طَوِيلٌ	sg		wysoki	
طِوَالٌ	pl		wysocy	
قَصِيرٌ	sg		niski	
قِصَارٌ	pl		niscy	
# === 4 ===
مُعَلِّمٌ	sg		nauczyciel	
معَلِّمُونَ	pl		nauczyciele	
تِلْمِيذٌ	sg		uczeń	
تَلاَمِيذُ	pl		uczniowie	
تَلاَمِذَةٌ	pl		uczniowie	
مُعَلِّمَةٌ	sg		nauczycielka	
مُعَلِّمَاتٌ	pl		nauczycielki	
تِلْمِيذَةٌ	sg		uczennica	
مَنْ؟			kto?	
# === 5 ===
كِتَابٌ	sg		książka	
كُتُبٌ	pl		książki	
دَفْتَرٌ	sg		zeszyt	
دَفَاتِرُ	pl		zeszyty	
مِحْفَظَةٌ	sg		teczka	
مَحَافِظُ	pl		teczki	
قَلَمٌ	sg		pióro	do pisania
اَقْلاَمٌ	pl		pióra	do pisania
مَا؟			co?	
مَا هَذَا؟			co to jest?	
لِمَنْ؟			czyj?	
لِلْمُعَلِّمِ			należący do nauczyciela	
# === 6 ===
بَيْتٌ	sg		dom	
بُيُوتٌ	pl		domy	
حُجْرَةٌ	sg		pokój	
حُجُرَاتٌ	pl		pokoje	
مَدْرَسَةٌ	sg		szkoła	
مَدَارِسُ	pl		szkoły	
ذَاكَ			tamten	
تِلْكَ			tamta	
اُولَئِكَ			tamci	
اَيْنَ؟			gdzie?	
هُنَا			tutaj	
هُنَاكَ			tam	
فِى			w	
فِى الْمَدْرَسَةِ			w szkole	
فِى الْحُجْرَةِ			w pokoju	
فَصْلٌ	sg		klasa	
فُصُولٌ	pl		klasy	
# === 7 ===
جَرِيدَةٌ	sg		gazeta	
جَرَائِدُ	pl		gazety	
مَجَلَّةٌ			czasopismo	
عَرَبِيٌّ			arabski	
رُوسِيٌّ			rosyjski	
جَمِيلٌ			ładny; piękny	
وَ			i; a	
كِتَابٌ وَ دَفْتَرٌ			książka i zeszyt	
لَهُ			on ma	
لَهَا			ona ma	
لَكَ			ty masz	
لَكِ			ty masz	
لِي			ja mam	
# === 8 ===
كَلْبٌ	sg		pies	
كِلاَبٌ	pl		psy	
دِيكٌ	sg		kogut	
دِيَكَةٌ	pl		koguty	
دَجَاجَةٌ			kura	
مَكْتَبَةٌ	sg		biblioteka; księgarnia	
مَكَاتِبُ	pl		biblioteki; księgarnie	
هَلْ؟			czy?	
نَعَمْ			tak	
لاَ			nie	
لَيْسَ			on nie jest	
لَيْسَتْ			ona nie jest	
# === 9 ===
دَرْسٌ	sg		lekcja	
دُرُوسٌ	pl		lekcje	
إِقْرَأْ	m		czytaj	
إِقْرَئِي	f		czytaj	
أُدْخُلْ			wejdź	
أُخْرُجْ			wyjdź	
أُكْتُبْ			pisz	
يَا			o! ej!	partykuła wołacza
يَا مُحَمَّدُ			O, Muhammadzie!	
يَا فَاطِمَةُ			O, Fatimo!	
يَا مُحَمَّدُ اقْرَأْ			Muhammadzie, czytaj!	
يَا فَاطِمَةُ اقْرَئِي			Fatimo, czytaj!	
مِنْ			z; od	przedimek
مِنَ الْبَيْتِ			z domu	
# === 10 ===
مَقْعَدُ التِّلْمِيذِ			ławka szkolna	
يَقْرَأُ			czyta	
يَكْتُبُ			pisze	
خُذْ	m		weź	
خُذِي	f		weź	
هَاتِ	m		daj	
هَاتِي	f		daj	
وَرقٌ	sg		papier	
أَوْرَاقٌ	pl		papiery	
كُرْسِيٌّ	sg		krzesło	
كَرَاسِيُّ	pl		krzesła	
# === 11 ===
مَدِينَةٌ	sg		miasto	
مُدُنٌ	pl		miasta	
مَكْتَبٌ			biurko	
مَكَاتِبُ			biurka	
كَاتِبٌ			pisarz	
كُتَّابٌ			pisarze	
كَاتِبَةٌ			pisarka	
مَكْتَبُ الْمُعَلِّمِِ			biurko nauczyciela	
عَلَى			na	
عَلَى مَقْعَدِ التِّلْمِيذِ			na ławce ucznia	
عَلَيْهِ			na nim	
بَلْ			przeciwnie; a	
# === 12 ===
وَلَدٌ			chłopiec	
أَوْلاَدٌ			dzieci	
خُبْزٌ			chleb	
أَخْبَازٌ			chleby	
كُوبٌ			szklanka	
أَكْوَابٌ			szklanki	
لَبَنٌ			mleko	
