Phrase	Grammar	Transcription	Translation	Notes
# === 0 ===
مُوريتانْيا			Mauretania	
المَغْرِب			Maroko	
الجَزائِر			Algieria	
تونِس			Tunezja	
ليبيا			Libia	
مِصْر			Egipt	
فِلَسْطين			Palestyna	
لُبْنان			Liban	
سورِيا			Syria	
الأُرْدُنّ			Jordania	
العِراق			Irak	
الكُوَيْت			Kuwejt	
البَحْرَيْن			Bahrejn	
قَطَر			Katar	
الإمارات			Emiraty	
السَّعوديّة			Arabia Saudyjska	
عُمان			Oman	
اليَمَن			Jemen	
السّودان			Sudan	
جيبوتي			Dżibuti	
جُزُر القُمُر			Komory	
أب، آباء			ojciec, ojcowie	
بات			przenocował	
أثاث			meble	
إجابات			odpowiedzi	
باحِث			badacz	
أخ			brat	
أُخْت			siostra	
أُحِبّ			lubię	
أَحَبَّت			lubiła	
تَحْت			pod	
جِدّاً			bardzo	
حِجاب			chusta na głowę	
دَجاج			kura	
خُذ!			weź!	
أَخْبار			wiadomości	
خُبْز			chleb	
دَرْس			lekcja	
شَرِب			pił	
صَباح			poranek	
أَخْضَر			zielony	
بَطاطا			ziemniaki	
حَظّ			szczęscie	
عَرَب			Arabowie	
غَرْب			Zachód; Okcydent	
تُفّاح			jabłka	
شَرْق			Wschód; Orient	
شُكْراً			dziękuję	
رَجُل			mężczyzna	
لا			nie	
القُرْآن			Koran	
سَلام			pokój	
أَهْلاً			cześć	
لُغَة			język	
قَهْوة			kawa	
نُور			światło	
جَوْلة			wycieczka objazdowa	
سُؤَال			pytanie	
ألْمانْيا			Niemcy	
فِي			w	
بَيْت			dom	
أَسْئِلة			pytania	
إِلَى			do	
شَمْس			słońce	
قَمَر			księżyc	
صِفْر			zero	
واحِد			jeden	
إِثْنَيْن			dwa	
ثَلاثة			trzy	
أَرْبَعة			cztery	
خَمْسة			pięć	
سِتّة			sześć	
سَبْعة			siedem	
ثَمَانْية			osiem	
تِسْعة			dziewięć	
عَشَرة			dziesięć	
نَحْنُ			my	
# === 1 ===
أَنْتَ			ty	r. m.
نَحْنُ			my	
هَذِهِ			ta	
وَ			i; a	
الأُرْدُنّ			Jordania	
أُحِبّ			lubię	
لا			nie	
ألْمانْيا			Niemcy	
اِسْم			imię	
جِنْسِيَّة			narodowość	
مصري			egipski	
تاريخ الميلاد			data urodzenia	
مَكان الميلاد			miejsce urodzenia	
القاهرة			Kair	
سوريَّة			syryjska	
دِمَشْق			Damaszek	
أَهلاً			cześć	
يا			o!	
أَهْلاً بِك			cześć ci	
كَيْف			jak	
كَيْف الحال؟			Jak się masz?	
أَنا			ja	
بِخَيْر			dobrze	
كَيْف حالَك؟			Jak się masz?	
الحَمْدُ لِلّه			dzięki Bogu	
كُلّ شَيْء			wszystko	
تَمام			dobrze	
هَؤُلاء			ci	
أصْدِقَائي			moi przyjaciele	
هَذا			ten	
تَشَرَّفْنا			to zaszczyt	
أَهْلاً وَسَهْلاً!			Witaj!	
ما			co	
ما اِسْمَك؟			Jak się nazywasz?	
اِسْمي			nazywam się	
مِن أَيْنَ			skąd	
أَنْتُم			wy	r. m.
مِن			z	
فِلَسْطينيَّة			palestyńska	
هَل			czy	
إنْكْليزي			angielski	
أَلْماني			niemiecki	
تَتَكَلَّم			mówisz	
عَرَبي			arabski	
نَعَم			tak	
أَدْرُس			uczę się	
في			w	
لُغة			język	
جَيِّداً			dobrze	
شُكْراً جَزيلاً			dziękuję bardzo	
فُرْصة سَعيدة			cieszę się	
مَع السَّلامة			do widzenia	
إلى اللِّقاء			do zobaczenia	
إن شاء اللّه			jeśli taka będzie wola Boska	
