Phrase	Grammar	Transcription	Translation	Notes
مُوريتانْيا			Mauretania	
المَغْرِب			Maroko	
الجَزائِر			Algieria	
تونِس			Tunezja	
ليبيا			Libia	
مِصْر			Egipt	
فِلَسْطين			Palestyna	
لُبْنان			Liban	
سورِيا			Syria	
الأُرْدُنّ			Jordania	
العِراق			Irak	
الكُوَيْت			Kuwejt	
البَحْرَيْن			Bahrejn	
قَطَر			Katar	
الإمارات			Emiraty	
السَّعوديّة			Arabia Saudyjska	
عُمان			Oman	
اليَمَن			Jemen	
السّودان			Sudan	
جيبوتي			Dżibuti	
جُزُر القُمُر			Komory	
أب، آباء			ojciec, ojcowie	
بات			przenocował	
أثاث			meble	
إجابات			odpowiedzi	
باحِث			badacz	
أخ			brat	
أُخْت			siostra	
أُحِبّ			lubię	
أَحَبَّت			lubiła	
تَحْت			pod	
جِدّاً			bardzo	
حِجاب			chusta na głowę	
دَجاج			kura	
خُذ!			weź!	
أَخْبار			wiadomości	
خُبْز			chleb	
دَرْس			lekcja	
شَرِب			pił	
صَباح			poranek	
أَخْضَر			zielony	
بَطاطا			ziemniaki	
حَظّ			szczęscie	
عَرَب			Arabowie	
غَرْب			Zachód; Okcydent	
تُفّاح			jabłka	
شَرْق			Wschód; Orient	
شُكْراً			dziękuję	
رَجُل			mężczyzna	
لا			nie	
القُرْآن			Koran	
سَلام			pokój	
نَحْنُ			my	
أَهْلاً			cześć	
لُغَة			język	
قَهْوة			kawa	
نُور			światło	
جَوْلة			wycieczka objazdowa	
سُؤَال			pytanie	
ألْمانْيا			Niemcy	
فِي			w	
بَيْت			dom	
أَسْئِلة			pytania	
إِلَى			do	
شَمْس			słońce	
قَمَر			księżyc	
صِفْر			zero	
واحِد			jeden	
إِثْنَيْن			dwa	
ثَلاثة			trzy	
أَرْبَعة			cztery	
خَمْسة			pięć	
سِتّة			sześć	
سَبْعة			siedem	
ثَمَانْية			osiem	
تِسْعة			dziewięć	
عَشَرة			dziesięć	
