Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
خَرَجَ			wyszedł	
دَخَلَ			wszedł	
شَرِبَ			pił	
أَكَلَ			jadł	
قَرَأَ			czytał	
سَمِعَ			słyszał	
مَدْرَسَةٌ			szkoła	
مَدِينَةٌ			miasto	
نَافِذَةٌ			okno	
كُرْسِيٌّ			krzesło	
شَارِعٌ			ulica	
# === 3 ===
هَذِهِ			ta	
مِنْ			z; od	przedimek
فِي			w	
ذَهَبَ			poszedł	
يَذْهَبُ			idzie	
العَامِلُ			robotnik	
العُمَّالُ			robotnicy	
إلَى			do	
المَصْنَعُ			fabryka	
المَصَانِعُ			fabryki	
صَبَاحًا			rano	
عَمِلَ			pracował	
تَعْمَلُ			pracuje	ona
الآنِسَة			młoda kobieta	
الأَوَانِسُ			młode kobiety	
دَارُ البَلَدِيَّةِ			urząd miasta	
شَاهَدَ			oglądał	
نُشَاهِدُ			oglądamy	
الفِيلْمُ			film	
الأَفْلَامَ			filmy	
التَّلْفَزَة			telewizja	
سَكَنَ			mieszkał	
أَسْكُنُ			mieszkam	
قُرْبَ			blisko	
الدَّائِرَةُ			podprefektura	
الدَّوائِرُ			podprefektury	
صُنْدُوقٌ			kasa	
صَنَادِيقُ			kasy	
الضَّمَانُ			ubezpieczenie	
الإِجْتِمَاعِي			społeczny	
نَزَلَ			wysiadł	
يَنْزِلُ			wysiada	
النَّاسُ			ludzie	
القِطَارُ			pociąg	
القُطُرُ			pociągi	
