Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
هُوَ			on	
هَذِهِ			ta	
جَمِيلٌ			ładny; piękny	
وَ			i; a	
مَدِينَةٌ			miasto	
بَيْتٌ			dom	
بُيُوتٌ			domy	
كَبِيرٌ			duży	
كِبَارٌ			duzi	
بِنْتٌ			dziewczynka; córka	
بَنَاتٌ			dziewczynki; córki	
تِلْمِيذٌ			uczeń	
تَلَامِيذُ			uczniowie	
ذَكِيٌّ			zdolny	
أَذْكِيَاءُ			zdolni	
هِيَ			ona	
شَاطِرٌ			sprytny; zręczny	
شُطَّارٌ			sprytni; zręczni	
مُدُنٌ			miasta	
مُهَنْدِسٌ			inżynier	
مُمَرِّضَةٌ			pielęgniarka	
# === 2 ===
هُمْ			oni	
أَنْتَ			ty	r. m.
نَحْنُ			my	
هُنَّ			one	
عَلَى			na	
طَاوِلَةٌ			stół	
فِي			w	
أَنْتُم			wy	r. m.
مَدْرَسَةٌ			szkoła	
نَافِذَةٌ			okno	
كُرْسِيٌّ			krzesło	
أَنْتِ			ty	r. ż.
أَنْتُنَّ			wy	r. ż.
مُوَاطِنٌ			obywatel	
بُولُونِيٌّ			polski	
رَجُلٌ			mężczyzna; człowiek	
رِجَالٌ			mężczyźni; ludzie	
كَذَلِكَ			też; także	
صُحُفِي			dziennikarz	
غُرْفَةٌ			pokój; izba	
غُرَفٌ			pokoje; izby	
كَرَاسِيُّ			krzesła	
سَرِيرٌ			łóżko	
أَسِرَّةٌ			łóżka	
قَدِيمٌ			stary	
نَوَافِذُ			okna	
ثَانَوِيٌّ			wtórny; drugiego stopnia	
سَلِيمٌ			cały; nieuszkodzony	
طَاوِلَاتٌ			stoły	
مَدَارِسُ			szkoły	
مَنْ			kto	
مَرِيضٌ			chory	
مَرْضَى			chorzy	
هَلْ			czy	
أَيْنَ			gdzie	
أَكْلٌ			jedzenie	
أَوْ			albo; lub	
أَلْآنَ			teraz	
فَلَّاحٌ			chłop; fellah	
مَصْنَعٌ			fabryka	
مَصَانِعٌ			fabryki	
عَامِلٌ			robotnik	
عُمَّالٌ			robotnicy	
# === 3 ===
سَيَّارَةٌ			samochód	
حَدِيثٌ			nowoczesny; nowy	
عَمَلٌ			praca	
أَعْمَالٌ			prace	
شَاقٌّ			trudny; męczący; ciężki	
صَعْبٌ			trudny	
سَهْلٌ			łatwy	
كُرَةٌ			piłka; kula	
هَؤُلاءِ			ci	
أُولَئِكَ			tamci	
أَجْنَبِيٌّ			zagraniczny; obcy; cudzoziemiec	
أَجَانِبُ			cudzoziemcy	
جَرِيدَةٌ			gazeta	
جَرَائِدُ			gazety	
عَصْرِيٌّ			nowoczesny; najnowszy	
مَنْزِلٌ			mieszkanie	
مَنَازِلُ			mieszkania	
وَاقِعٌ			leżący; leży; znajduje się	
وَسَطٌ			środek; centrum	
أَوْسَاطٌ			środki; centra	
نَيِّرٌ			jasny	
مَطْبَخٌ			kuchnia	
مَطَابِخُ			kuchnie	
حَمَّامٌ			łazienka	
حَمَّامَاتٌ			łazienki	
مَغْسَلَةٌ			umywalnia	
مَفْرُوشٌ			zasłany; wysłany	
ضَيْفٌ			gość	
ضُيُوفٌ			goście	
سَجَّادَةٌ			dywan	
سَجَاجِيدُ			dywany	
مُلَوَّنٌ			kolorowy	
سِتَارَةٌ			firanka	
سَتَائِرُ			firanki	
حَرِيرٌ			jedwab	
جِهَازٌ			aparat	
أَجْهِزَةٌ			aparaty	
تِلِفِيزِيُونٌ			telewizja	
رَادِيُو			radio	
صَغِيرٌ			mało	
حَائِطٌ			ściana	
حِيطَانٌ			ściany	
مُعَلَّقٌ			zawieszony	
غِطَاءٌ			obrus	
أَغْطِيَةٌ			obrusy	
مُسْتَدِيرٌ			okrągły	
صُورَةٌ			obraz	
صُوَرٌ			obrazy	
بِرْوَازٌ			rama	
بَرَاوِيزُ			ramy	
عِدَّةٌ			pewna ilość; kilka	
مَسْكَنٌ			mieszkanie	
مَسَاكِنُ			mieszkania	
كُلٌّ			każdy; każda	
مُؤَلَّفٌ مِنْ			składający się z; składa się z	
بَعْضٌ			kilka	
