Phrase	Grammar	Transcription	Translation	Notes
# === a01 ===
بَيْتٌ		bayt	dom	
مَسْجِدٌ		masjid	meczet	
بَابٌ		bāb	drzwi	
كِتَابٌ		kitāb	książka	
قَلَمٌ			pióro do pisania	
مِفْتَاحٌ		miftāḥ	klucz	
مَكْتَبٌ		maktab	biurko	
سَرِيْرٌ		sarīr	łóżko	
كُرْسِيٌّ		kursī	krzesło	
نَجْمٌ		najm	gwiazda	
قَمِيْصٌ		qamīṣ	koszula	
طَبِيْبٌ		ṭabīb	lekarz	
وَلَدٌ		walad	chłopiec	
طَالِبٌ		ṭālib	student	
رَجُلٌ		rajul	mężczyzna	
تَاجِرٌ		tājir	kupiec	
كَلْبٌ		kalb	pies	
قِطٌّ		qiṭṭ	kot	
حِمَارٌ		ḥimār	osioł	
حِصَانٌ		ḥiṣān	koń	
جَمَلٌ		jamal	wielbłąd	
دِيكٌ		dīk	kogut	
مُدَرِّسٌ		mudarris	nauczyciel	
مِنْدِيْلٌ		mindīl	chusteczka	
# === a02 ===
إِمَامٌ		imām	imam	
حَجَرٌ		ḥajar	kamień	
سُكَّرٌ		sukkar	cukier	
لَبَنٌ		laban	mleko	
# === a03 ===
غَنِيٌّ		ġanī	bogaty	
فَقِيرٌ		faqīr	biedny	
طَوِِيلٌ		ṭawīl	wysoki	
قَصِيرٌ		qaṣīr	niski	
بَارِدٌ		bārid	zimny	
حَارٌّ		ḥārr	gorący	
جَالِسٌ		jālis	siedzący	
وَاقِفٌ		wāqif	stojący	
جَدِيدٌ		jadīd	nowy	
قَدِيمٌ		qadīm	stary	
قَرِيبٌ		qarīb	bliski	
بَعِيدٌ		baʿīd	daleki	
نَظِيفٌ		naẓīf	czysty	
وَسِخٌ		wasiḫ	brudny	
صَغِيرٌ		ṣaġīr	mały	
كَبِيرٌ		kabīr	duży	
خَفِيفٌ		ḫafīf	lekki	
ثَقِيلٌ		ṯaqīl	ciężki	
الوَرَقُ		al-waraq	papier	
المَاءُ		al-māʾ	woda	
التُّفَّاحُ		at-tuffāḥ	jabłko	
جَمِيلٌ		jamīl	piękny	
الدُّكَّانُ		ad-dukkān	sklep	
حُلْوٌ		ḥulw	słodki	
مَرِيضٌ		marīḍ	chory	
# === a04 ===
أَيْنَ		ayna	gdzie	
عَلَى		ʿalā	na	
غُرفَةٌ		ġurfa	pokój	
الحَمَّامُ		al-ḥammām	łazienka	
المَطْبَخُ		al-maṭbaḫ	kuchnia	
فِي		fī	w	
السَّمَاءُ		as-samāʾ	niebo	
الفَصْلُ		al-faṣl	klasa	
المِرْخَاضُ		al-mirḫāḍ	toaleta	
مِنْ		min	z	
إِلَى		ilā	do	
اليَابَانُ		al-Yābān	Japonia	
الصِّينُ		aṣ-Ṣīn	Chiny	
الهِنْدُ		al-Hind	India	
الفِلِبِينُ		al-Filibīn	Filipiny	
المُدِيرُ		al-mudīr	dyrektor	
المَدْرَسَةُ		al-madrasa	szkoła	
السُّوقُ		as-sūq	targowisko	
الجَامِعَةُ		al-jāmiʿa	uniwersytet	
# === a05 ===
الرَّسُولُ		ar-rasūl	posłaniec	
العَمُّ		al-ʿamm	wuj ze strony ojca	
الشَّارِعُ		aš-šāriʿ	ulica	
الكَعْبَةُ		al-Kaʿba	Kaaba	
الخَالُ		al-ḫāl	wuj ze strony matki	
مُغْلَقٌ		muġlaq	zamknięty	
الإِسْمُ		al-ʾism	imię	
الحَقِيبَةُ		al-ḥaqība	torba	
تَحْتَ		taḥt	pod	
الإِبْنُ		al-ʾibn	syn	
السَّيَّارَةُ		as-sayyāra	samochód	
هُنَا		hunā	tutaj	
هُنَاكَ		hunāka	tam	
البِنْتُ		al-bint	dziewczynka; córka	
الطَّبِيبُ		aṭ-ṭabīb	lekarz	
