Phrase	Grammar	Transcription	Translation	Notes
بَيْتٌ		bayt	dom	
مَسْجِدٌ		masjid	meczet	
بَابٌ		bāb	drzwi	
كِتَابٌ		kitāb	książka	
قَلَمٌ		pióro do pisania		
مِفْتَاحٌ		miftāḥ	klucz	
مَكْتَبٌ		biurko		
سَرِيْرٌ		sarīr	łóżko	
كُرْسِيٌّ		kursī	krzesło	
نَجْمٌ		najm	gwiazda	
قَمِيْصٌ		qamīṣ	koszula	
طَبِيْبٌ		ṭabīb	lekarz	
وَلَدٌ		walad	chłopiec	
طَالِبٌ		ṭālib	student	
رَجُلٌ		rajul	mężczyzna	
تَاجِرٌ		tājir	kupiec	
كَلْبٌ		kalb	pies	
قِطٌّ		qiṭṭ	kot	
حِمَارٌ		ḥimār	osioł	
حِصَانٌ		ḥiṣān	koń	
جَمَلٌ		jamal	wielbłąd	
دِيكٌ		dīk	kogut	
مُدَرِّسٌ		mudarris	nauczyciel	
مِنْدِيْلٌ		mindīl	chusteczka	
