Phrase	Grammar	Transcription	Translation	Notes
مِنْ	Preposition		from	2107
اللَّهِ	Proper noun		Allah	1899
فِي	Preposition		in	1168
الَّذِينَ	Relative pronoun		those who	819
لَا	Negative particle		not	737
مَا	Relative pronoun		what	729
إِنَّ	Accusative particle		indeed	654
إِلَّا	Restriction particle		except	554
وَلَا	Negative particle		not	482
وَمَا	Negative particle		and not	446
أَنْ	Subordinating conjunction		that	436
قَالَ	Verb		to say	425
عَلَىٰ	Preposition		on	371
يَقُولُ	Verb		to say	369
مَنْ	Relative pronoun		who	355
رَبَّكُمُ	Noun		your lord	342
ثُمَّ	Coordinating conjunction		then	336
ذَٰلِكَ	Demonstrative pronoun		that	327
إِلَى	Preposition		to	315
بِمَا	Relative pronoun		what	282
إِنْ	Conditional particle		if	282
أَوْ	Coordinating conjunction		or	280
عَلَى	Preposition		on	265
كَانُوا	Verb		to be	255
اللَّهُ	Proper noun		Allah	253
قَالُوا	Verb		to say	252
الْأَرْضِ	Noun		the earth	251
يُؤْمِنُونَ	Verb		to believe	249
وَاللَّهُ	Proper noun		Allah	247
هَٰذَا	Demonstrative pronoun		this	234
الَّذِي	Relative pronoun		those who	227
كُنْتُمْ	Verb		to be	225
مَا	Relative pronoun Relative pronoun		what	729
فِيهِ	Preposition		in	193
كُلِّ	Noun		every	193
كَانَ	Verb		to be	192
إِذَا	Time adverb		when	191
عَنْ	Preposition		from	188
السَّمَاوَاتِ	Noun		the heavens	188
وَلَا	Negative particle Negative particle		not	482
قَدْ	Particle of certainty		and certainly	178
مِنَ	Preposition		from	177
وَمَا	Negative particle Negative particle		and not	446
كَانَتْ	Verb		to be	175
وَالَّذِينَ	Relative pronoun		those who	169
فِيهَا	Preposition		in	167
لَمْ	Negative particle		not	165
رَبِّ	Noun		your lord	163
عَلَيْهِمْ	Preposition		on	159
وَالْأَرْضِ	Noun		the earth	157
إِذْ	Time adverb		when	157
وَإِنْ	Conditional particle		if	156
عَلَيْهِ	Preposition		on	154
إِنَّا	Accusative particle		indeed	153
وَإِذَا	Time adverb		when	151
بِاللَّهِ	Proper noun		Allah	146
يَا أَيُّهَا	Noun		o you	146
إِنَّهُ	Accusative particle		indeed	144
الْكِتَابُ	Noun		the book	143
تَعْلَمُونَ	Verb		to know	138
مِنْهُمْ	Preposition		from	137
عَلَيْكُمْ	Preposition		on	137
يَوْمِ	Noun		day	135
وَمَنْ	Relative pronoun		who	133
أُولَٰئِكَ	Demonstrative pronoun		those	133
فَإِنْ	Conditional particle		if	130
مِنْهَا	Preposition		from	126
فَلَمَّا	Time adverb		and when	125
أَنَّ	Accusative particle		that	124
إِنِّي	Accusative particle		indeed	123
يَشَاءُ	Verb		to will, to wish	123
أَمْ	Coordinating conjunction		or	122
بَلْ	Retraction particle		nay	122
كَفَرُوا	Verb		to disbelieve	122
عَذَابٌ	Noun		a punishment	121
شَيْءٍ	Noun		thing	120
شَيْئًا	Noun		thing	120
مِنْكُمْ	Preposition		from	116
النَّاسِ	Noun		the people	115
لِلَّهِ	Proper noun		Allah	112
رَبِّهِمْ	Noun		your lord	112
إِنَّمَا	Accusative particle		indeed	111
مِمَّا	Preposition		from	110
رَبَّنَا	noun		your lord	106
إِلَيْكَ	Preposition		to	106
وَلَوْ	Conditional particle		and if	105
مُوسَىٰ	Proper noun		Musa	105
وَلَقَدْ	Particle of certainty		and certainly	104
النَّارَ	Noun		the fire	104
إِلَّا	Restriction particle Restriction particle		except	554
السَّمَاءِ	Noun		the heavens	100
وَمَنْ	Relative pronoun Relative pronoun		who	133
إِنْ	Conditional particle Conditional particle		if	282
عِنْدَ	Location adverb		with	98
الْحَقُّ	Noun		the truth	97
سَبِيلِ	Noun		way	97
يَكْفُرُونَ	Verb		to disbelieve	97
الْمُؤْمِنِينَ	Noun		the believers	95
حَتَّىٰ	Preposition		until	95
آمَنَ	Verb		to believe	95
قَبْلُ	Noun		before	94
لَا	Negative particle Negative particle		not	737
يَعْمَلُونَ	Verb		to do, to work	92
أَلَمْ	Negative particle		not	91
فَلَا	Negative particle		not	89
إِلَٰهًا	Noun		god	89
الْقَوْمِ	Noun		a people	88
الَّتِي	Relative pronoun		those who	87
كَذَٰلِكَ	Demonstrative pronoun		that	87
قَوْمًا	Noun		a people	87
وَقَالُوا	Verb		to say	87
وَكَانَ	Verb		to be	86
بَعْدِ	Noun		after	85
دُونِ	Noun		besides	84
وَإِنَّ	Accusative particle		indeed	83
عَلَيْكُمُ	Preposition		on	83
آيَةٍ	Noun		a sign	82
