Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
وَ			i; a	
مِصْر			Egipt	
لُبْنان			Liban	
لا			nie	
مِن			z	
نَعَم			tak	
دَرس			lekcja	
أَوَّل			pierwszy	
مَلِك			król	
عَبْد الله			Abdallah	
الأُرْدُن			Jordania	
اَلسَّعودِيَّة			Arabia Saudyjska	
أَمير			książę	
جابِر الأَحْمَد			Dżaber Al-Ahmad	
اَلْكُوَيْت			Kuwejt	
اَلسَّيِّد			pan	
إميل لَحود			Emil Lahud	
إِياد عَلّاوي			Ijad Allawi	
اَلْعِراق			Irak	
بَشار الأَسَد			Baszar al-Asad	
سوريا			Syria	
حُسْني مُبارَك			Hosni Mubarak	
مين			kto	
وَيْن			gdzie	
# === 2 ===
هُوَ			on	
عُمان			Oman	
دِمَشْق			Damaszek	
هِيَ			ona	
إمارَة			emirat	
عَمّان			Amman	
عاصِمَة			stolica	
الْقاهِرَة			Kair	
تونس			Tunezja; Tunis	
مَسْقَط			Muskat	
ثاني			drugi	
قِسْم			część	
مَمْلَكَة			królestwo	
جُمْهورِيَّة			republika	
دَوْلَة			państwo	
سَلْطَنَة			sułtanat	
أَبو ظَبي			Abu Dabi	
بَغْداد			Bagdad	
اَلرِّياض			Rijad	
مَدينَة			miasto	
شو			co	
ليبْيا			Libia	
اَلسُّودان			Sudan	
طَرابُلُس			Tripoli	
اَلخَرْطوم			Chartum	
بَيْروت			Bejrut	
# === 3 ===
في			w	
رَئيس (رُؤَساء)			prezydent	prezydenci
سُلْطان (سَلاطين)			sułtan	sułtani
أَمير (أُمَراء)			książę	książęta
فيه			znajduje się; jest	
قابوس			Qabus	
ابن زايد بِن سُلْطان			Ibn Zajid bin Sultan	
ثالث			trzeci	
قِسْم (أقْسام)			część	części
مَلِك (مُلوك)			król	królowie
شَيْخ (شُيوخ)			szejk	szejkowie
سَيِّد (أَسْياد، سادَة)			pan	panowie
خُذ، خُذي	m, ż		weź	
دَلّ (عَلى)			pokaż	
خَريطَة (خارِطات، خَرائِط)			mapa	
صُورَة (صُوَر)			obraz	obrazy
مِنْ فَضْلِك	ż		proszę	
مِنْ فَضْلَك	m		proszę	
أَعْطيني	m, ż		daj mi	
# === 1 ===
وَ			i; a	
مِصْر			Egipt	
لُبْنان			Liban	
لا			nie	
مِن			z	
نَعَم			tak	
دَرس			lekcja	
أَوَّل			pierwszy	
مَلِك			król	
عَبْد الله			Abdallah	
الأُرْدُن			Jordania	
اَلسَّعودِيَّة			Arabia Saudyjska	
أَمير			książę	
جابِر الأَحْمَد			Dżaber Al-Ahmad	
اَلْكُوَيْت			Kuwejt	
اَلسَّيِّد			pan	
إميل لَحود			Emil Lahud	
إِياد عَلّاوي			Ijad Allawi	
اَلْعِراق			Irak	
بَشار الأَسَد			Baszar al-Asad	
سوريا			Syria	
حُسْني مُبارَك			Hosni Mubarak	
مين			kto	
وَيْن			gdzie	
# === 2 ===
هُوَ			on	
عُمان			Oman	
دِمَشْق			Damaszek	
هِيَ			ona	
إمارَة			emirat	
عَمّان			Amman	
عاصِمَة			stolica	
الْقاهِرَة			Kair	
تونس			Tunezja; Tunis	
مَسْقَط			Muskat	
ثاني			drugi	
قِسْم			część	
مَمْلَكَة			królestwo	
جُمْهورِيَّة			republika	
دَوْلَة			państwo	
سَلْطَنَة			sułtanat	
أَبو ظَبي			Abu Dabi	
بَغْداد			Bagdad	
اَلرِّياض			Rijad	
مَدينَة			miasto	
شو			co	
ليبْيا			Libia	
اَلسُّودان			Sudan	
طَرابُلُس			Tripoli	
اَلخَرْطوم			Chartum	
بَيْروت			Bejrut	
# === 3 ===
في			w	
رَئيس (رُؤَساء)			prezydent	prezydenci
سُلْطان (سَلاطين)			sułtan	sułtani
أَمير (أُمَراء)			książę	książęta
فيه			znajduje się; jest	
قابوس			Qabus	
ابن زايد بِن سُلْطان			Ibn Zajid bin Sultan	
ثالث			trzeci	
قِسْم (أقْسام)			część	części
مَلِك (مُلوك)			król	królowie
شَيْخ (شُيوخ)			szejk	szejkowie
سَيِّد (أَسْياد، سادَة)			pan	panowie
خُذ، خُذي	m, ż		weź	
دَلّ (عَلى)			pokaż	
خَريطَة (خارِطات، خَرائِط)			mapa	
صُورَة (صُوَر)			obraz	obrazy
مِنْ فَضْلِك	ż		proszę	
مِنْ فَضْلَك	m		proszę	
أَعْطيني	m, ż		daj mi	
