Phrase	Grammar	Transcription	Translation	Notes
رَئيس (رُؤَساء)			prezydent (prezydenci)	
سُلْطان (سَلاطين)			sułtan (sułtani)	
أَمير (أُمَراء)			książę (książęta)	
فيه			jest; znajduje się	
قابوس			Qabus	
ابن زايد بِن سُلْطان			Ibn Zajid bin Sultan	
ثالث			trzeci	
قِسْم (أقْسام)			część (części)	
مَلِك (مُلوك)			król (królowie)	
شَيْخ (شُيوخ)			szejk (szejkowie)	
سَيِّد (أَسْياد، سادَة)			pan (panowie)	
في			w	
خُذ، خُذي	m, ż		weź	
دَلّ (عَلى)			pokaż	
خَريطَة (خارِطات، خَرائِط)			mapa	
صُورَة (صُوَر)			obraz (obrazy)	
مِنْ فَضْلِك	ż		proszę	
مِنْ فَضْلَك	m		proszę	
أَعْطيني	m, ż		daj mi	
