Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
مرحبا		marḥaban	witaj	
أهلا		ahlan	cześć	
أهلا وسهلا		ahlan wa sahlan	witaj	
أهلا بك		ahlan bik	witaj	odpowiedź
السلام عليكم		as-salāmu ʿalaykum	pokój z wami	
وعليكم السلام		wa ʿalaykum as-salām	i z wami pokój	
تشرفبا		taššarafnā	miło mi poznać	
صباح الخير		ṣabāḥ al-xayr	dzień dobry	rano
صباح النور		ṣabāḥ an-nūr	dzień dobry	odpowiedź
مساء الخير		masāʾ al-ḫayr	dobry wieczór	
مساء النور		masāʾ an-nūr	dobry wieczór	odpowiedź
من فضلك		min faḍlak	przepraszam	
شكرا علي		šukran ʿalā	dziękuję za	
عفوا		ʿafwan	proszę wybaczyć	
آسف		āsif	przepraszam	
ما؟		mā?	co?	
ماذا؟		māḏā?	co?	
من؟		man?	kto?	
أين؟		ayna?	gdzie?	
متى		matā?	kiedy?	
كيف؟		kayfa?	jak?	
لماذا؟		li-māḏa?	dlaczego?	
إن شاء الله		in šāʾ al-Lāh	daj Boże	
فرصة سعيدة			miło mi poznać	
مع السلامة		maʿa s-salāma	do widzenia	
أنا		anā	ja	
أنت		anta	ty	
أنت		anti	ty	
أنتم		antum	wy	
أنتن		antunna	wy	
نحن		naḥnu	my	
هو		huwa	on	
هي		hiya	ona	
هم		hum	oni	
هن		hunna	one	
في		fī	w	
على		ʿalā	na	
من		min	z	
ل		li	do; dla	
مع		maʿa	z	
فوق		fawqa	nad	
تحت		taḥta	pod	
بجانب		bi-jānib	obok	
تصبح على خير		tiṣbaḥ ʿalā xayr	dobranoc	
وأنت من أهله		wa anta min ahluh	dobranoc	odpowiedź
النجدة!		an-najda!	!na pomoc	
لا شكر على واجب		lā šukr ʿalā wājib	nie ma za co dziękować	
لا بأس		lā baʾs	nic się nie stało	
ليست مشكلة		laysat muškila	nie ma problemu	
إلى اللقاء		ilā l-liqāʾ	do widzenia	
أراك غدا		arāka ġadan	do zobaczenia jutro	
أراك قريبا		arāka qarīban	do zobaczenia wkrótce	
عزيزي		ʿazīzi	drogi	
عزيزتي		ʿazīzatī	droga	
مع تحياتي		maʿa taḥiyyāti	z najlepszymi życzeniami	
كل عام وأنتم بخير		kull ʿām wa antum bi-ḫayr	szczęśliwego roku	
كل سنة وأنتم طيبون		kull sana wa antum ṭayyibūn	szczęśliwego roku	
عيد سعيد		ʿīd saʿīd	wesołych świąt	
ميلاد سعيد		mīlād saʿīd	wszystkiego najlepszego z okazji urodzin	
رمضان كريم		ramaḍān karīm	szczęśliwego ramadanu	
عيد مبارك		ʿīd mubārak	błogosławionego święta	
عيد الميلاد		ʿīd al-mīlād	Boże Narodzenie	
عيد الفصح		ʿīd al-fiṣḥ	Pascha	
مع أطيب التحيات		maʿa aṭyab at-taḥiyyāt	z najlepszymi życzeniami	
ما شاء الله		ma šāʾ al-Lāh	taka Boża wola	
الله يعطيك العافية		al-Lāh yuʿṭīk al-ʿāfiya	niech Bóg doda Ci sił	
الله يبارك فيك		al-Lāh yubārik fīk	niech Bóg Ci błogosławi	
مقابل		muqābil	naprzeciwko	
بين		bayna	między	
داخل		dāḫil	wewnątrz	
خارج		ḫārij	na zewnątrz	
إلى		ilā	w kierunku	
حول		ḥawla	wokół	
أنا اسمي ...		anā ismī ...	nazywam się ...	
ما اسمك؟		mā smuka?	Jak się nazywasz?	
أنت من أين؟		anta min ayna?	skąd jesteś?	
أنا من أمريكا		anā min Amrīkā	jestem z Ameryki	
أنا من بريطانيا		anā min Briṭānyā	jestem z Wielkiej Brytanii	
كيف الحال؟		kayfa al-ḥāl?	Jak się masz?	
بخير الحمد لله		bi-ḫayr al-ḥamdu li-l-Lāh	dzięki Bogu, dobrze	
# === 2 ===
سكن		sakana	mieszkał	
يسكن		yaskun	mieszka	
بيت		bayt	dom	
بيوت		buyūt	domy	
منزل		manzil	dom	
منازل		manāzil	domy	
شقة		šaqqa	mieszkanie	
شقق		šuqaq	mieszkania	
فيللا		fillā	willa	
فيللات		fillāt	wille	
عمارة		ʿimāra	budynek	
منطقة		minṭaqa	rejon	
مناطق		manāṭiq	rejony	
قديم		qadīm	stary	
حديث		ḥadīṯ	nowoczesny	
هادئ		hādiʾ	spokojny	
مزدحم		muzdaḥim	pełny	
مريح		murīḥ	wygodny	
