Phrase	Grammar	Transcription	Translation	Notes
سكن		sakana	mieszkał	
يسكن		yaskun	mieszka	
بيت		bayt	dom	
بيوت		buyūt	domy	
منزل		manzil	dom	
منازل		manāzil	domy	
شقة		šaqqa	mieszkanie	
شقق		šuqaq	mieszkania	
فيللا		fillā	willa	
فيللات		fillāt	wille	
عمارة		ʿimāra	budynek	
منطقة		minṭaqa	rejon	
مناطق		manāṭiq	rejony	
قديم		qadīm	stary	
حديث		ḥadīṯ	nowoczesny	
هادئ		hādiʾ	spokojny	
مزدحم		muzdaḥim	pełny	
مريح		murīḥ	wygodny	
تكون من		takawwana min	sładał się z	
يتكون من		yatakawwan min	składa się z	
طابق		ṭābiq	piętro	
طوابق		ṭawābiq	piętra	
دور		dūr	piętro	
أدوار		adwār	piętra	
غرفة		ġurfa	pokój	
غرف		ġuraf	pokoje	
غرفة النوم		ġurfat an-nawm	sypialnia	
غرفة الجلوس		ġurfat al-julūs	salon	
غرفة المعيشة		ġurfat al-maʿīša	salon	
الصالون		aṣ-ṣālūn	salon	
السفرة		as-sufra	jadalnia	
مكتب		maktab	biuro	
مكاتب		makātib	biura	
مطبخ		maṭbaḫ	kuchnia	
مطابخ		maṭābiḫ	kuchnie	
حمام		ḥammām	łazienka	
حمامات		ḥammāmāt	łazienki	
حديقة		ḥadīqa	ogród	
حدائق		ḥadā'iq	ogrody	
شارع		šāriʿ	ulica	
شوارع		šawāriʿ	ulice	
استأجر		istaʾjara	wynajmował	
يستأجر		yastaʾjir	wynajmuje	
ايجار		ījār	czynsz	
مفروش		mafrūš	umeblowany	
سجادة		sijāda	dywan	
سجاد		sijād	dywany	
ستارة		sitāra	zasłonka	
ستائر		satāʾir	zasłonki	
كنبة		kanaba	kanapa	
كنب		kanab	kanapy	
كنبات		kanabāt	kanapy	
سرير		sarīr	łóżko	
أسرة		asirra	łóżka	
فرن		furn	kuchenka	
أفران		afrān	kuchenki	
ثلاجة		ṯallāja	lodówka	
مائدة		māʾida	stół obiadowy	
موائد		mawāʾid	stoły obiadowe	
كرسي		kursī	krzesło	
كراسي		karāsī	krzesła	
باب		bāb	drzwi	
أبواب		abwāb	drzwi	
شباك		šubbāk	okno	
شبابيك		šabābīk	okna	
جرس		jaras	dzwonek	
أجراس		ajrās	dzwonki	
تكييف الهواء		takyīf al-hawāʾ	klimatyzator	
مصعد		miṣʿad	winda	
مصاعد		maṣāʿid	windy	
غرفة الاستقبال		ġurfat al-ʾistiqbāl	pokój gościnny	
صالة		ṣāla	przedsionek	
سلم		sullam	schody	
جراج		garāj	garaż	
جراجات		garājāt	garaże	
حمام السباحة		ḥammām as-sibāḥa	basen	
أثاث		aṯāṯ	meble	
انتقل		intaqala	przeprowadził się	
ينتقل إلى		yantaqil ilā	przeprowadza się do	
مكان		makān	miejsce	
أماكن		amākin	miejsca	
وكالة		wikāla	agencja	
وكالات		wikālāt	agencje	
للبيع		li-l-bayʿ	na sprzedaż	
موقف سيارة		mawqif sayyāra	parking	
مواقف سيارات		mawāqif sayyārāt	parkingi	
يقع في		yaqaʿ fī	znajduje się w	
تقع في		taqaʿ fī	znajduje się w	
