Phrase	Grammar	Transcription	Translation	Notes
صباح الخير		ṣabāḥ əl-ḫēr	dzień dobry
صباح النور		ṣabāḥ ən-nūr	dzień dobry	odpowiedź
مساء الخير		masāʾ əl-ḫēr	dobry wieczór
مساء النور		masāʾ ən-nūr	dobry wieczór	odpowiedź
إزيك؟		Əzzayyak?	Jak się masz?
كويس		kwayyis	dobrze
الحمد لله		Əl-ḥamdu li l-Lāh	dzięki Bogu
اسمي		Əsmī	nazywam się
آسف		Āsif	przepraszam; przykro mi
معلش		Maʿleš	nic nie szkodzi; nic się nie stało
خلاص		ḫalāṣ	dość; wystarczy
عامل إيه؟		ʿĀmel ē?	Jak się masz?
كله تمام		Kullu tamām	Wszystko w porządku
سلام		salām	cześć; pokój
مع السلامة		Maʿa s-salāma	Do widzenia
الله يسلمك		Al-Lāh yisallemak	Niech Bóg ci błogosławi
أشوفك بكرة		Ašūfak bukra	Do zobaczenia jutro
إن شاء الله		In šāʾ al-Lāh	Jeśli taka będzie wola boska
الجنسيات		əl-gensiyyāt	narodowości
مصري		Maṣrī	Egipcjanin
أمريكي		Amrīkī	Amerykanin
إنجليزي		Ənglīzī	Anglik
هندي		Hindī	Hindus
أنا مش من أمريكا		Anā miš min Amrīkā	Nie jestem z Ameryki
أنا من		Anā min	Jestem z
إنت منين؟		Ənta minēn?	Skąd jesteś?
اتشرفنا	   	Ətšarrafnā	Bardzo nam miło; To zaszczyt
الشرف ليا		Əš-šaraf liyya	Cała przyjemność po mojej stronie
حضرتك ديفيد؟	    	Ḥaḍretak David?	Pan David?
لا أنا مش ديفيد	    	Lā, anā miš David	Nie, nie jestem Davidem
