Phrase	Grammar	Transcription	Translation	Notes
Здравей			Cześć; dzień dobry
здравейте			Cześć; dzień dobry
Здрасти			Cześć
Добро утро			Dzień dobry
Добър ден			Dzień dobry
Добър вечер			Dobry wieczór
Да ви представя			Chcę Panu przedstawić
Да се запознаем			Poznajmy się
Казвам се...			Nazywam się...
Моето име е...			Mam na imię...
Как се казваш?			Jak się nazywasz?
учителка по руски език			nauczycielka języka rosyjskiego
ученик			uczeń
ученици			uczniowie
учениците			uczniowie	z rodzajnikiem określonym
ученичка			uczennica
ученички			uczennice
това			to
от			od; z
кой			kto; który	
коя			która	
кое			które	
кои			którzy	
град			miasto
столицата на България			stolica Bułgarii
какъв			jaki	
каква			jaka	
какво			jakie	rodz. nijaki
какви			jacy	
голям			duży
зелен			zielony
обръща се			zwraca się
към			do; ku
един			jeden; jakiś	
една			jedna; jakaś	
едно			jedno; jakieś	
едни			jedni; jacyś	
момче			chłopiec
момчета			chłopcy
московчанин			moskwiczanin
московчани			moskwiczanie
много			bardzo
тъмнокос			ciemnowłosy
по народност			narodowości
откъде			skąd
сега			teraz
живея в Москва			mieszkam w Moskwie
в нашия клас			w naszej klasie
Русия			Rosja
руснак			Rosjanin
руснаци			Rosjanie
рускиня			Rosjanka
рускини			Rosjanki
България			Bułgaria
българин			Bułgar
българи			Bułgarzy
българка			Bułgarka
българки			Bułgarki
Гърция			Grecja
грък			Grek
гърци			Grecy
гьркиня			Greczynka
гьркини			Greczynki
Сърбия			Serbia
сърбин			Serb
сърби			Serbowie
сръбкиня			Serbka
сръбкини			Serbki
Украйна			Ukraina
украинец			Ukrainiec
украинци			Ukraińcy
украинка			Ukrainka
украинки			Ukrainki
Татария			Tataria
татарин			Tatar
татари			Tatarzy
татарка			Tatarka
татарки			Tatarki
Армения			Armenia
арменец			Ormianin
арменци			Ormianie
арменка			Ormianka
арменки			Ormianki
