Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
азбука			alfabet	
банан			banan	
буква			litera	
гласна			samogłoska	
карта			mapa; karta	
кафе			kawa	
музика			muzyka	
паспорт			paszport	
печатни букви			litery drukowane	
ресторант			restauracja	
ръкописни букви			litery pisane	
спорт			sport	
съгласна			spółgłoska	
турист			turysta	
урок			lekcja	
футбол			piłka nożna	
хотел			hotel	
а			ale	
аз			ja	
актьор			aktor	
български език			język bułgarski	
вечер			wieczór	
визитка			wizytówka	
генерален директор			dyrektor generalny	
глупак			głupiec	
горе-долу			tak sobie	
госпожа			pani	
готвач			kucharz	
готвачка			kucharka	
да			tak	
ден			dzień	
добре			dobrze	
еврокомисар			komisarz europejski	
журналист			dziennikarz	
журналистка			dziennikarka	
и			i	
икономика			ekonomika; ekonomia	
име			imię	
инженер			inżynier	
казвам			mówię	
казвам се			nazywam się	
какъв	m		jaki	
каква	f		jaka	
какво	n		jakie	
какви	pl		jacy	
кой	m		kto; który	
коя	f		kto; które	
кое	n		kto; które	
кои	pl		kto; którzy	
колеги			koledzy	
лекар			lekarz	
лекарка			lekarka	
музикант			muzyk	
народност			narodowość	
не			nie	
но			ale	
певец			śpiewak; piosenkarz	
певица			śpiewaczka; piosenkarka	
поздрави			pozdrowienia	
преподавател			wykładowca	
преподавателка			wykładowczyni	
приятел			przyjaciel	
продавач			sprzedawca	
продавачка			sprzedawczyni	
професия			zawód	
сервитьор			kelner	
сервитьорка			kelnerka	
следвам			studiuję	
спортист			sportowiec	
спортистка			sportsmenka	
страна			kraj	
студент			student	
студентка			studentka	
съсед			sąsiad	
също			także; też; również	
те			oni	
то			ono	
той			on	
фотограф			fotograf	
фризьор			fryzjer	
фризьорка			fryzjerka	
футболист			piłkarz	
Здравей			Cześć; dzień dobry	
здравейте			Cześć; dzień dobry; dzień dobrzy	
Здрасти			Cześć	
от			od; z	
откъде			skąd	
българин			Bułgar	
българка			Bułgarka	
ние			my	
ти			ty	
вие			wy	
тя			ona	
господин			pan	
благодаря			dziękuję	
# === 2 ===
книга			książka	
компютър			komputer	
съсед			sąsiad	
автобус			autobus	
в			w	
вестник			gazeta	
врата			drzwi	
има			jest; istnieje	
котка			kot	
куче			pies	
легло			łóżko	
метро			metro	
море			morze	
няма			nie ma; nie istnieje	
пиано			pianino	
прозорец			okno	
езеро			jezioro	
учебник			podręcznik	
бюро			biurko	
дете			dziecko	
планина			góra	
папка			teczka na dokumenty	
тетрадка			zeszyt	
списание			czasopismo	
ябълка			jabłko	
телефон			telefon	
самолет			samolot	
тук			tutaj	
чанта			torba	
химикалка			długopis	
# === 3 ===
кафе			kawa	
ресторант			restauracja	
също			także; też; również	
вестник			gazeta	
бюро			biurko	
дете			dziecko	
тук			tutaj	
айран			ajran	
баничка			placek z serem	
без			bez	
бира			piwo	
бисквита			herbatnik	
боза			boza	rodzaj napoju
булевард			aleja	
бутилка			butelka	
вафла			wafel	
вземам			biorę	
вода			woda	
газирана вода			woda gazowana	
сода			woda sodowa	
главен			główny	
Дайте ми ...			Dajcie mi ...	
дълъг			długi	
дълга			długa	
еспресо			espresso	
жена			kobieta	
закусвам			jem śniadanie	
захар			cukier	
защо			dlaczego	
защото			ponieważ	
идвам			przychodzę	
известен			sławny	
Извинете, имате ли ...?			Przepraszam, czy macie...?	
какао			kakao	
Какво обичате?			Czego sobie życzycie?	
капучино			cappuccino	
кафе с мляко			kawa z mlekiem	
кисело мляко			kwaśne mleko	
кока-кола			koka-kola	
кола			samochód	
красив			piękny	
кроасан			rogalik	
къс			krótki	
лимон			cytryna	
любим			ulubiony	
малък			mały	
мед			miód	
мляко			mleko	
моля			proszę	
момиче			dziewczynka	
мъж			mężczyzna	
място			miejsce	
намира се			znajduje się; jest położony	
нещо			coś	
нищо			nic	
нямам			nie mam	
обичам			chciałbym; lubię	
пакет			paczka	
палачинка			naleśnik	
парче			kawałek	
пица			pizza	
преди			przedtem	
предпочитам			wolę	
(прясно) мляко			mleko	
птица			ptak	
разбирам			rozumiem	
с			z	
сандвич			kanapka	
сирене			ser	
сладолед			lody	
сметана			śmietana	
сок			sok	
СОЛ			sól	
стая			pokój	
стол			krzesło	
студен			zimny	
там			tam	
тогава			wtedy	
топъл			ciepły	
тост			toast	
трамвай			tramwaj	
тролей			trolejbus	
улица			ulica	
филия			kromka	
фреш			świeży sok	
хамбургер			hamburger	
хора			ludzie	
център			centrum	
централен			centralny	
чай			herbata	
чай без захар			gorzka herbata	
чаша			filiżanka; szklanka	
човек			człowiek	
шоколад			czekolada	
какво			jakie; co	rodz. nijaki
голям			duży	
момче			chłopiec	
сега			teraz	
пиле			kurczak	
имам			mieć; mam	
искам			chcieć; chcę	
# === 4 ===
визитка			wizytówka	
икономика			ekonomika; ekonomia	
учебник			podręcznik	
папка			teczka na dokumenty	
вземам			biorę	
красив			piękny	
човек			człowiek	
библиотека			biblioteka	
българо-английски речник			słownik bułgarsko-angielski	
ваза			wazon	
вдясно			na prawo	
Виж!			Patrz!	
Вижте!			Patrzcie!	
виждам			widzę	
вляво			na lewo	
време			czas; pogoda	
всичко			wszystko	
вход			wejście	
група			grupa	
двор			podwórko	
документ			dokument	
дори			nawet	
дърво			drzewo	
език			język	
ето го			oto on	
зала			sala	
зная			wiem	
изпит			egzamin	
кабинет			gabinet	
календар			kalendarz	
каса			kasa	
книжарница			księgarnia	
коридор			korytarz	
кутия			pudełko	
къде			gdzie	
лист			arkusz	
любимо място			ulubione miejsce	
мишка			mysz	
модерен			nowoczesny	
молив			ołówek	
направо			prosto	
нов			nowy	
около			wokół	
онези			tamci	
онзи			ten który	
онази			ta która	
онова			ci którzy	
отдел			wydział	
отивам			idę; odchodzę	
рафт			półka	
речник			słownik	
сграда			budynek	
следобед			popołudnie	
сменям			zmieniam	
снимка			zdjęcie	
стълба			schody	
сутрин			poranek	
тези			ci	
този			ten	
тази			ta	
търся			szukam	
флашка			dysk USB	
хубав			ładny; dobry	
харесвам			lubić	
читалня			czytelnia	
това			to	
коя			kto; która	
английски			angielski	
книга			książka	
компютър			komputer	
благодаря			dziękuję	
# === 5 ===
банан			banan	
турист			turysta	
глупак			głupiec	
приятел			przyjaciel	
вземам			biorę	
закусвам			jem śniadanie	
идвам			przychodzę	
мед			miód	
сирене			ser	
сметана			śmietana	
център			centrum	
отивам			idę; odchodzę	
веднага			natychmiast	
работа			praca	
бързо			szybko	
бавно			powoli	
бекон			bekon	
билет			bilet	
бързам			spieszę się	
бъркани яйца			jajecznica	
вече			już	
давам			daję	
влизам			wchodzę	
излизам			wychodzę	
говоря			mówię	
гъба			grzyb	
довечера			dziś wieczorem; dziś w nocy	
домат			pomidor	
Ела!			Wejdź!	
Елате!			Wejdźcie!	
зает			zajęty	
обядвам			jem obiad	
вечерям			jem kolację	
закуска			śniadanie	
започвам			zaczynam	
имам среща			mam spotkanie; jestem umówiony	
нямам среща			nie mam spotkania; nie jestem umówiony	
каша			kasza	
кашкавал			ser żółty	
конфитюр			dżem	
краставица			ogórek	
купувам			kupuję	
лекция			wykład	
лесно			łatwo	
макарони			makaron	
масло			masło	
мекица			ciastka	
мечка			piwo	
мисля			myślę	
мюсли			musli	
награда			nagroda	
наденичка			kiełbasa	
напитка			napój	
овесени ядки			płatki owsiane	
орех			orzech	
отговарям			odpowiadam	
офис			biuro	
пари			pieniądze	
питам			pytam	
пия			piję	
плащам			płacę	
приготвям			przygotowuję	
пържени филии			bagietka	
разбира се			oczywiście	
сервирам			podaję; serwuję	
слагам			kładę	
среща			spotkanie	
срещам се с			spotykam się z	
сядам			siadam	
танцувам			tańczę	
тиква			dynia	
трудно			trudno	
училище			szkoła	
филм			film	
хляб			chleb	
чакам			czekam	
шунка			szynka	
ще			jeszcze	
яйце			jajko	
ям			jem	
обяснявам			wyjaśniam	
автор			autor	
бездомен			bezdomny	
изложба			wystawa	
история			historia	
меню			menu	
повтарям			powtarzam	
право			prawo	
професор			profesor	
режисьор			reżyser	
рисувам			rysuję	
рисунка			rysunek	
свят			świat	
скоро			wkrótce	
талант			talent	
участвам			biorę udział	
художник			artysta	
часовник			zegar	
# === 6 ===
ден			dzień	
също			także; też; również	
дете			dziecko	
жена			kobieta	
защо			dlaczego	
защото			ponieważ	
идвам			przychodzę	
време			czas; pogoda	
зная			wiem	
отивам			idę; odchodzę	
хубав			ładny; dobry	
бързо			szybko	
започвам			zaczynam	
лекция			wykład	
разбира се			oczywiście	
слагам			kładę	
филм			film	
армия			armia	
баба			babcia	
брат			brat	
вдругиден			pojutrze	
весел			wesoły	
винаги			zawsze	
връзвам			wiążę	
вчера			wczoraj	
година			rok	
дата			data	
денонощен магазин			sklep całodobowy	
дискотека			dyskoteka	
днес			dzisiaj	
добър			dobry	
дръвче			drzewko	
живот			życie	
забравям			zapominam	
завчера			przedwczoraj	
закъснявам			spóźniam się	
затова			dlatego	
здраве			zdrowie	
значи			to znaczy	
имен ден			imieniny	
концерт			koncert	
кокиче			przebiśnieg	
късмет			szczęście	
късно			późno	
легенда			legenda	
лош			zły	
лошо			źle	
майка			matka	
месец			miesiąc	
минута			minuta	
момент			moment	
навреме			punktualnie; na czas	
национален			narodowy	
никога			nigdy	
обикновено			zwykle	
парти			przyjęcie	
пиша			piszę	
подарък			prezent	
подарявам			daję w prezencie	
познавам			znam	
понякога			czasami	
пожелание			życzenie	
получавам			przyjmuję	
посрещам			spotykam	
почивам			odpoczywam	
почивен ден			dzień wolny	
почивка			wolne; święto	
празник			święto	
празнувам			obchodzę święto	
през			podczas; przez	
първи март			pierwszy marca	
работен ден			dzień roboczy	
работно време			czas pracy	
работя			pracuję	
роден			urodzony	
рано			wcześnie	
само			tylko	
седмица			tydzień	
секунда			sekunda	
сестра			siostra	
символ			symbol	
според			według	
ставам			wstaję	
сърдит			rozgniewany	
такси			taksówka	
точно			dokładnie	
труд			praca; trud	
тъжен			smutny	
утре			jutro	
уча			uczę się	
учебен ден			dzień nauki	
учител			nauczyciel	
характер			charakter	
цвете			kwiaty	
час			godzina	
черпя			traktować	
честит			szczęśliwy	
често			często	
рожден ден			urodziny	
чета			czytam	
щастие			szczęście	
ученик			uczeń	
сега			teraz	
# === 7 ===
кола			samochód	
намира се			znajduje się; jest położony	
модерен			nowoczesny	
следобед			popołudnie	
сутрин			poranek	
хубав			ładny; dobry	
започвам			zaczynam	
танцувам			tańczę	
дискотека			dyskoteka	
работя			pracuję	
само			tylko	
ако			jeśli	
бар			bar	
басейн			basen	
бежов			beżowy	
блуза			bluza	
ваканция			wakacje	
вали дъжд			pada deszcz	
вали сняг			pada śnieg	
ветровит			wietrzny	
висок			wysoki	
всеки			każdy	
всяка			każda	
всяко			wszystko; każde	
всички			wszyscy	
вятър			wiatr	
горещ			gorący	
грее слънце			świeci słońce	
духа вятър			wieje wiatr	
дъждовен			deszczowy	
екскурзия			wycieczka	
есен			jesień	
има облаци			jest pochmurnie	
истински			prawdziwy	
карам			jeżdżę na nartach	
картичка			pocztówka	
километър			kilometr	
колело			rower	
курорт			kurort	
луксозен			luksusowy	
мениджър			manager	
мрачен			ponury	
мъгла			mgła	
мъглив			mglisty	
навсякъде			wszędzie	
неприятно			nieprzyjemnie	
нищо!			nieważne!	
няколко			kilka	
облак			chmura	
облачен			pochmurny	
обличам			ubieram; noszę na sobie	
обувка			obuwie	
обяд			południe	
обед			południe	
оранжев			pomarańczowy	
палто			palto	
плаж			plaża	
плувам			pływam	
повече от			więcej niż	
полицай			policjant	
природа			przyroda	
пролет			wiosna	
променливо			zmienny	
пуловер			sweter	
разходка			idę pieszo	
разхождам			idę na spacer	
риза			koszula	
рокля			suknia	
розов			różowy	
ръкавица			rękawice	
сезон			pora roku	
сив			szary	
син			niebieski; syn	
ски			narty	
слънчев			słoneczny	
снежен човек			bałwan	
снежна топка			śnieżka	
сноуборд			snowboard	
спокоен			spokojny	
спортувам			uprawiam sport; ćwiczę	
сърф			deska surfingowa	
температура			temperatura	
тих			cichy	
хладен			chłodny	
ходя			chodzę	
Черно море			Morze Czarne	
чист			czysty	
чорап			skarpetka	
чудесен			wspaniały	
шал			szal	
шофьор			kierowca	
яке			kurtka	
ясен			jasny	
бял			biały	
бряг			brzeg	
лято			lato	
зима			zima	
# === 8 ===
пиле			kurczak	
бира			piwo	
домат			pomidor	
зает			zajęty	
каша			kasza	
краставица			ogórek	
сервирам			podaję; serwuję	
спортувам			uprawiam sport; ćwiczę	
ходя			chodzę	
внимавам			uważam	
вреден			szkodliwy	
вредна			szkodliwa	
гладен			głodny	
готвя			gotuję	
готов			gotowy	
десерт			deser	
доволен			zadowolony	
доволна			zadowolona	
доволно			zadowolone	
доволни			zadowoleni	
жаден			spragniony	
жадна			spragniona	
жадно			spragnione	
жадни			spragnieni	
жалко			szkoda	
здравословен			zdrowy	
зеленчук			warzywo	
играя			gram	
изглеждам			jestem podobny	
интересувам се от...			interesuję się ...	
Какво има за закуска?			Co jest na śniadanie?	
Какво има за обяд?			Co jest na obiad?	
Какво има за пиене?			Co jest do picia?	
Какво има за вечеря?			Co jest na kolację?	
Какво има за ядене?			Co jest do jedzenia?	
картоф			ziemniak	
кебапче			kebabcze	grillowane siekane mięso
мога			mogę	
На диета съм			Jestem na diecie	
На мода е			Jest w modzie	
Пазя диета			Przestrzegam diety	
пазя			dotrzymuję	
печен			pieczony	
пея			śpiewam	
пиене			picie	
риба			ryba	
салата			sałatka	
светъл			jasny	
свиря			grać	
свободен			wolny; swobodny	
свободна			wolna; swobodna	
супа			zupa	
трябва			trzeba	
тъмен			ciemny	
уморен			zmęczony	
Хайде да ...			Niech ...	
хапвам			zjadam kawałek; próbuję; kosztuję	
чистя			czyszczę; sprzątam	
чудо			cud	
чушка			pieprz	
# === 9 ===
около			wokół	
висок			wysoki	
антре			przedsionek; hall	
архитектура			architektura	
балкон			balkon	
баня			łazienka	
вана			wanna	
гараж			garaż	
гардероб			garderoba	
гледка			widok	
горе			na górze	
градина			ogród	
двуетажен			dwupiętrowy	
диван			tapczan; sofa	
канапе			sofa; kanapa	
долу			na dole	
душ			prysznic	
двоен			podwójny	
двойна			podwójna	
единичен			pojedynczy	
живея			mieszkam	
жълт			żółty	
зад			tył	
закачалка			wieszak	
запад			zachód	
изток			wschód	
камина			kominek	
кафяв			brązowy	
килим			dywan	
кожен			skórzany	
кухня			kuchnia	
мебел			meble	
между			między	
мивка			zlew	
мост			most	
мръсен			brudny	
над			nad	
обзаведен			umeblowany; urządzony	
огледало			lustro	
парно			ogrzewanie centralne	
перде			zasłonka	
печка			piec	
ПОД			pod	
пред			przed	
продавам			sprzedaję	
север			północ	
спалня			sypialnia	
стар			stary	
стена			ściana	
тесен			ciasny	
тясна			ciasna	
тоалетна			toaleta	
трапезария			jadalnia	
тристаен			trzypokojowy	
евтин			tani	
гледам			patrzę	
скъп			drogi; kosztowny	
у вас			u was	
у нас			u nas	
удобен			wygodny	
уютен			przytulny	
фолклор			folklor	
фотьойл			fotel	
хладилник			lodówka	
хол			salon	
червен			czerwony	
чувам			słyszę	
широк			szeroki	
шкаф			szafa	
юг			południe	
очила			okulary	
шумен			hałaśliwy	
град			miasto	
зелен			zielony	
# === 10 ===
дядо			dziadek	
приятелка			przyjaciółka	
вземам			biorę	
хора			ludzie	
център			centrum	
вход			wejście	
довечера			dziś wieczorem; dziś w nocy	
приготвям			przygotowuję	
син			niebieski; syn	
ходя			chodzę	
стар			stary	
анкета			ankieta	
гост			gość	
грозен			brzydki	
дъщеря			córka	
заедно			razem	
затварям			zamykam	
каня			zapraszam	
квартал			dzielnica	
кестеняв			kasztan	
коса			włosy	
купон			impreza	
къдрав			kędzierzawy	
маршрутка			minibus	
мечта			marzenie	
мечтая			marzę	
млад			młody	
нисък			niski	
око			oko	
очи			oczy	
отварям			otwieram	
отделно			oddzielnie	
пенсионер			pensjonier	
пеш			pieszy	
писмо			list	
план			plan	
планирам			planuję	
площад			plac	
покана			zaproszenie	
пощальон			listonosz	
пълен			gruby	
прав			prosty; mający rację	
родител			rodzic	
рус			blondyn	
село			wieś	
семейство			rodzina	
слаб			chudy; słaby	
тераса			taras	
