Phrase	Grammar	Transcription	Translation	Notes
анкета			ankieta	
вземам			biorę	
вход			wejście	
гост			gość	
грозен			brzydki	
довечера			dziś w nocy	
дъщеря			córka	
дядо			dziadek	
заедно			razem	
затварям			zamykam	
каня			zapraszam	
квартал			dzielnica	
кестеняв			kasztan	
коса			włosy	
купон			impreza	
къдрав			kędzierzawy	
маршрутка			minibus	
мечта			marzenie	
мечтая			marzę	
млад			młody	
нисък			niski	
око			oko	
очи			oczy	
отварям			otwieram	
отделно			oddzielnie	
пенсионер			pensjonier	
пеш			pieszy	
писмо			list	
план			plan	
планирам			planuję	
площад			plac	
покана			zaproszenie	
пощальон			listonosz	
приготвям			przygotowuję	
приятелка			przyjaciółka	
пълен			gruby	
прав			prosty; mający rację	
родител			rodzic	
рус			blondyn	
село			wieś	
семейство			rodzina	
син			syn	
слаб			chudy; słaby	
стар			stary	
тераса			taras	
ходя			chodzę	
хора			ludzie	
център			centrum	
