Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
myji			myję	
piji			piję	
pas			paszport	
lože			pościel	
domu			w domu	
rada			rada	
byt			mieszkanie	
myjí			myją	
pijí			piją	
pás			pas	
lóže			loża	w teatrze
domů			w domu; domów; do domu	
ráda			ona się cieszy	
být			być	
matka			matka	
mapa			mapa	
barva			kolor	
sad			sad	
národ			naród	
závod			fabryka	
sám			sam	
váza			wazon	
nos			nos	
strom			drzewo	
oko			oko	
okno			okno	
voda			woda	
tón			ton	
móda			moda	
sólo			solo	
dub			dąb	
ucho			ucho	
ruka			ręka	
student			student	
ubrus			obrus	
únor			luty	
útok			atak	
úroda			urodzaj	
ústa			usta	
ústav			instytut	
dům			dom	
stůl			stoł	
vůz			wóz	
sůl			sól	
pes			pies	
sen			sen	
ten			ten	
teta			ciocia	
metro			metro	
mé			moje	
tvé			twoje	
nést			nieść	
vézt			wieźć	
krásné			piękne	
děti			dzieci	
děd			dziadek	
těsto			ciasto	
tě			ciebie	
někdo			ktoś	
něco			coś	
oběd			obiad	
běhat			biegać	
pět			pięć	
zpěv			śpiew	
květ			kwiat	
město			miasto	
měsíc			miesiąc	
mě			mnie	
země			kraj	
pivo			piwo	
pít			pić	
pyl			pył	
pýcha			pycha	
vina			wina	
vír			wir	
vy			wy	
výt			wyć	
bitva			bitwa	
bída			bieda	
mi			mnie	
mít			mieć	
my			my	
mýt			myć	
si			siebie	
síla			siła	
syn			syn	
sýr			ser	
žít			żyć	
šifra			szyfr	
čich			węch	
říci			powiedzieć	
hýbat			poruszać	
chyba			błąd	
kytara			gitara	
ryba			ryba	
díl			tom	
tisk			pieczęć	
nit			nić	
jitro			poranek	
dýka			sztylet	
ty			ty	
nýt			nit	
bít			być; bić	
liška			lis	
zima			zima	
lysý			łysy	
pytel			worek	
sytý			syty	
brzy			szybko; wcześnie	
# === 6 ===
být			być	
vy			wy	
a			i	
časopis	m		czasopismo	
dost			dość	
fotografie	f		fotografia	
gauč	m		tapczan	
hezký			piękny; dobry	
kniha	f		książka	
knihovna	f		biblioteczka; szafa na książki; szafka na książki	
koš	m		kosz	
křeslo	n		fotel	
květina	f		kwiat	
lampa	f		lampa	
malý			mały	
nahoře			na górze	
nalevo			na lewo; po lewej	
napravo			na prawo; po prawej	
noviny	f		gazeta	
obraz	m		obraz	
okno	n		okno	
pero	n		pióro	
pokoj	m		pokój	
rádio	n		radio	
sešit	m		zeszyt	
skříň	f		szafa	
slovník	m		słownik	
stolek	m		stolik	
stůl	m		stół	
psací stůl	m		biurko	
světlý			jasny	
také			także; też	
tam			tam	
televizor	m		telewizor	
tmavý			ciemny	
uprostřed			pośrodku	
váza	f		wazon	
vedle			obok; przy	
vpředu			z przodu	
vysoký			wysoki	
vzadu			z tyłu	
židle	f		krzesło	
ano			tak	
budu			będę	
bude			będzie	
děkovat			dziękować	
děkuji			dziękuję	
já			ja	
den	m		dzień	
dobrý			dobry	
doktorka	f		lekarka	
chvíle	f		chwila	
za chvíli			za chwilę	
inženýr	m		inżynier	
kancelář	f		kancelaria; biuro	
káva	f		kawa	
laskavý			uprzejmy	
na shledanou			do widzenia	
ne			nie	
prominout			wybaczyć	
promiňte			proszę wybaczyć	
prosit			prosić	
prosím			proszę	
přát si			życzyć sobie; chcieć	
přejete si?			chcecie?	
sednout si			usiąść	
sedněte si			usiądźcie	
soudruh	m		towarzysz	
soudružka	f		towarzyszka	
tady			tutaj	
těšit			cieszyć	
těší mě			cieszę się	
velmi			bardzo	
