Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
být			być	
děti			dzieci	
mít			mieć	
kniha	f		książka	
malý			mały	
obraz	m		obraz	
okno	n		okno	
sešit	m		zeszyt	
slovník	m		słownik	
stůl	m		stół	
také			także; też	
vysoký			wysoki	
ano			tak	
den	m		dzień	
dobrý			dobry	
káva	f		kawa	
ne			nie	
ale			ale	
auto	n		samochód	
celý			cały	
cizinec	m		cudzoziemiec	
co			co	
čaj	m		herbata	
čas	m		czas	
Čech	m		Czech	
čeština	f		język czeski	
daleký			daleki; odległy	
dítě	n		dziecko	
dnes			dzisiaj	
doma			w domu	
dům	m		dom	
fakulta	f		fakultet	
hloupý			głupi	
hluboký			głęboki	
chytrý			mądry	
jak			jak	
ještě			jeszcze	
kdo			kto	
kočka	f		kot	
kolega	m		kolega	
měkký			miękki	
mladý			młody	
moderní			nowoczesny	
moc			bardzo	
moře	n		morze	
muž	m		mężczyzna	
nádraží	n		dworzec	
náměstí	n		plac	
nemocný			chory	
nízký			niski	
nový			nowy	
odkud			skąd	
odpoledne	n		popołudnie	
pláž	f		plaża	
poslední			ostatni	
profesor	m		wykładowca	
smutný			smutny	
starý			stary	
student	m		student	
studený			zimny	
široký			szeroki	
škola	f		szkoła	
taky			też	
taška	f		teczka	
tramvaj	f		tramwaj	
turista	m		turysta	
tužka	f		ołówek	
učitelka	f		nauczycielka	
unavený			zmęczony	
vdaná			zamężna	
velký			duży	
veselý			wesoły	
zajímavý			interesujący; ciekawy	
žena	f		kobieta	
ženatý			żonaty	
# === 2 ===
dům	m		dom	
ještě			jeszcze	
moře	n		morze	
škola	f		szkoła	
zajímavý			interesujący; ciekawy	
babička	f		babcia	
rozbít			rozbić	
bratr	m		brat	
bratranec	m		bratanek	
břeh	m		brzeg	
často			często	
dcera	f		córka	
dědeček	m		dziadek	
divadlo	n		teatr	
dlouho			długo	
dort	m		tort	
důchod	m		emerytura	
být v důchodu			być na emeryturze	
film	m		film	
firma	f		przedsiębiorstwo	
hodina	f		godzina	
hodně			dużo	
hrát			grać	
hřát			grzać; podgrzewać	
chodit			chodzić	
jazyk	m		język	
kamarádka	f		koleżanka	
každý			każdy	
kino	n		kino	
kolej	f		internat	
krásný			ładny	
kupovat			kupować	
lavice	f		ławka	
letiště	n		lotnisko; samolot	
lékař	m		lekarz	
maminka	f		mama	
manžel	m		mąż	
manželka	f		żona	
mapa	f		mapa	
matka	f		matka	
metro	n		metro	
město	n		miasto	
milovat			kochać	
mládenec	m		kawaler	
mléko	n		mleko	
mrak	m		chmura	
nádobí	n		naczynia	
nakupovat			robić zakupy	
narozeniny	pl. f		urodziny	
navštěvovat			odwiedzać	
mít návštěvu			mieć gości	
někdy			czasami	
oběd	m		obiad	
obchod	m		sklep	
obrazovka	f		ekran	
otec	m		ojciec	
park	m		park	
plánovat			planować	
pohlednice	f		widokówka	
pole	n		pole	
poliklinika	f		przychodnia	
pracovat			pracować	
prarodiče	pl. m		dziadkowie	
proč			dlaczego	
přátsi			życzyć	
rodina	f		rodzina	
ruka	f		ręka	
Rusko	n		Rosja	
sestřenice	f		siostrzenica	
slunce	n		słońce	
smát se			śmiać się	
směšný			śmieszny	
spolu			razem	
srdce	n		serce	
střecha	f		dach	
studovat			uczyć się; studiować	
svobodný			wolny; swobodny	
syn	m		syn	
synovec	m		bratanek	
školka	f		przedszkole	
tatínek	m		tata	
telefonovat			telefonować; dzwonić	
teta	f		ciocia	
továrna	f		fabryka	
ulice	f		ulica	
umýt			umyć	
univerzita	f		uniwersytet	
už			już	
venkov	m		przedmieście	
na venkově			na przedmieściach	
vesnice	f		wioska; wieś	
vnuk	m		wnuk	
vždy			zawsze	
zahrada	f		ogród	
země	f		kraj; ziemia	
zítra			jutro	
žit			żyć; mieszkać	
pít			pić	
mýt			myć	
bít			być; bić	
květina	f		kwiat	
pokoj	m		pokój	
skříň	f		szafa	
vedle			obok; przy	
děkovat			dziękować	
velmi			bardzo	
# === 3 ===
dům	m		dom	
balkon	m		balkon	
barevný			barwny; kolorowy	
bát se			bać się	
běžet			biec; uciekać	
dát			dać	
dělat			robić	
dívat se			patrzeć; podziwiać	
dokonce			nawet	
elektrický			elektryczny	
fialový			fioletowy	
fungovat			działać; funkcjonować	
hudba	f		muzyka	
chlapec	m		chłopak	
jezdit			jeździć	
jih	m		południe	
koberec	m		dywan	
koupelna	f		łazienka	
který			który	
kuchyně	f		kuchnia	
kuchyňská linka	f		zestaw kuchenny	
lednička	f		lodówka	
ležet			leżeć	
lidé	mn		ludzie	
ložnice	f		sypialnia	
lustr	m		żyrandol	
mikrovlnka	f		mikrofalówka	
místo	n		miejsce	
mluvit			mówić	
modrý			niebieski	
myčka	f		zmywarka	
nacházet se			znajdować się	
nábytek	m		mebel	
nic			nic	
nosit			nosić	
obědvat			jeść obiad	
okna jsou obrácena na západ			okna wychodzą na zachód	
obvykle			zwykle	
obývací pokoj	m		salon	
obývák	m		salon	
oranžový			pomarańczowy	
patro	n		piętro	
pavouk	m		pająk	
peníze	m		pieniądze	
pěkný			przyjemny	
podlaha	f		podłoga	
police	f		półka	
poprvé			po raz pierwszy	
poschodí	n		piętro	
poslouchat			słuchać	
postel	f		łóżko	
pračka	f		pralka	
proto			dlatego	
protože			dlatego, że	
předsíň	f		przedpokój	
roh	m		kąt; róg	
různý			różny	
růže	f		róża	
růžový			różowy	
sedět			siedzieć	
sever	m		północ	
schody	m		schody	
skládat			składać	
skládat zkoušku			zdawać egzamin	
slyšet			słyszeć	
spát			spać	
sporák	m		talerz	
stát			stać	
stěna	f		ściana	
strop	m		sufit	
šatník	m		garderoba	
učebnice	f		podręcznik	
učitse			uczyć się	
umět			umieć	
vařit			gotować	
věšák	m		wieszak	
vidět			widzieć	
viset			wisieć	
východ	m		wschód	
výtah	m		winda	
záclona	f		zasłonka	
záchod	m		toaleta	
západ	m		zachód	
zelený			zielony	
znát			wiedzieć	
zrcadlo	n		lustro	
žlutý			żółty	
brzy			szybko; wcześnie	
časopis	m		czasopismo	
gauč	m		tapczan	
hezký			piękny; dobry	
knihovna	f		biblioteczka; szafa na książki; szafka na książki	
křeslo	n		fotel	
lampa	f		lampa	
nalevo			na lewo; po lewej	
napravo			na prawo; po prawej	
skříň	f		szafa	
stolek	m		stolik	
světlý			jasny	
prosit			prosić	
# === 4 ===
dnes			dzisiaj	
zajímavý			interesujący; ciekawy	
často			często	
dlouho			długo	
hodina	f		godzina	
každý			każdy	
někdy			czasami	
oběd	m		obiad	
vždy			zawsze	
zítra			jutro	
nic			nic	
obědvat			jeść obiad	
obvykle			zwykle	
asi			około; w przybliżeniu	
brát			brać	
cesta	f		droga	
čistit			czyścić	
číst			czytać	
denně			codziennie	
detektivka	f; film, książka		kryminał	
domácí			domowy	
dopoledne	n		przedpołudnie	
hubený			szczupły	
jet			jechać	
jídelna	f		jadalnia	
jít			iść	
končit			kończyć; kończyć się	
kromě			oprócz	
kvést			kwitnąć	
lehnout si			położyć się	
literatura	f		literatura	
nikam			nigdzie	
oblékat se			ubierać się	
obléknout se			ubrać się	
odpočinout si			odpocząć	
pěšky			pieszo	
píseň	f		piosenka	
plakat			płakać	
plést			robić na drutach	
pracovní			pracujący	
práce	f		praca	
prát			prać	
program	m		program	
psát			pisać	
přesně			dokładnie; równo	
přestávka	f		przerwa	
připravovat se			przygotowywać się	
půlnoc	f		północ	
rychle			szybko	
sedmikráska	f		stokrotka	
skákat			skakać	
snídaně	f		śniadanie	
snídat			jeść śniadanie	
sportovat			uprawiać sport	
švihadlo	n		skakanka	
tisknout			ściskać; drukować	
trvat			trwać	
učesat se			uczesać się	
uklízet			sprzątać	
umýt se			umyć się	
usnout			usnąć	
úkol	m		zadanie	
večeře	f		kolacja	
večeřet			jeść kolację	
vést			prowadzić	
víkend	m		weekend	
vstávat			wstawać	
začínat			zaczynać	
zahnout			skręcić	
