Phrase	Grammar	Transcription	Translation	Notes
babička			babcia	f
bít			być
rozbít			rozbić
bratr			brat	m
bratranec			bratanek	m
břeh			brzeg	m
často			często
dcera			córka	f
dědeček			dziadek	m
děkovat			dziękować
divadlo			teatr	n
dlouho			długo
dort			tort	m
důchod			emerytura	m
být v důchodu			być na emeryturze
dům			dom	m
film			film	m
firma			przedsiębiorstwo	f
hodina			godzina	f
hodně			dużo
hrát			grać
hřát			grzać; podgrzewać
chodit			chodzić
jazyk			język	m
ještě			jeszcze
kamarádka			koleżanka	f
každý			każdy
kino			kino	n
kolej			internat	f
krásný			ładny
kupovat			kupować
květina			kwiat	f
lavice			ławka	f
letiště			lotnisko	n
lékař			lekarz	m
maminka			mama	f
manžel			mąż	m
manželka			żona	f
mapa			mapa	f
matka			matka	f
metro			metro	n
město			miasto	n
milovat			kochać
mládenec			kawaler	m
mléko			mleko	n
moře			morze	n
mrak			chmura	m
mýt			myć
nádobí			naczynia	n
nakupovat			robić zakupy
narozeniny			urodziny	pl. f
navštěvovat			odwiedzać
mít návštěvu			mieć gości
někdy			czasami
oběd			obiad	m
obchod			sklep	m
obrazovka			ekran	f
otec			ojciec	m
park			park	m
pít			pić
plánovat			planować
pohlednice			widokówka	f
pokoj			pokój	m
pole			pole	n
poliklinika			przychodnia	f
pracovat			pracować
prarodiče			dziadkowie	pl. m
proč			dlaczego
přátsi			życzyć
rodina			rodzina	f
ruka			ręka	f
Rusko			Rosja	n
sestřenice			siostrzenica	f
skříň			szafa	f
slunce			słońce	n
smát se			śmiać się
směšný			śmieszny
spolu			razem
srdce			serce	n
střecha			dach	f
studovat			uczyć się; studiować
svobodný			wolny; swobodny
syn			syn	m
synovec			bratanek	m
škola			szkoła	f
školka			przedszkole	f
tatínek			tata	m
telefonovat			telefonować; dzwonić
teta			ciocia	f
továrna			fabryka	f
ulice			ulica	f
umýt			umyć
univerzita			uniwersytet	f
už			już
vedle			przy; obok
velmi			bardzo
venkov			przedmieście	m
na venkově			na przedmieściach
vesnice			wioska; wieś	f
vnuk			wnuk	m
vždy			zawsze
zahrada			ogród	f
zajímavý			interesujący; ciekawy
země			ziemia; kraj	f
zítra			jutro
žit			żyć; mieszkać
