Phrase	Grammar	Transcription	Translation	Notes
asi			około; w przybliżeniu
brát			brać
brzy			wcześnie; szybko
cesta			droga	f
často			często
čistit			czyścić
číst			czytać
denně			codziennie
detektivka			kryminał	f; film, książka
dlouho			długo
dnes			dzisiaj
domácí			domowy
dopoledne			przedpołudnie	n
hodina			godzina	f
hubený			szczupły
jet			jechać
jídelna			jadalnia	f
jít			iść
každý			każdy
končit			kończyć; kończyć się
kromě			oprócz
kvést			kwitnąć
lehnout si			położyć się
literatura			literatura	f
nést			nieść
někdy			czasami
nic			nic
nikam			nigdzie
oběd			obiad	m
obědvat			jeść obiad
oblékat se			ubierać się
obléknout se			ubrać się
obvykle			zwykle
odpočinout si			odpocząć
pěšky			pieszo
píseň			piosenka	f
plakat			płakać
plést			robić na drutach
pracovní			pracujący
práce			praca	f
prát			prać
program			program	m
psát			pisać
přesně			dokładnie; równo
přestávka			przerwa	f
připravovat se			przygotowywać się
půlnoc			północ	f
rychle			szybko
sedmikráska			stokrotka	f
sednout si			usiąść
skákat			skakać
snídaně			śniadanie	f
snídat			jeść śniadanie
sportovat			uprawiać sport
švihadlo			skakanka	n
tisknout			ściskać; drukować
trvat			trwać
učesat se			uczesać się
uklízet			sprzątać
umýt se			umyć się
usnout			usnąć
úkol			zadanie	m
večeře			kolacja	f
večeřet			jeść kolację
vést			prowadzić
vézt			wieźć
víkend			weekend	m
vstávat			wstawać
vždy			zawsze
začínat			zaczynać
zahnout			skręcić
zajímavý			interesujący
zácpa			korek; zator	f
zejména			szczególnie
zítra			jutro
