Phrase	Grammar	Transcription	Translation	Notes
# === a1-1 ===
你		nǐ	ty	
好		hǎo	dobry; dobrze	
是		shì	być	
老师		lǎoshī	nauczyciel	
吗		ma	czy?	
不		bù	nie	
我		wǒ	ja	
学生		xuéshēng	uczeń, student	
她		tā	ona	
谢谢		xièxie	dziękuję!	
不客气		bú kèqi	nie ma za co	
您		nín	pan; pani	
留学生		liúxuéshēng	student zagraniczny	
叫		jiāo	wołać	
什么		shénme	co?	
名字		míngzi	imię	
李		Lǐ	Li	nazwisko
王		Wáng	Wang	nazwisko
# === a1-2 ===
哪		nǎ	który?	
国		guó	kraj, państwo	
人		rén	człowiek, ludzie	
同学		tóngxué	kolega ze szkoły	
们		-men		
来		lái	przyjść, przyjechać, przybyć	
介绍		jièshào	przedstawić	
一下儿		yíxiàr		
姓		xìng	nazwisko	
的		de		
他		tā	on	
认识		rènshi	znać się	
很		hěn	bardzo	
高兴		gāoxìng	zadowolony	
也		yě	też, także, również	
呢		ne	a...	
英国		Yīngguó	Wielka Brytania	
法国		Fǎguó	Francja	
日本		Rìběn	Japonia	
韩国		Hánguó	Korea	
# === a1-3 ===
日本		Rìběn	Japonia	
刘		Liú	Liu	
东方大学		Dōngfāng dàxué	uniwersytet Dongfang	
美国		Měiguó	Ameryka	
加拿大		Jiānádà	Kanada	
中国		Zhōngguó	Chiny	
那		nà	tamto	
书		shū	książka	
谁		shuí	kto?	
同屋		tóngwū	współlokator	
汉语		Hànyǔ	język chiński	
课本		kèběn	podręcznik	
词典		cídiǎn	słownik	
就是		jiù shì	to znaczy, to jest	
日语		Rìyǔ	język japoński	
这		zhè	to	
磁带		cídài	taśma, kaseta	
音乐		yīnyuè	muzyka	
朋友		péngyou	kolega, przyjaciel	
汉日词典		Hàn-Rì cídiǎn	słownik chińsko-japoński	
英语		Yīngyǔ	język angielski	
法语		Fǎyǔ	język francuski	
本		běn		
# === a1-4 ===
图书馆		túshūguǎn	biblioteka	
在		zài	być w	
哪儿		nǎr	gdzie?	
请问		qǐng wèn	przepraszam, czy mogę zapytać	
对不起		duìbuqǐ	przepraszam, przykro mi	
这儿		zhèr	tutaj	
知道		zhīdào	wiedzieć	
没关系		méi guānxi	nic nie szkodzi	
教学		jiàoxué	nauczanie	
楼		lóu	budynek	
那儿		nàr	tam	
宿舍		sùshè	internat, akademik	
北边		běibian	północ	
左边		zuǒbian	lewa strona	
右边		yòubian	prawa strona	
不用		bú yòng	nie trzeba	
不用谢		bú yòng xiè	nie ma za co	
东边		dōngbian	wschód	
南边		nánbian	południe	
邮局		yóujú	poczta, urząd pocztowy	
商店		shāngdiàn	sklep	
下边		xiàbian	pod spodem	
# === a1-5 ===
东边		dōngbian	wschód	
西边		xībian	zachód	
专业		zhuānyè	specjalność	
国际		guójì	międzynarodowy	
关系		guānxi	znajomości; układy	
中文		Zhōngwén	język chiński	
系		xì	wydział; departament	
研究生		yánjiūshēng	magistrant; słuchacz studiów magisterskich	
现代		xiàndài	współczesny; nowoczesny; Hyundai	
文学		wénxué	literatura	
有		yǒu	mieć	
空儿		kòngr	czas wolny	
时候		shíhou	czas; chwila	
欢迎		huānyíng	witaj; witać	
去		qù	iść; jechać; odejść; odjechać	
玩儿		wánr	bawić się	
卫生间		wèishēngjiān	toaleta; WC	
		jiàoshì	klasa; sala wykładowa	
旁边		pángbiān	bok	
对		dùi	tak jest	
中华大学		Zhōnghuá dàxué	uniwersytet Zhonghua	
现在		xiànzài	współczesny; teraz; obecny	
# === a1-6 ===
现在		xiànzài	współczesny; teraz; obecny	
几		jǐ	ile?; kilka; ile	
点		diǎn	godzina	
大学		dàxué	uniwersytet	
早上		zǎoshang	rano; poranek	
上课		shàng kè	iść na lekcje; mieć lekcje	
部分		bùfēn	część	
大部分		dà bùfēn	większość	
八		bā	osiem	
五十		wǔshí	pięćdziesiąt	
分		fēn	minuta	
我们		wǒmen	my	
学校		xuéxiào	szkoła	
九		jiǔ	dziewięć	
下课		xià kè	kończyć lekcje	
十		shí	dziesięć	
半		bàn	połowa	
太...了		tài ... le	zbyt; za	
早		zǎo	wcześnie	
电影		diànyǐng	film	
开始		kāishǐ	zaczynać; zaczynać się	
六		liù	sześć	
差		chà	brakować; nie wystarczać	
一		yī	jeden	
刻		kè	ćwierć	
一会儿		yíhuìr	za chwilę	
见		jiàn	zobaczyć; spotkać	
# === a1-30 ===
联欢会	N	liánhuānhuì	spotkanie	
行李	N	xínglǐ	bagaż	
收拾	V	shōushí	ogarnąć, uporządkować	
半天	N	bàntiān	pół dnia	
半天		bàntiān	bardzo długo	
整天		zhěngtiān	cały dzień	
歌	V	gē	śpiewać	
歌	N	gē	piosenka	
需要	V	xūyào	potrzebować	
需要	N	xūyào	potrzeba	
英文	N	yīngwén	język angielski	
首		shǒu		
流行	Adj	liúxíng	popularny, znany, modny	
歌曲	N	gēqǔ	pieśń	
民歌	N	míngē	pieśń ludowa	
好听	Adj	hǎotīng	do słuchania	
发音	V	fāyīn	wymawiać	
发音	N	fāyīn	wymowa	
懂	V	dǒng	rozumieć	
如果		rúguǒ	jeśli, jeżeli; w przypadku, gdy	
熟悉	V	shúxī	dobrze znać	
熟悉	Adj	shúxī	dobrze znany	
歌词	N	gēcí	słowa piosenki	
标准	N	biāozhǔn	standard	
标准	Adj	biāozhǔn	standardowy	
面子	N	miànzi	twarz	
怕	V	pà	bać się	
中		zhòng	zostać trafionym	
年代	N	niándài	wiek; era; lata	
歌手	N	gēshǒu	wokalista; piosenkarz; śpiewak	
