Phrase	Grammar	Transcription	Translation	Notes
刘		Liú	Liu	
东方大学		Dōngfāng dàxué	uniwersytet Dongfang	
美国		Měiguó	Ameryka	
加拿大		Jiānádà	Kanada	
中国		Zhōngguó	Chiny	
那		nà	tamto	
书		shū	książka	
谁		shuí	kto?	
同屋		tóngwū	współlokator	
汉语		Hànyǔ	język chiński	
课本		kèběn	podręcznik	
词典		cídiǎn	słownik	
就是		jiù shì	to znaczy, to jest	
日语		Rìyǔ	język japoński	
这		zhè	to	
磁带		cídài	taśma, kaseta	
音乐		yīnyuè	muzyka	
朋友		péngyou	kolega, przyjaciel	
汉日词典		Hàn-Rì cídiǎn	słownik chińsko-japoński	
日本		Rìběn	Japonia	
英语		Yīngyǔ	język angielski	
法语		Fǎyǔ	język francuski	
本		běn		
