Phrase	Grammar	Transcription	Translation	Notes
				
联欢会	N	liánhuānhuì	spotkanie	
行李	N	xínglǐ	bagaż	
收拾	V	shōushí	ogarnąć, uporządkować	
半天	N	bàntiān	pół dnia	
半天		bàntiān	bardzo długo	
整天		zhěngtiān	cały dzień	
歌	V	gē	śpiewać	
歌	N	gē	piosenka	
需要	V	xūyào	potrzebować	
需要	N	xūyào	potrzeba	
英文	N	yīngwén	język angielski	
首		shǒu		
流行	Adj	liúxíng	popularny, znany, modny	
歌曲	N	gēqǔ	pieśń	
民歌	N	míngē	pieśń ludowa	
好听	Adj	hǎotīng	do słuchania	
发音	V	fāyīn	wymawiać	
发音	N	fāyīn	wymowa	
懂	V	dǒng	rozumieć	
如果		rúguǒ	jeśli, jeżeli	
熟悉	V	shúxī	dobrze znać	
熟悉	Adj	shúxī	dobrze znany	
歌词	N	gēcí	słowa piosenki	
标准	N	biāozhǔn	standard	
标准	Adj	biāozhǔn	standardowy	
面子	N	miànzi	twarz	
怕	V	pà	bać się	
中		zhòng	zostać trafionym	
年代	N	niándài	wiek; era; lata	
歌手	N	gēshǒu	wokalista; piosenkarz; śpiewak	
