Phrase	Grammar	Transcription	Translation	Notes
矮	adj	ǎi	niski	HSK 3
安静	adj	ānjìng	spokojny	HSK 3
饱	adj	bǎo	syty	HSK 3
聪明	adj	cōngming	mądry	HSK 3
低	adj	dī	niski	HSK 3
短	adj	duǎn	krótki	HSK 3
饿	adj	è	głodny	HSK 3
方便	adj	fāngbiàn	dogodny	HSK 3
干净	adj	gānjìng	czysty	HSK 3
高兴	adj	gāoxìng	zadowolony	HSK 3
坏	adj	huài	zły; zepsuty	HSK 3
黄	adj	huáng	żółty	HSK 3
简单	adj	jiǎndān	prosty; nieskomplikowany	HSK 3
健康	adj	jiànkāng	zdrowy; zdrowie	HSK 3
久	adj	jiǔ	długotrwały	HSK 3
旧	adj	jiù	stary i zniszczony	HSK 3
渴	adj	kě	spragniony	HSK 3
可爱	adj	kě'ài	miły; kochany	HSK 3
蓝	adj	lán	niebieski	HSK 3
老	adj	lǎo	stary	HSK 3
绿	adj	lǜ	zielony	HSK 3
难	adj	nán	trudny	HSK 3
难过	adj	nánguò	zmartwiony	HSK 3
年轻	adj	niánqīng	młody	HSK 3
努力	adj	nǔlì	wysilać się; ciężko pracować	HSK 3
胖	adj	pàng	otyły	HSK 3
便宜	adj	piányi	tani	HSK 3
奇怪	adj	qíguài	dziwny	HSK 3
清楚	adj	qīngchu	przejrzysty	HSK 3
认真	adj	rènzhēn	poważny	HSK 3
热情	adj	rèqíng	entuzjastyczny; bardzo przyjazny	HSK 3
容易	adj	róngyì	łatwy	HSK 3
瘦	adj	shòu	szczupły	HSK 3
舒服	adj	shūfu	wygodny; dobrze się czujący	HSK 3
甜	adj	tián	słodki	HSK 3
突然	adj	tūrán	nagły	HSK 3
小心	adj	xiǎoxīn	ostrożny	HSK 3
新鲜	adj	xīnxiān	świeży	HSK 3
一般	adj	yībān	ogólny; przeciętny	HSK 3
一样	adj	yīyàng	taki sam	HSK 3
有名	adj	yǒumíng	sławny; znany	HSK 3
着急	adj	zháojí	zaniepokojony	HSK 3
真	adj	zhēn	prawdziwy	HSK 3
重要	adj	zhòngyào	ważny	HSK 3
主要	adj	zhǔyào	główny	HSK 3
