Phrase	Grammar	Transcription	Translation	Notes
暗	àn	dark	HSK 5
薄	báo	thin (e.g. of clothing)	HSK 5
宝贵	bǎoguì	valuable, precious	HSK 5
悲观	bēiguān	pessimistic	HSK 5
必然	bìrán	inevitable	HSK 5
必要	bìyào	necessary	HSK 5
不安	bù'ān	uneasy	HSK 5
不得了	bùdéliǎo	serious, exceedingly	HSK 5
不耐烦	bùnàifán	impatient	HSK 5
不足	bùzú	insufficient, lacking	HSK 5
惭愧	cánkuì	ashamed	HSK 5
长途	chángtú	long distance	HSK 5
吵	chǎo	noisy	HSK 5
超级	chāojí	super	HSK 5
潮湿	cháoshī	humid	HSK 5
诚恳	chéngkěn	sincere	HSK 5
成熟	chéngshú	mature; ripe	HSK 5
沉默	chénmò	silent, uncommunicative	HSK 5
充分	chōngfèn	full, ample	HSK 5
臭	chòu	stinky, smelly	HSK 5
丑	chǒu	ugly	HSK 5
传统	chuántǒng	traditional	HSK 5
初级	chūjí	elementary-level	HSK 5
出口	chūkǒu	an exit	HSK 5
出色	chūsè	outstanding	HSK 5
次要	cìyào	secondary	HSK 5
粗糙	cūcāo	rough, coarse	HSK 5
大方	dàfang	generous, giving	HSK 5
淡	dàn	weak in color or taste	HSK 5
单纯	dānchún	simple, pure	HSK 5
单调	dāndiào	monotonous, dull	HSK 5
大型	dàxíng	large-scale	HSK 5
地道	dìdao	authentic	HSK 5
逗	dòu	amusing	HSK 5
独立	dúlì	independent	HSK 5
多余	duōyú	extra, superfluous	HSK 5
独特	dútè	unique and special	HSK 5
恶劣	èliè	of very poor quality	HSK 5
发达	fādá	developed	HSK 5
方	fāng	square	HSK 5
繁荣	fánróng	prosperous, flourishing	HSK 5
非	fēi	non-	HSK 5
疯狂	fēngkuáng	crazy	HSK 5
干脆	gāncuì	straightforward	HSK 5
干燥	gānzào	dry, arid	HSK 5
高档	gāodàng	superior quality	HSK 5
高级	gāojí	high-level	HSK 5
个别	gèbié	individual, specific, respective	HSK 5
公平	gōngpíng	fair	HSK 5
乖	guāi	(of a child) good, well-behaved	HSK 5
广大	guǎngdà	(of an area) vast or extensive	HSK 5
广泛	guǎngfàn	broad, wide-ranging	HSK 5
光滑	guānghuá	smooth, shiny	HSK 5
古典	gǔdiǎn	classical	HSK 5
固定	gùdìng	fixed	HSK 5
过分	guòfèn	excessive, over the top	HSK 5
豪华	háohuá	luxurious	HSK 5
好客	hàokè	hospitable	HSK 5
好奇	hàoqí	curious	HSK 5
合法	héfǎ	legal, lawful	HSK 5
合理	hélǐ	reasonable	HSK 5
滑	huá	slippery	HSK 5
慌张	huāngzhāng	confused, flustered	HSK 5
活跃	huóyuè	active, lively	HSK 5
糊涂	hútu	confused, muddled	HSK 5
讲究	jiǎngjiu	to pay particular attention to	HSK 5
艰巨	jiānjù	arduous	HSK 5
坚决	jiānjué	firm, resolute	HSK 5
艰苦	jiānkǔ	difficult	HSK 5
坚强	jiānqiáng	strong, staunch	HSK 5
狡猾	jiǎohuá	cunning, sly	HSK 5
基本	jīběn	fundamental	HSK 5
结实	jiēshi	sturdy	HSK 5
寂寞	jìmò	lonely	HSK 5
近代	jìndài	early modern times (mid-19th century to 1919)	HSK 5
经典	jīngdiǎn	classic, classical	HSK 5
紧急	jǐnjí	urgent, pressing	HSK 5
谨慎	jǐnshèn	cautious	HSK 5
巨大	jùdà	huge	HSK 5
均匀	jūnyún	well-distributed	HSK 5
具体	jùtǐ	specific	HSK 5
客观	kèguān	objective (opposite of subjective)	HSK 5
可靠	kěkào	reliable	HSK 5
刻苦	kèkǔ	hardworking, painstaking	HSK 5
可怕	kěpà	scary, terrible	HSK 5
空闲	kòngxián	idle	HSK 5
宽	kuān	wide, broad	HSK 5
夸张	kuāzhāng	exaggerated	HSK 5
烂	làn	rotten; overcooked; lousy	HSK 5
老实	lǎoshí	honest, naive	HSK 5
乐观	lèguān	optimistic	HSK 5
冷淡	lěngdàn	cold	HSK 5
亮	liàng	bright	HSK 5
良好	liánghǎo	good	HSK 5
了不起	liǎobuqǐ	amazing	HSK 5
灵活	línghuó	flexible, nimble, agile	HSK 5
临时	línshí	temporary, at the last minute	HSK 5
矛盾	máodùn	contradicting	HSK 5
苗条	miáotiáo	slender and shapely	HSK 5
秘密	mìmì	secret	HSK 5
敏感	mǐngǎn	sensitive	HSK 5
明确	míngquè	clear-cut, definite	HSK 5
明显	míngxiǎn	obvious	HSK 5
密切	mìqiè	intimate, closely related	HSK 5
模糊	móhu	vague, blurry	HSK 5
陌生	mòshēng	unfamiliar	HSK 5
某	mǒu	some..., a certain...	HSK 5
嫩	nèn	tender	HSK 5
能干	nénggàn	capable	HSK 5
浓	nóng	concentrated, dense, strong	HSK 5
偶然	ǒurán	accidental, coincidental	HSK 5
片面	piànmiàn	one-sided	HSK 5
疲劳	píláo	weary	HSK 5
平	píng	flat	HSK 5
平安	píng'ān	safe and sound	HSK 5
平等	píngděng	equal	HSK 5
平静	píngjìng	serene	HSK 5
浅	qiǎn	shallow (of water), light (of colors)	HSK 5
谦虚	qiānxū	modest	HSK 5
巧妙	qiǎomiào	ingenious	HSK 5
亲爱	qīn'ài	dear	HSK 5
勤奋	qínfèn	diligent, hardworking	HSK 5
青	qīng	green	HSK 5
清淡	qīngdàn	light (of food, not greasy or strongly seasoned)	HSK 5
亲切	qīnqiè	amiable	HSK 5
其余	qíyú	the others	HSK 5
全面	quánmiàn	all-around, comprehensive	HSK 5
热心	rèxīn	enthusiasm, zeal	HSK 5
软	ruǎn	soft	HSK 5
弱	ruò	weak, inferior	HSK 5
傻	shǎ	silly, foolish	HSK 5
善良	shànliáng	kind, nice	HSK 5
深刻	shēnkè	deep, profound	HSK 5
神秘	shénmì	mysterious	HSK 5
时髦	shímáo	fashionable	HSK 5
湿润	shīrùn	moist	HSK 5
时尚	shíshàng	fashion	HSK 5
实用	shíyòng	practical	HSK 5
熟练	shúliàn	proficient in, well-versed in	HSK 5
舒适	shūshì	cozy, comfy	HSK 5
私人	sīrén	private, personal	HSK 5
烫	tàng	too hot to touch	HSK 5
坦率	tǎnshuài	candid	HSK 5
淘气	táoqì	naughty, mischievous	HSK 5
特殊	tèshū	special, unusual	HSK 5
天真	tiānzhēn	naive, innocent	HSK 5
调皮	tiáopí	naughty; mischievous; unruly	HSK 5
体贴	tǐtiē	considerate, caring	HSK 5
痛苦	tòngkǔ	painful, agonizing	HSK 5
