Phrase	Grammar	Transcription	Translation	Notes
便	biàn	soon afterwards	HSK 5
毕竟	bìjìng	after all	HSK 5
必然	bìrán	inevitably	HSK 5
不断	bùduàn	unceasing, continuous	HSK 5
不见得	bùjiànde	not necessarily; not likely	HSK 5
曾经	céngjīng	once, ever	HSK 5
彻底	chèdǐ	utterly, thoroughly	HSK 5
迟早	chízǎo	sooner or later	HSK 5
抽象	chōuxiàng	abstract	HSK 5
从此	cóngcǐ	from now on, since then	HSK 5
匆忙	cōngmáng	hasty, hurried	HSK 5
单独	dāndú	alone	HSK 5
的确	díquè	indeed	HSK 5
反复	fǎnfù	repeatedly, over and over	HSK 5
纷纷	fēnfēn	one after another, in succession	HSK 5
干脆	gāncuì	might as well	HSK 5
赶紧	gǎnjǐn	quickly, hurriedly	HSK 5
赶快	gǎnkuài	at once	HSK 5
根本	gēnběn	(not) at all	HSK 5
格外	géwài	especially	HSK 5
果然	guǒrán	as expected, sure enough	HSK 5
忽然	hūrán	suddenly	HSK 5
简直	jiǎnzhí	simply, practically	HSK 5
激烈	jīliè	intense	HSK 5
急忙	jímáng	hastily	HSK 5
尽快	jìnkuài	as quickly as possible	HSK 5
尽量	jǐnliàng	to the best of one's ability	HSK 5
极其	jíqí	extremely	HSK 5
绝对	juéduì	absolutely	HSK 5
居然	jūrán	unexpectedly, to one's surprise	HSK 5
具体	jùtǐ	specifically	HSK 5
连忙	liánmáng	promptly	HSK 5
连续	liánxù	in a row, continuous	HSK 5
立即	lìjí	immediately	HSK 5
立刻	lìkè	immediately	HSK 5
轮流	lúnliú	in turns, by turn	HSK 5
陆续	lùxù	in succession	HSK 5
难免	nánmiǎn	difficult to avoid, will inevitably	HSK 5
偶然	ǒurán	accidentally	HSK 5
平常	píngcháng	usually	HSK 5
迫切	pòqiè	urgently	HSK 5
强烈	qiángliè	intense	HSK 5
悄悄	qiāoqiāo	secretly	HSK 5
轻易	qīngyì	easily, lightly, rashly	HSK 5
亲自	qīnzì	personally	HSK 5
热烈	rèliè	enthusiastic	HSK 5
生动	shēngdòng	vivid, lively	HSK 5
事先	shìxiān	in advance, beforehand	HSK 5
始终	shǐzhōng	from beginning to end	HSK 5
丝毫	sīháo	the slightest amount or degree	HSK 5
似乎	sìhū	to seem as if, seemingly	HSK 5
随时	suíshí	at any time	HSK 5
随手	suíshǒu	on your way, while you're at it	HSK 5
通常	tōngcháng	usually	HSK 5
痛快	tòngkuài	delighted	HSK 5
未必	wèibì	not necessarily	HSK 5
瞎	xiā	blindly, groundlessly, foolishly	HSK 5
相当	xiāngdāng	considerably	HSK 5
幸亏	xìngkuī	fortunately	HSK 5
迅速	xùnsù	rapid, speedy	HSK 5
一律	yīlǜ	without exception	HSK 5
依然	yīrán	still, yet	HSK 5
一再	yīzài	repeatedly	HSK 5
再三	zàisān	again and again	HSK 5
照常	zhàocháng	as usual	HSK 5
至今	zhìjīn	until now	HSK 5
逐步	zhúbù	progressively, by steps	HSK 5
逐渐	zhújiàn	gradually	HSK 5
总算	zǒngsuàn	finally	HSK 5
