Phrase	Grammar	Transcription	Translation	Notes
把	bǎ	[measure word for things with a handle]	HSK 3
层	céng	[measure word for floor, level of a building]	HSK 3
段	duàn	[measure word for length (of time), paragraph]	HSK 3
分	fēn	a unit of money (equal to 1/100 yuan)	HSK 3
公斤	gōngjīn	kilogram (kg)	HSK 3
角	jiǎo	unit of money (equal to 1/10 yuan)	HSK 3
刻	kè	quarter (hour)	HSK 3
口	kǒu	[measure word for bites of food or people in a household]	HSK 3
辆	liàng	[measure word for cars]	HSK 3
双	shuāng	pair, [measure word for pairs of things]	HSK 3
条	tiáo	[measure word for long things]	HSK 3
碗	wǎn	[measure word for bowls of something]	HSK 3
位	wèi	[polite measure word for people]	HSK 3
元	yuán	[measure word for units of money]	HSK 3
张	zhāng	[measure word for flat things]	HSK 3
只	zhī	[measure word for small things]	HSK 3
种	zhǒng	kind, type	HSK 3
