Phrase	Grammar	Transcription	Translation	Notes
爸爸	n	bàba	tata	HSK 1
北京	n	Běijīng	Pekin	HSK 1
杯子	n	bēizi	kubek	HSK 1
菜	n	cài	warzywo	HSK 1
茶	n	chá	herbata	HSK 1
出租车	n	chūzūchē	taksówka	HSK 1
点	n	diǎn	kropka; punkt	HSK 1
电脑	n	diànnǎo	komputer	HSK 1
电视	n	diànshì	telewizja	HSK 1
电影	n	diànyǐng	film	HSK 1
东西	n	dōngxi	rzecz	HSK 1
儿子	n	érzi	syn	HSK 1
饭店	n	fàndiàn	restauracja	HSK 1
飞机	n	fēijī	samolot	HSK 1
分钟	n	fēnzhōng	minuta	HSK 1
狗	n	gǒu	pies	HSK 1
汉语	n	hànyǔ	język chiński	HSK 1
后面	n	hòumiàn	z tyłu	HSK 1
家	n	jiā	dom	HSK 1
今天	n	jīntiān	dzisiaj	HSK 1
老师	n	lǎoshī	nauczyciel	HSK 1
里面	n	lǐmiàn	wewnątrz	HSK 1
妈妈	n	māma	mama	HSK 1
猫	n	māo	kot	HSK 1
米饭	n	mǐfàn	ryż	HSK 1
明天	n	míngtiān	jutro	HSK 1
名字	n	míngzi	imię	HSK 1
年	n	nián	rok	HSK 1
女儿	n	nǚ'ér	córka	HSK 1
朋友	n	péngyou	przyjaciel	HSK 1
苹果	n	píngguǒ	jabłko	HSK 1
钱	n	qián	pieniądze	HSK 1
前面	n	qiánmiàn	z przodu	HSK 1
人	n	rén	osoba	HSK 1
上	n	shàng	na górze	HSK 1
商店	n	shāngdiàn	sklep	HSK 1
上午	n	shàngwǔ	przedpołudnie	HSK 1
时候	n	shíhou	czas	HSK 1
书	n	shū	książka	HSK 1
水	n	shuǐ	woda	HSK 1
水果	n	shuǐguǒ	owoc	HSK 1
天气	n	tiānqì	pogoda	HSK 1
同学	n	tóngxué	kolega ze szkoły	HSK 1
下	n	xià	na dole	HSK 1
先生	n	xiānsheng	pan	HSK 1
现在	n	xiànzài	teraz	HSK 1
小姐	n	xiǎojiě	panna	HSK 1
下午	n	xiàwǔ	popołudnie	HSK 1
星期	n	xīngqī	tydzień	HSK 1
学生	n	xuéshēng	uczeń	HSK 1
学校	n	xuéxiào	szkoła	HSK 1
衣服	n	yīfu	ubranie	HSK 1
医生	n	yīshēng	lekarz	HSK 1
医院	n	yīyuàn	szpital	HSK 1
椅子	n	yǐzi	krzesło	HSK 1
月	n	yuè	miesiąc	HSK 1
中国	n	Zhōngguó	Chiny	HSK 1
中午	n	zhōngwǔ	południe	HSK 1
桌子	n	zhuōzi	stół	HSK 1
字	n	zì	znak pisma	HSK 1
昨天	n	zuótiān	wczoraj	HSK 1
