Phrase	Grammar	Transcription	Translation	Notes
爱护	àihù	to treasure	HSK 5
爱惜	àixī	to cherish	HSK 5
安慰	ānwèi	to console	HSK 5
安装	ānzhuāng	to install	HSK 5
熬夜	áoyè	to be up all night	HSK 5
摆	bǎi	to arrange, to exhibit	HSK 5
办理	bànlǐ	to handle (official business), to process	HSK 5
保持	bǎochí	to maintain, to keep	HSK 5
保存	bǎocún	to save (a file, etc.)	HSK 5
报到	bàodào	to report for duty, to check in	HSK 5
报道	bàodào	to report (on the news)	HSK 5
报告	bàogào	to report	HSK 5
包含	bāohán	to contain, to embody	HSK 5
包括	bāokuò	to include, to involve	HSK 5
保留	bǎoliú	to retain, to preserve	HSK 5
抱怨	bàoyuàn	to complain	HSK 5
把握	bǎwò	to grasp	HSK 5
背	bēi	to recite from memory, to learn by heart	HSK 5
编辑	biānjí	to edit	HSK 5
辩论	biànlùn	to debate	HSK 5
表达	biǎodá	to express	HSK 5
表明	biǎomíng	to make clear	HSK 5
表现	biǎoxiàn	to show, to display	HSK 5
避免	bìmiǎn	to avoid	HSK 5
播放	bōfàng	to broadcast	HSK 5
补充	bǔchōng	to supplement, to add in	HSK 5
不如	bùrú	to be not as good as; "it would be better to..."	HSK 5
踩	cǎi	to step on	HSK 5
采访	cǎifǎng	to interview (for a news article, etc.)	HSK 5
采取	cǎiqǔ	to adopt, to carry out (measures, policies, etc.)	HSK 5
参考	cānkǎo	to reference	HSK 5
参与	cānyù	to participate (in)	HSK 5
操心	cāoxīn	to be worry (about)	HSK 5
测验	cèyàn	to test	HSK 5
插	chā	to insert	HSK 5
拆	chāi	to tear open	HSK 5
产生	chǎnshēng	to produce	HSK 5
吵	chǎo	to argue	HSK 5
炒	chǎo	to stir fry	HSK 5
抄	chāo	to make a copy	HSK 5
吵架	chǎojià	to argue	HSK 5
称	chēng	to weigh	HSK 5
称	chēng	to call someone by a particular name	HSK 5
承担	chéngdān	to take on (a responsibility)	HSK 5
称呼	chēnghu	to address (someone) as	HSK 5
成立	chénglì	to establish, to set up	HSK 5
承认	chéngrèn	to admit	HSK 5
承受	chéngshòu	to bear	HSK 5
称赞	chēngzàn	to praise	HSK 5
成长	chéngzhǎng	to mature, to grow	HSK 5
吃亏	chīkuī	to suffer losses, to get a bum deal	HSK 5
持续	chíxù	to continue, to persist	HSK 5
冲	chōng	to rush; to rinse	HSK 5
重复	chóngfù	to repeat	HSK 5
充满	chōngmǎn	to be full of	HSK 5
传播	chuánbō	to propagate, to spread	HSK 5
闯	chuǎng	to charge through	HSK 5
创造	chuàngzào	to create	HSK 5
传染	chuánrǎn	to infect	HSK 5
出版	chūbǎn	to publish	HSK 5
吹	chuī	to blow	HSK 5
出口	chūkǒu	to export	HSK 5
处理	chǔlǐ	to process, to handle	HSK 5
出示	chūshì	to display to others	HSK 5
出席	chūxí	to attend (an official event)	HSK 5
刺激	cìjī	to stimulate, to provoke	HSK 5
辞职	cízhí	to resign	HSK 5
从事	cóngshì	to engage in	HSK 5
催	cuī	to urge	HSK 5
促进	cùjìn	to promote (an idea or cause)	HSK 5
存在	cúnzài	to exist	HSK 5
促使	cùshǐ	to induce	HSK 5
达到	dádào	to reach (a result)	HSK 5
打工	dǎgōng	to do a part time job, to do manual labor	HSK 5
呆	dāi	to stay (in a place) [also written as 待]	HSK 5
代表	dàibiǎo	to represent	HSK 5
代替	dàitì	to substitute; instead	HSK 5
挡	dǎng	to obstruct, to block	HSK 5
当心	dāngxīn	to take care, to look out	HSK 5
担任	dānrèn	to hold a (government) position	HSK 5
耽误	dānwu	to delay	HSK 5
到达	dàodá	to arrive	HSK 5
倒霉	dǎoméi	to have bad luck	HSK 5
导致	dǎozhì	to lead to (something bad)	HSK 5
打听	dǎting	to ask about	HSK 5
答应	dāying	to promise, to agree to	HSK 5
等待	děngdài	to wait (for)	HSK 5
登记	dēngjì	to register	HSK 5
等于	děngyú	to be equal to	HSK 5
递	dì	to hand over	HSK 5
滴	dī	to drip	HSK 5
钓	diào	to fish (with a a fishing line)	HSK 5
冻	dòng	to freeze	HSK 5
逗	dòu	to tease	HSK 5
断	duàn	to break (something long)	HSK 5
度过	dùguò	to spend (time)	HSK 5
堆	duī	to pile up	HSK 5
对比	duìbǐ	to contrast	HSK 5
对待	duìdài	to treat (someone a certian way)	HSK 5
兑换	duìhuàn	to exchange (e.g. money)	HSK 5
蹲	dūn	to squat down	HSK 5
躲藏	duǒcáng	to conceal oneself	HSK 5
多亏	duōkuī	thanks to...	HSK 5
发表	fābiǎo	to issue (a statement)	HSK 5
发愁	fāchóu	to fret, to be anxious	HSK 5
发抖	fādǒu	to tremble, to shiver	HSK 5
发挥	fāhuī	to exhibit (certain qualities)	HSK 5
罚款	fákuǎn	to fine	HSK 5
发明	fāmíng	to invent	HSK 5
翻	fān	to turn over, to flip	HSK 5
妨碍	fáng'ài	to obstruct, to impede	HSK 5
仿佛	fǎngfú	as if	HSK 5
反应	fǎnyìng	to react	HSK 5
反映	fǎnyìng	to reflect	HSK 5
发言	fāyán	to give a speech, to make a statement	HSK 5
分别	fēnbié	to part or leave each other	HSK 5
分布	fēnbù	to distribute	HSK 5
奋斗	fèndòu	to strive, to struggle	HSK 5
讽刺	fěngcì	to satirize, to mock	HSK 5
分配	fēnpèi	to distribute	HSK 5
分手	fēnshǒu	to break up (of two lovers)	HSK 5
分析	fēnxī	to analyze	HSK 5
否定	fǒudìng	to negate	HSK 5
否认	fǒurèn	to deny	HSK 5
扶	fú	to physically support (with one's hands), to help up	HSK 5
辅导	fǔdǎo	to give guidance	HSK 5
复制	fùzhì	to copy (text), to duplicate	HSK 5
盖	gài	to cover	HSK 5
改革	gǎigé	to reform	HSK 5
改进	gǎijìn	to improve	HSK 5
概括	gàikuò	to summarize	HSK 5
改善	gǎishàn	to make better	HSK 5
改正	gǎizhèng	to correct, to put right	HSK 5
干活儿	gànhuór	to do manual labor	HSK 5
感激	gǎnjī	to be grateful	HSK 5
感受	gǎnshòu	to feel, to experience	HSK 5
搞	gǎo	to do, to make	HSK 5
告别	gàobié	to bid farewell to	HSK 5
公布	gōngbù	to announce, to make public	HSK 5
公开	gōngkāi	to make public	HSK 5
恭喜	gōngxǐ	congratulations, to congratulate	HSK 5
贡献	gòngxiàn	to contribute	HSK 5
构成	gòuchéng	to form, to compose	HSK 5
沟通	gōutōng	to communicate, to connect	HSK 5
挂号	guàhào	to register (at a hospital, etc.)	HSK 5
怪不得	guàibude	no wonder; "so that's why..."	HSK 5
拐弯	guǎiwān	to go round a curve	HSK 5
关闭	guānbì	to close	HSK 5
观察	guānchá	to observe	HSK 5
光临	guānglín	to be present [honorific]	HSK 5
固定	gùdìng	to fix (in place)	HSK 5
归纳	guīnà	to sum up	HSK 5
滚	gǔn	to roll	HSK 5
过敏	guòmǐn	to be allergic	HSK 5
过期	guòqī	to expire	HSK 5
鼓舞	gǔwǔ	to hearten (e.g. good news)	HSK 5
鼓掌	gǔzhǎng	to applaud	HSK 5
喊	hǎn	to yell	HSK 5
恨	hèn	to hate	HSK 5
合影	héyǐng	to take a joint photo	HSK 5
合作	hézuò	to cooperate	HSK 5
划	huá	to row, to paddle	HSK 5
怀念	huáiniàn	to reminisce about	HSK 5
怀孕	huáiyùn	to become pregnant	HSK 5
缓解	huǎnjiě	to alleviate, to relieve	HSK 5
幻想	huànxiǎng	to halliucinate	HSK 5
挥	huī	to wave (one's hand)	HSK 5
恢复	huīfù	to resume	HSK 5
灰心	huīxīn	to lose heart, to be discouraged	HSK 5
忽视	hūshì	to ignore, to neglect	HSK 5
胡说	húshuō	to talk nonsense	HSK 5
呼吸	hūxī	to breathe	HSK 5
系	jì	to tie up, to fasten (e.g. a seatbelt)	HSK 5
嫁	jià	(of a woman) to marry	HSK 5
捡	jiǎn	to pick up	HSK 5
讲究	jiǎngjiu	to pay particular attention to, to be focused on	HSK 5
建立	jiànlì	to establish	HSK 5
建设	jiànshè	to build	HSK 5
健身	jiànshēn	to work out (at a gym)	HSK 5
兼职	jiānzhí	to do a part-time job	HSK 5
浇	jiāo	to water (plants)	HSK 5
交换	jiāohuàn	to exchange, to swap	HSK 5
交际	jiāojì	to communicate	HSK 5
交往	jiāowǎng	to date (someone)	HSK 5
教训	jiàoxun	to lecture (on issues of morality)	HSK 5
驾驶	jiàshǐ	to pilot, to drive	HSK 5
假装	jiǎzhuāng	to pretend	HSK 5
戒	jiè	to give up or quit doing (e.g. alcohol, smoking)	HSK 5
接触	jiēchù	in come into contact with, to encounter	HSK 5
接待	jiēdài	to receive (a visitor)	HSK 5
结合	jiéhé	to combine, to integrate	HSK 5
接近	jiējìn	to get close to	HSK 5
节省	jiéshěng	to save, to economize, to cut down on	HSK 5
结账	jiézhàng	to pay the bill, to settle accounts	HSK 5
及格	jígé	to pass, to meet a minimum standard	HSK 5
集合	jíhé	to gather, to assemble	HSK 5
进步	jìnbù	to improve, to progress	HSK 5
经商	jīngshāng	to trade, to engage in commercial activities	HSK 5
经营	jīngyíng	to operate (a business)	HSK 5
纪念	jìniàn	to commemorate	HSK 5
进口	jìnkǒu	to import	HSK 5
尽力	jìnlì	to try one's hardest	HSK 5
救	jiù	to save, to rescue	HSK 5
集中	jízhōng	to concentrate (something)	HSK 5
捐	juān	to donate	HSK 5
具备	jùbèi	to possess	HSK 5
据说	jùshuō	it is said that; reportedly	HSK 5
开发	kāifā	to develop (software, business, etc.)	HSK 5
开放	kāifàng	to open up	HSK 5
砍	kǎn	to chop	HSK 5
看不起	kànbuqǐ	to look down on	HSK 5
看望	kànwàng	to call on, to visit	HSK 5
靠	kào	to depend on	HSK 5
克服	kèfú	to overcome	HSK 5
控制	kòngzhì	to control	HSK 5
夸	kuā	to praise	HSK 5
夸张	kuāzhāng	to exaggerate	HSK 5
扩大	kuòdà	to expand	HSK 5
拦	lán	to block (someone's path)	HSK 5
朗读	lǎngdú	to read aloud	HSK 5
劳动	láodòng	to work	HSK 5
劳驾	láojià	excuse me	HSK 5
恋爱	liàn'ài	to be in love	HSK 5
亮	liàng	to brighten	HSK 5
联合	liánhé	to unite	HSK 5
离婚	líhūn	to get a divorce	HSK 5
领导	lǐngdǎo	to lead	HSK 5
流传	liúchuán	to spread	HSK 5
浏览	liúlǎn	to browse	HSK 5
流泪	liúlèi	to shed tears	HSK 5
利用	lìyòng	to use (even a person), to utilize	HSK 5
漏	lòu	to leak, to mistakenly leave out	HSK 5
落后	luòhòu	to fall behind	HSK 5
录取	lùqǔ	to recruit, to enroll	HSK 5
录音	lùyīn	to record (audio)	HSK 5
骂	mà	to yell at, to scold, to curse	HSK 5
满足	mǎnzú	to satisfy	HSK 5
冒险	màoxiǎn	to take a risk	HSK 5
面对	miànduì	to confront, to face	HSK 5
面临	miànlín	to be faced with (a situation)	HSK 5
描写	miáoxiě	to describe	HSK 5
命令	mìnglìng	to give a command	HSK 5
摸	mō	to touch, to feel (with one's hand), to stroke	HSK 5
模仿	mófǎng	to imitate	HSK 5
念	niàn	to read aloud	HSK 5
派	pài	to send (on official business)	HSK 5
拍	pāi	to pat, to clap, to slap	HSK 5
盼望	pànwàng	to long for	HSK 5
赔偿	péicháng	to compensate	HSK 5
佩服	pèifú	to admire	HSK 5
配合	pèihé	to cooperate with	HSK 5
培训	péixùn	to train	HSK 5
培养	péiyǎng	to nurture	HSK 5
碰	pèng	to bump; to touch	HSK 5
披	pī	to drape over one's shoulders	HSK 5
飘	piāo	to float	HSK 5
凭	píng	based on	HSK 5
平衡	pínghéng	to balance	HSK 5
评价	píngjià	to evaluate	HSK 5
平均	píngjūn	to average	HSK 5
批准	pīzhǔn	to approve	HSK 5
破产	pòchǎn	to go bankrupt	HSK 5
破坏	pòhuài	to destroy	HSK 5
欠	qiàn	to owe	HSK 5
签	qiān	to sign (one's name)	HSK 5
抢	qiǎng	to grab, to rob	HSK 5
强调	qiángdiào	to emphasize	HSK 5
瞧	qiáo	to look at	HSK 5
期待	qīdài	to look forward to	HSK 5
切	qiē	to cut, to slice	HSK 5
启发	qǐfā	to inspire	HSK 5
请求	qǐngqiú	to request	HSK 5
轻视	qīngshì	to despise, to look down on	HSK 5
庆祝	qìngzhù	to celebrate	HSK 5
娶	qǔ	to marry a woman	HSK 5
劝	quàn	to urge	HSK 5
确定	quèdìng	to be sure	HSK 5
缺乏	quēfá	to be short of, to lack	HSK 5
确认	quèrèn	to confirm	HSK 5
去世	qùshì	to pass away, to die	HSK 5
取消	qǔxiāo	to cancel	HSK 5
燃烧	ránshāo	to burn	HSK 5
绕	rào	to revolve, to move around, to wind	HSK 5
热爱	rè'ài	to love fervently	HSK 5
忍不住	rěnbuzhù	to be unable to bear	HSK 5
洒	sǎ	to sprinkle	HSK 5
杀	shā	to kill	HSK 5
晒	shài	to sun, to put out to dry; to show off (e.g. photos on WeChat)	HSK 5
删除	shānchú	to delete	HSK 5
上当	shàngdàng	to be taken in (by a scam)	HSK 5
伤害	shānghài	to hurt	HSK 5
善于	shànyú	to be good at	HSK 5
舍不得	shěbude	to begrudge doing, to hate to part with	HSK 5
设计	shèjì	to design	HSK 5
射击	shèjī	to shoot, to fire	HSK 5
伸	shēn	to stretch (out)	HSK 5
升	shēng	to raise	HSK 5
生产	shēngchǎn	to produce, to manufacture	HSK 5
胜利	shènglì	to be victorious	HSK 5
省略	shěnglüè	to omit	HSK 5
生长	shēngzhǎng	to grow up, to develop	HSK 5
