Phrase	Grammar	Transcription	Translation	Notes
您		nín	Pan; Pani	
你		nǐ	ty	
是		shì	być	
先生		xiānsheng	Pan; nauczyciel	
吗		ma	czy?	
是的		shìde	tak	
我		wǒ	ja	
好		hǎo	dobry; dobrze	
你好		nǐhǎo	dzień dobry; cześć; miło mi poznać	
很		hěn	bardzo	
高兴		gāoxìng	cieszyć się; być zadowolonym	
见到		jiàndào	poznać; spotkać	
也		yě	także; też	
叫		jiào	nazywać się	
老		lǎo	stary	
吧		ba	-	partukuła oznaczająca sugestię, prośbę, polecenie
好吧		hǎoba	w porządku	
好的		hǎode	dobrze	
请		qǐng	prosić; zapraszać	
欢迎		huānyíng	witać	
来		lái	przychodzić; przyjeżdżać; przybywać	
中国		Zhōngguó	Chiny	
一路		yílù	podróż	
顺利		shùnlì	bez problemów; pomyślnie	
谢谢		xièxie	dziękować	
累		lèi	być zmęczonym	
有一点		yǒu yìdiǎn	trochę	
想		xiǎng	chcieć; mieć ochotę	
喝		hē	pić	
一		yī	jeden	
杯		bēi	kubek; szklanka	
你的		nǐde	twój	
咖啡		kāfēi	kawa	
太...了		tài ... le	zbyt; za dużo	
这		zhè	to	
不		bù	nie	
不客气		búkèqi	proszę bardzo; nie ma za co	
