Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
你	Pr	nǐ	ty	
好	A	hǎo	dobry; dobrze	
陆雨平	PN	Lù Yǔpíng	Lu Yuping	
力波	PN	Lìbō	Li Bo	
吗	QPt	ma	czy	
我	Pr	wǒ	ja	
很	Adv	hěn	bardzo	
呢	MdPt	ne	a...	
也	Adv	yě	również; też	
林娜	PN	Línnà	Lin Na	
# === 2 ===
吗	QPt	ma	czy	
忙	A	máng	zajęty	
爸爸	N	bàba	tata	
妈妈	N	māma	mama	
他们	Pr	tāmen	oni	
他	Pr	tā	on	
们	Suf	men		sufiks liczby mnogiej
都	Adv	dōu	wszyscy; wszystko	
不	Adv	bù	nie	
男	A	nán	mężczyzna	
朋友	N	péngyou	przyjaciel	
哥哥	N	gēge	starszy brat	
要	V	yào	chcieć; pragnąć	
咖啡	N	kāfēi	kawa	
弟弟	N	dìdi	młodszy brat	
我们	Pr	wǒmen	my	
喝	V	hē	pić	
丁	PN	Dīng	Ding	nazwisko
# === 3 ===
她	Pr	tā	ona	
是	V	shì	być	
哪	QPr	nǎ	który	
国	N	guó	kraj; państwo	
人	N	rén	osoba; człowiek	
那	Pr	nà	tamto; tamten	
谁	QPr	shéi	kto	
老师	N	lǎoshī	nauczyciel	
中国	PN	zhōngguó	Chiny	
您	Pr	nín	pan; pani	
这	Pr	zhè	to; ten	
外语	N	wàiyǔ	język obcy	
医生	N	yīshēng	lekarz	
奶奶	N	nǎinai	babcia ze strony ojca	
外婆	N	wàipó	babcia ze strony matki	
陈	PN	Chén	Chen	nazwisko
# === 4 ===
朋友	N	péngyou	przyjaciel	
认识	V	rènshi	znać	
高兴	A	gāoxìng	szczęśliwy; radosny	
可以	OpV	kěyǐ	może	
进来	VC	jìnlai	wejść	
进	V	jìn	wchodzić	
来	V	lái	przyjść	
请	V	qǐng	prosić	
记者	N	jìzhě	reporter	
请问	V	qǐngwèn	Przepraszam, czy mogę zapytać...	
问	V	wèn	pytać	
贵姓	IE	guìxìng	jak Pana nazwisko	
姓	V, N	xìng	nazwisko	
叫	V	jiào	wołać	
先生	N	xiānsheng	nauczyciel; pan	
杨	PN	yáng	Yang	nazwisko
语言	N	yǔyán	język	
学院	N	xuéyuàn	uniwersytet; instytut	
的	Pt	de	należący do	
学生	N	xuésheng	uczeń	
什么	QPr	shénme	co	
学习	V	xuéxí	uczyć się; studiować	
汉语	N	hànyǔ	język chiński	
英国	PN	yīngguó	Wielka Brytania	
马大为	PN	Mǎ Dàwéi	Ma Dawei	imię i nazwisko
加拿大	PN	jiānádà	Kanada	
美国	PN	měiguó	Ameryka; Stany Zjednoczone	
# === 5 ===
好	A	hǎo	dobry; dobrze	
我	Pr	wǒ	ja	
餐厅	N	cāntīng	restauracja; jadalnia	
在	V	zài	w	
哪儿	QPr	nǎr	gdzie	
宿舍	N	sùshè	internat; hotel robotniczy	
女	A	nǚ	kobieta	
坐	V	zuò	usiąść	
谢谢	V	xièxie	dziękuję	
对不起	IE	duìbǔqi	przepraszam	
知道	V	zhīdào	wiedzieć	
没关系	IE	méi guānxi	nie ma sprawy; wszystko w porządku	
再见	IE	zàijiàn	do widzenia	
再	Adv	zài	znowu; ponownie	
王小云	PN	Wáng Xiǎoyún	Wang Xiaoyun	imię i nazwisko
小姐	N	xiǎojie	pani; młoda kobieta	
二	Num	èr	dwa	
层	M	céng	warstwa; piętro	
〇	Num	líng	zero; 	
四	Num	sì	cztery	
号	N	hào	numer; dzień miesiąca	
不用	Adv	búyòng	nie trzeba	
这儿	Pr	zhèr	tutaj	
晚	A	wǎn	późno	
了	Pt	le		partykuła modalna; partykuła aspektu
宋华	PN	Sòng Huá	Song Hua	imię i nazwisko
# === 6 ===
忙	A	máng	zajęty	
什么	QPr	shénme	co	
去	V	qù	iść; jechać	
游泳	V	yóuyǒng	pływać	
昨天	N	zuótiān	wczoraj	
京剧	N	jīngjù	opera pekińska	
怎么样	QPr	zěnmèyang	jak to jest?; co z tym?	
有意思	IE	yǒu yìsi	ciekawy	
今天	N	jīntiān	dzisiaj; dziś	
天	N	tiān	dzień; niebo	
天气	N	tiānqì	pogoda	
太	Adv	tài	zbyt; za	
时候	N	shíhou	czas; moment	
现在	N	xiànzài	teraz	
明天	N	míngtiān	jutro	
有	V	yǒu	mieć; istnieć	
时间	N	shíjiān	czas	
说	V	shuō	mówić	
遍	M	biàn	ilość razy	
打球	VO	dǎ qiú	grać w piłkę	
打	V	dǎ	uderzać; bić	
球	N	qiú	piłka	
抱歉	A	bàoqiàn	bardzo mi przykro	
恐怕	Adv	kǒngpà	obawiać się; być może	
行	V	xíng	może być; w porządku	
谢谢	V	xièxiè	dziękuję	
你们	Pr	nǐmen	wy	
# === 7 ===
开学	VO	kāixué	rozpoczynać rok szkolny	
开	V	kāi	otwierać; uruchamiać	
高	A	gāo	wysoki	
看	V	kàn	zobaczyć; patrzeć; oglądać	
一下		yíxià		oznacza czynność szybką, przypadkową, nieformalną
名片	N	míngpiàn	wizytówka	
啊	Int	à	ach; och	
教授	N	jiàoshòu	profesor	
教	V	jiāo	uczyć; nauczać	
丁力波	PN	Dīng Lìbō	Ding Libo	imię i nazwisko
张	PN	Zhāng	Zhang	nazwisko
介绍	V	jièshào	przedstawić; zapoznać z	
名字	N	míngzi	imię	
中文	N	zhōngwén	język chiński	
爸爸	N	bàbà	tata	
学	V	xué	uczyć się; studiować	
专业	N	zhuānyè	profesjonalny; specjalistyczny	
美术	N	měishù	sztuka piękna	
美	A	měi	piękny	
文学	N	wénxué	literatura	
系	N	xì	departament; fakultet	
马大为	PN	mǎdàwéi	Ma Daiwei	imię i nazwisko
文化	N	wénhuà	kultura	
历史	N	lìshǐ	historia	
哲学	N	zhéxué	filozofia	
音乐	N	yīnyuè	muzyka	
经济	N	jīngjì	ekonomia	
数学	N	shùxué	matematyka	
物理	N	wùlǐ	fizyka	
化学	N	huàxué	chemia	
教育	N	jiàoyù	edukacja	
选修	V	xuǎnxiū	zajęcia fakultatywne	
# === 8 ===
男	A	nán	mężczyzna	
弟弟	N	dìdi	młodszy brat	
外语	N	wàiyǔ	język obcy	
王小云	PN	Wáng Xiǎoyún	Wang Xiaoyun	imię i nazwisko
家	N	jiā	dom; rodzina	
几	QPr	jǐ	kilka; ile	
口	M	kǒu	liczba osób w rodzinie	
照片	N	zhàopiàn	zdjęcie; fotografia	
和	Conj	hé	i	
个	M	gè	sztuka	klasyfikator ogólny
姐姐	N	jiějie	starsza siostra	
两	Num	liǎng	dwa	
还	Adv	hái	wciąż; jeszcze	
一共	Adv	yígòng	razem	
妹妹	N	mèimei	młodsza siostra	
小	A	xiǎo	mały; drobny	
狗	N	gǒu	pies	
张	M	zhāng		klasyfikator przedmiotów z płaską powierzchnią
当然	A	dāngrán	oczywiście; bezsprzecznie	
真	A	zhēn	prawdziwy	
真	Adv	zhēn	naprawdę	
可爱	A	kěài	uroczy	
爱	V	ài	kochać	
没	Adv	méi	nie	
做	V	zuò	robić; czynić	
工作	V	gōngzuò	pracować	
工作	N	gōngzuò	praca	
贝贝	PN	bèibei		imię psa
大	A	dà	duży; wielki	
多少	QPr	duōshao	ile	
多	A	duō	wiele; dużo	
少	A	shǎo	mały; mało	
喜欢	V	xǐhuan	lubić	
外	Prep	wài	zewnętrzny	
语	N	yǔ	język	
外国	N	wàiguó	zagranica	
百	Num	bǎi	sto	
车	N	chē	samochód; pojazd	
词典	N	cídiǎn	słownik	
电脑	N	diànnǎo	komputer	
孩子	N	háizi	dziecko	
爷爷	N	yéye	dziadek ze strony ojca	
外公	N	wàigōng	dziadek ze strony matki	
系主任	N	xì zhǔrèn	kierownik departamentu	
