Phrase	Grammar	Transcription	Translation	Notes
去		qù	iść; jechać	
游泳		yóuyǒng	pływać	
昨天		zuótiān	wczoraj	
京剧		jīngjù	Opera Pekińska	
怎么样		zěnmeyàng	jakie to jest?	
有意思		yǒuyìsi	interesujący	
今天		jīntiān	dzisiaj	
天		tiān	dzień	
天气		tiānqì	pogoda	
太		tài	zbytnio	
什么		shénme	co?	
时候		shíhou	czas; moment	
现在		xiànzài	teraz	
明天		míngtiān	jutro	
有		yǒu	mieć	
时间		shíjiān	czas	
说		shuō	mówić	
遍		biàn	raz	
打球		dǎqiú	grać w piłkę	
打		dǎ	grać	
球		qiú	piłka	
抱歉		bàoqiàn	żałować	
忙		máng	zajęty	
恐怕		kǒngpà	obawiać się	
行		xíng	w porządku; może być	
谢谢		xièxie	dziękować	
你们		nǐmen	wy	
