Phrase	Grammar	Transcription	Translation	Notes
会|huì||to know how to, can||~说汉语|NPCR-11
(一)点儿|yìdiǎnr||a little bit||会说~汉语, 喝~酒|NPCR-11
司机|sījī||driver|||NPCR-11
点(钟)|diǎnzhōng||o'clock||两~, 八~|NPCR-11
差|chà||to be short of, lack|||NPCR-11
刻|kè||quarter (of an hour)||一~钟, 差一~八点|NPCR-11
回|huí||to return||~学院, ~家, ~中国, ~北京|NPCR-11
上课|shàngkè||to go to class (both students and teachers)|||NPCR-11
上|shàng||to ascend; to go to||~汉语课, ~文化课|NPCR-11
能|néng||can; be able to||~来上课|NPCR-11
到|dào||to arrive||~家, ~学院, ~商场, ~北京|NPCR-11
哪里|nǎli||no (an expression of modest denial)|||NPCR-11
教|jiāo||to teach||~汉语, ~文学|NPCR-11
英语|yīngyǔ||English||会说一点儿~, 学习~, 上~课|NPCR-11
孙女儿|sūnnvr||granddaughter on son's side|||NPCR-11
女儿|nǚér||daughter|||NPCR-11
岁数|suìshu||years (of age)||多大~|NPCR-11
数|shù||number|||NPCR-11
还|hái||still||~有五分钟|NPCR-11
分|fēn||minute||八点五~, 差五~八点|NPCR-11
拜拜|báibái||bye-bye (transliteration)|||NPCR-11
为什么|wèishénme||why|||NPCR-11
为|wèi||for|||NPCR-11
昨天|zuótiān||yesterday||~上午, ~下午|NPCR-11
东西|dōngxi||things; objects||买~, 吃~, 送~|NPCR-11
玩儿|wánr||to have fun, to play||去朋友家~, 跟朋友~|NPCR-11
晚上|wǎnshang||evening, night||昨天~, 星期六~, 五号~|NPCR-11
晚|wǎn||late||来~了|NPCR-11
半|bàn||half||九点~, ~天, ~年, ~个星期, ~个月, ~个苹果, ~斤葡萄|NPCR-11
写|xiě||to write|||NPCR-11
汉字|hànzì||Chinese Character||写~, 一个~|NPCR-11
字|zì||character|||NPCR-11
睡觉|shuìjiào||to sleep||十一点~, 还没有~|NPCR-11
睡|shuì||to sleep|||NPCR-11
起床|qǐchuáng||to get up||六点~, 还没有~|NPCR-11
起|qǐ||to get up, to rise|||NPCR-11
床|chuáng||bed||一张~|NPCR-11
应该|yīnggāi||should; ought to||~来, ~看, ~祝贺|NPCR-11
该|gāi||should; ought to|||NPCR-11
问题|wèntí||question||一个~, 问~, 有~, 没~|NPCR-11
可以|kěyǐ||may||~进来, ~问问题, ~去|NPCR-11
陈|chén||(a surname)|||NPCR-11
下课|xiàkè||to get out of class; to finish class|||NPCR-11
吃饭|chīfàn||to eat (a meal)|||NPCR-11
开车|kāichē||to drive a car|||NPCR-11
唱歌|chànggē||to sing (a song)|||NPCR-11
跳舞|tiàowǔ||to dance|||NPCR-11
回答|huídá||to answer|||NPCR-11
礼物|lǐwù||gift; present|||NPCR-11
打球|dǎqiú||to play ball|||NPCR-11
打的|dǎdī||to take a taxi|||NPCR-11
吸烟|xīyān||to smoke|||NPCR-11
表|biǎo||watch|||NPCR-11
难|nán||difficult|||NPCR-11
