Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
航空公司		hángkōng gōngsī	linia lotnicza	
飞机票		fēijī piào	bilet lotniczy	
飞机场		fēijī chǎng	lotnisko	
机场费		jīchǎng fèi	opłata lotniskowa	
靠走道座位		kàozǒudào zuòwèi	miejsce przy przejściu	
通知		tōngzhī	powiadomić; poinformować; informacja; wiadomość	
到达		dàodá	dotrzeć; przybyć	
到港		dàogǎng	przybyć do portu	
注意		zhùyì	zauważyć; uważać na	
登机		dēngjī	wsiadać do samolotu	
登机口		dēngjī kǒu	bramka na lotnisku	
登机牌		dēngjīpái	bilet pokładowy	
旅途愉快		lǚtú yúkuài	Szczęśliwej podróży!	
飞往		fēiwǎng	lecieć do	
公文包		gōngwén bāo	teczka	
广播		guǎngbō	ogłoszenie	
公共汽车		gōnggòng qìchē	autobus	
取消		qǔxiāo	odwołać	
手提行李		shǒu tǐ xínglǐ	bagaż podręczny	
专机		zhuānjī	prywatny odrzutowiec	
检查		jiǎnchá	kontrola; kontrolować	
办理登机手续		bànlǐ dēngjī shǒuxù	odprawić się na lotnisku	
托运行李		tuō yùn xínglǐ	nadać bagaż	
市内总站		shìnèi zǒngzhàn	terminal miejski	
领取		lǐngqǔ	odebrać	
领取单		lǐngqǔ dān	potwierdzenie odbioru	
舱		cāng	kabina	
柜台		guìtái	kasa sprzedaży; bar; recepcja	
晚点		wǎndiǎn	opóźniony; opóźnić się	
离港时间		lígǎng shíjiān	czas wylotu	
出港		chūgǎng	opuścić port; odloty	
文件		wénjiàn	dokument	
国内		guónèi	krajowy; wewnętrzny; cywilny	
转让		zhuǎnràng	przekazać	
票价		piàojià	cena biletu; cena za bilet	
能放进		néng fàngjìn	zmieścić się	
航班		hángbān	numer lotu	
班机		bānjī	lot z rozkładu	
好在		hǎozài	na szczęście	
从		cōng	rozluźniony; niespiesznie	
满员		mǎnyuán	komplet; brak wolnych miejsc	
在这儿		zàizhèr	tutaj	
马上		mǎshàng	natychmiast; od razu	
标签		biāoqiān	metka	
着陆		zhuólù	lądowanie; lądować	
排队		páiduì	stać w kolejce	
行李		xíngli	bagaż	
大陆		dàlù	kontynent; kontynentalny	
误了		wùle	spóźniony; nie zdążył	
必须		bìxū	musieć	
没问题		méi wèntí	nie ma problemu	
直飞		zhífēi	lot bezpośredni	
号		hào	numer; data	
正点		zhèngdiǎn	punktualny; punktualnie; według rozkładu	
头顶上方		tóudǐng shàngfāng	ponad głową	
通过		tōngguò	przy pomocy; za pomocą	
乘客		chéngkè	pasażer	
护照		hùzhào	paszport	
请		qǐng	zaprosić; poprosić	
推迟		tuīchí	odłożyć na później	
价钱		jiàqian	cena	
接待		jiēdài	przyjąć; wpuścić	
预定		yùdìng	przygotować; zaplanować	
排		pái	stanąć w szeregu; rząd; pluton	
座		zuò	usiąść; siedzieć	klasyfikator dużych przedmiotów - gór, mostów, budynków
安全		ānquán	bezpieczny; bezpieczeństwo	
出示		chūshì	pokazać; okazać	
停		tíng	zatrzymać; zaparkować; zatrzymać się	
箱子		xiāngzi	pudło; skrzynia; walizka	
坐出租车		zuò chūzūchē	wziąć taksówkę	
起飞		qǐfēi	wystartować	
登机楼		dēngjīlóu	terminal lotniczy	
空座位		kōng zuòwèi	wolne miejsce	
签证		qiānzhèng	wiza	
天气		tiānqì	pogoda	
将		jiàng	kontrola; generał	
靠窗的座位		kàochuāng de zuòwèi	miejsce przy oknie	
中国		Zhōngguó	Chiny	
国际		guójì	międzynarodowy	
# === 2 ===
能放进		néng fàngjìn	zmieścić się	
着陆		zhuólù	lądowanie; lądować	
起飞		qǐfēi	wystartować	
气压		qìyā	ciśnienie atmosferyczne	
飞机		fēijī	samolot	
晕机		yūnjī	mieć chorobę lokomocyjną	
海拔		hǎibá	wysokość nad poziomem morza	
高度		gāodù	wysoki; wysokość	
指定的		zhǐdìng de	przypisany	
自动		zìdòng	automatyczny	
被发现		bèi fāxiàn	zostać przyłapanym	
毛毯		máotǎn	koc	
颠簸		diānbǒ	szarpnięcie; wstrząs	
早餐		zǎocān	śniadanie	
随身行李		suíshēn xínglǐ	bagaż podręczny	
换		huàn	wymienić; wymiana	
频道		píndào	częstotliwość; program	telewizyjny
驾驶舱		jiàshǐ cāng	kokpit; kabina pilota	
机组人员		jīzǔ rényuán	załoga lotnicza	
经济舱		jīngjìcāng	klasa economy; druga klasa	
紧急情况		jǐnjí qíngkuàng	sytuacja niebezpieczna	
紧急出口		jǐnjí chūkǒu	wyjście bezpieczeństwa	
遇上		yùshàng	napotkać	
系紧		xìjǐn	umocować	
罚款		fákuǎn	ukarać finansowo	
头等舱		tóuděngcāng	klasa business; pierwsza klasa	
乘务员		chéngwùyuán	stewardessa	
飞行时间		fēixíng shíjiān	czas lotu	
前		qián	z przodu; wcześniej	
耳机		ěrjī	słuchawki	
小时		xiǎoshí	godzina	
钟头		zhōngtóu	godzina	
要是		yàoshì	jeśli	
继续		jìxù	kontynuować	
公里		gōnglǐ	kilometr	
救生衣		jiùshēng yī	kamizelka ratunkowa	
杂志		zázhì	czasopismo	
餐点		cāndiǎn	posiłek	
米		mǐ	ryż; metr	
分钟		fēnzhōng	minuta	
报纸		bàozhǐ	gazeta	
不准抽烟		bù zhǔn chōuyān	zakaz palenia	
在…上		zài…shàng	na …	
原来位置		yuánlái wèizhì	pozycja początkowa	
头顶藏		tóudǐng cáng	pojemnik nad głową	
氧气罩		yǎngqì zhào	maska tlenowa	
纸袋		zhǐdài	torba papierowa	
枕头		zhěntou	poduszka	
口袋		kǒudài	kieszeń	
收起来		shōu qǐlai	odłożyć	
后舱		hòucāng	kabina z tyłu	
保持		bǎochí	zatrzymać; zachować	
租金		zūjīn	opłata za wynajęcie	
座椅靠背		zuòyǐ kào bēi	usiąść wygodnie	
安全带		ānquán dài	pas bezpieczeństwa	
坐好		zuòhǎo	usiąść porządnie	
供应		gōngyìng	dostarczać; zaoferować	
抽烟区		chōuyān qū	strefa dla palących	
速度		sùdù	szybkość; prędkość	
放直		fàngzhí	wyprostować	
洗手间		xǐshǒu jiān	łazienka	
托盘餐桌		tuō pán cānzhuō	rozkładany stoliczek	taca
湍流		tuānliú	turbulencja	
座位		zuòwèi	miejsce siedzące	
座椅		zuòyǐ	fotel; siedzenie	
突然		tūrán	nagle; niespodziewanie	
用		yòng	używać	
