Phrase	Grammar	Transcription	Translation	Notes
航空公司		hángkōng gōngsī	linia lotnicza	
飞机票		fēijī piào	bilet lotniczy	
飞机场		fēijī chǎng	lotnisko	
机场费		jīchǎng fèi	opłata lotniskowa	
靠走道座位		kàozǒudào zuòwèi	miejsce przy przejściu	
通知		tōngzhī	powiadomić; poinformować; informacja; wiadomość	
到达		dàodá	dotrzeć; przybyć	
到港		dàogǎng	przybyć do portu	
注意		zhùyì	zauważyć; uważać na	
登机		dēngjī	wsiadać do samolotu	
登机口		dēngjī kǒu	bramka na lotnisku	
登机牌		dēngjīpái	bilet pokładowy	
旅途愉快		lǚtú yúkuài	Szczęśliwej podróży!	
飞往		fēiwǎng	lecieć do	
公文包		gōngwén bāo	teczka	
广播		guǎngbō	ogłoszenie	
公共汽车		gōnggòng qìchē	autobus	
取消		qǔxiāo	odwołać	
手提行李		shǒu tǐ xínglǐ	bagaż podręczny	
专机		zhuānjī	prywatny odrzutowiec	
检查		jiǎnchá	kontrola; kontrolować	
办理登机手续		bànlǐ dēngjī shǒuxù	odprawić się na lotnisku	
托运行李		tuō yùn xínglǐ	nadać bagaż	
中国		Zhōngguó	Chiny	
市内总站		shìnèi zǒngzhàn	terminal miejski	
领取		lǐngqǔ	odebrać	
领取单		lǐngqǔ dān	potwierdzenie odbioru	
舱		cāng	kabina	
柜台		guìtái	kasa sprzedaży; bar; recepcja	
晚点		wǎndiǎn	opóźniony	
离港时间		lígǎng shíjiān	czas wylotu	
出港		chūgǎng	opuścić port; odloty	
文件		wénjiàn	dokument	
国内		guónèi	krajowy; wewnętrzny; cywilny	
转让		zhuǎnràng	przekazać	
票价		piàojià	cena biletu	
能放进		néng fàngjìn	zmieścić się	
航班		hángbān	numer lotu	
班机		bānjī	lot z rozkładu	
好在		hǎozài	na szczęście	
从		cōng	rozluźniony; niespiesznie	
满员		mǎnyuán	komplet; brak wolnych miejsc	
在这儿		zàizhèr	tutaj	
马上		mǎshàng	natychmiast; od razu	
国际		guójì	międzynarodowy	
标签		biāoqiān	metka	
着陆		zhuólù	lądowanie; lądować	
排队		páiduì	stać w kolejce	
行李		xíngli	bagaż	
大陆		dàlù	kontynent; kontynentalny	
误了		wùle	spóźniony; nie zdążył	
必须		bìxū	musieć	
没问题		méi wèntí	nie ma problemu	
直飞		zhífēi	lot bezpośredni	
号		hào	data; numer	
正点		zhèngdiǎn	punktualny	
头顶上方		tóudǐng shàngfāng	ponad głową	
通过		tōngguò	przy pomocy; za pomocą	
乘客		chéngkè	pasażer	
护照		hùzhào	paszport	
请		qǐng	zaprosić; poprosić	
推迟		tuīchí	odłożyć na później	
价钱		jiàqian	cena	
接待		jiēdài	przyjąć; wpuścić	
预定		yùdìng	przygotować; zaplanować	
排		pái	stanąć w szeregu; rząd; pluton	
座		zuò	usiąść; siedzieć	klasyfikator dużych przedmiotów - gór, mostów, budynków
安全		ānquán	bezpieczny; bezpieczeństwo	
出示		chūshì	pokazać; okazać	
停		tíng	zatrzymać; zaparkować	
箱子		xiāngzi	pudło; skrzynia; walizka	
坐出租车		zuò chūzūchē	wziąć taksówkę	
起飞		qǐfēi	wystartować	
登机楼		dēngjīlóu	terminal lotniczy	
空座位		kōng zuòwèi	wolne miejsce	
签证		qiānzhèng	wiza	
天气		tiānqì	pogoda	
将		jiàng	kontrola; generał	
靠窗的座位		kàochuāng de zuòwèi	miejsce przy oknie	
