Phrase	Grammar	Transcription	Translation	Notes
拳术		quánshù		
球		qiú		
基本		jīběn		
篮		lán		
篮球		lánqiú		
篮球场		lánqiúchǎng		
弯		wān		
挡住		dǎngzhù		
吹		chuī		
双方		shuāngfāng		
弓步		gōngbù		
呼吸		hūxī		
顶		dǐng		
换发球		huàn fāqiú		
协调		xiétiáo		
守护		shǒuhù		
防守		fángshǒu		
双打		shuāngdǎ		
端		duān		
结束		jiéshù		
运动		yùndòng		
女子		nǔzǐ		
上半场		shàngbàn cháng		
拳		quán		
脚		jiǎo		
步法		bùfǎ		
犯规		fàn'guī		
球门		qiúmén		
守门员		shǒumén yuán		
手型		shǒuxíng		
手位		shǒuwèi		
头		tóu		
判		pàn		
踢		tī		
左后卫		zuǒ hòuwèi		
腿		tuǐ		
输		shū		
丢		diū		
踢进一球		tījìnyīqiú		
男子		nánzǐ		
男子单打		nánzi dāndǎ		
武术		wǔshù		
没投中		méi tóuzhōng		
混合双打		hùnhé shuāngdǎ		
前移		qiányí		
动作		dòngzuò		
自然		zìrán		
擦网球		cā wǎngqiú		
虚步		xūbù		
没有进球		méiyǒu jìn qiú		
对方		duìfāng		
出界		chūjiè		
打过网		dǎguòwǎng		
掌		zhǎng		
传		zhuàn		
乒乓球拍		pīngpāngqiúpāi		
队员		duìyuán		
选手		xuǎnshǒu		
流行		liúxíng		
按		àn		
推		tuī		
抢攻		qiǎnggōng		
网球拍		wǎngqiú pāi		
裁判员		cáipànyuán		
接球		jiēqiú		
分数		fēnshù		
比分		bǐfēn		
得一分		déyīfèn		
记分板		jìfènbǎn		
下半场		xiàbàn chǎng		
发球		fāqiú		
移动		yídòng		
投篮		tóulán		
单打		dāndǎ		
抽		chōu		
扣篮		kòulán		
削球		xiāoqiú		
足球		zúqiú		
足球场		zúqiú chǎng		
转球		zhuànqiú		
体育运动		tǐyùyùndòng		
运动员		yùndòng yuán		
稳定		wěndìng		
抢走		qiǎngzǒu		
脚步		jiǎobù		
后退		hòutuì		
直		zhí		
球桌		qiúzhuō		
球台		qiútái		
乒乓球		pīngpāng qiú		
太极拳		tàijí quán		
队		duì		
网球		wǎngqiú		
网球场		wǎngqiú chǎng		
三比二		sānbǐ'èr		
平局		píngjú		
严密		yánmì		
比赛		bǐsài		
重心		zhòngxīn		
实步		shíbù		
哨子		shàozi		
赢		yíng		
胜		shèng		
健身运动		jiànshēn yùndòng		
