Phrase	Grammar	Transcription	Translation	Notes
随便		suíbiàn	przypadkowy	
转		zhuàn	spacerować; przechadzać się	
顺便		shùnbiàn	przypadkowo	
熟悉		shúxī	dobrze poznać	
校园		xiàoyuán	kampus	
原来		yuánlái	kiedyś	
怪不得		guàibude	nic dziwnego, że	
印象		yìnxiàng	wrażenie; odbicie	
安静		ānjìng	cichy	
乱		luàn	bałaganiarski	
扔		rēng	rzucać	
烟头		yāntóu	niedopałek	
少数		shǎoshù	mniejszość	
头		tóu	końcówka	
理发店		lǐfàdiàn	salon fryzjerski	
方便		fāngbiàn	wygodny	
拐		guǎi	skręcić	
健身房		jiànshēnfáng	sala gimnastyczna	
排		pái	kolejka	
平房		píngfáng	dom parterowy	
小卖部		xiǎomàibù	sklepik; stragan	
乐		lè	śmiać się	
连锁店		liánsuǒdiàn	sklep sieciowy	
不但…而且…		búdàn ... érqiě ...	nie tylko ... ale też...	
简单		jiǎndān	nieskomplikowany; prosty	
越来越…		yuè lái yuè ...	coraz bardziej ...	
卡拉 OK		kǎlā OK	karaoke	
舞厅		wǔtīng	sala taneczna	
网吧		wǎngbā	kawiarnia internetowa	
散步		sànbù	spacerować	
哦		ó	o! naprawdę? czyżby?	
嗯		ēn	ojej	
而且		érqiě	poza tym	
发现		fāxiàn	spostrzec, zauważyć	
继续		jìxù	kontynuować	
地方		dìfāng	obszar, miejsce	
丰富		fēngfù	bogaty; obfity	
画		huà	rysować; obraz	
嗨		hāi	hej	
锻炼		duànliàn	trenować; ćwiczyć fizycznie	
全		quán	całkowicie; zupełnie	
餐厅		cāntīng	jadalnia	
而		ér	oraz	
挣		zhèng	zarabiać	
