Phrase	Grammar	Transcription	Translation	Notes
喂		wèi	halo; hej	
错		cuò	błąd; pomyłka	
对		duì	poprawnie; odpowiadać; do; racja; para; być przeciw; być naprzeciwko; dla	
一直		yìzhí	aż do	
呆		dāi	pozostać	
回来		huílai	wrócić	
取		qǔ	wybrać; wziąć	
一就		yíjiù	gdy tylko	
完		wán	skończyć (się)	
麻烦		máfan	kłopot; problem	
转告		zhuǎngào	przekazać	
票		piào	banknot; bilet	
清楚		qīngchu	jasny; przejrzysty; wyraźny	
看见		kànjiàn	zobaczyć	
急		jí	pilny; spieszy się; martwi się	
听见		tīngjiàn	usłyszeć	
手机		shǒujī	telefon komórkowy	
发		fā	wysłać; okazać (uczucia); wydać; rozwinąć	
短信		duǎnxìn	wiadomość SMS	
作业		zuòyè	praca domowa	
修		xiū	naprawiać	
手表		shǒubiǎo	zegarek na rękę	
接		jiē	przyjąć; otrzymać	
停		tíng	przestać; zatrzymać się	
开始		kāishǐ	rozpoczynać się; początek	
讲		jiǎng	wyjaśniać	
懂		dǒng	rozumieć	
叫		jiào	wołać; pozdrawiać	
记		jì	pamiętać; notować	
