Phrase	Grammar	Transcription	Translation	Notes
职业		zhíyè	zawód	
大学		dàxué	uniwersystet	
理想		lǐxiǎng	ideał; idealny	
高中		gāozhōng	szkoła wyższa	
当		dāng	pracować jako; stać się; zostać	
作家		zuòjiā	pisarz	
上(学)		shàng (xué)	chodzić do szkoły	
以后		yǐhòu	przyszłość; po	
记者		jìzhě	reporter; dziennikarz	
倒		dào	niespodziewanie	
合适		héshì	odpowiedni	
从来		cónglái	zawsze; nigdy	
发现		fāxiàn	odkryć	
只是		zhǐshì	tylko	
年轻		niánqīng	młody	
经验		jīngyàn	doświadczenie	
公司		gōngsī	przedsiębiorstwo	
经理		jīnglǐ	kierownik; dyrektor	
医生		yīshēng	lekarz	
记得		jìdé	pamiętać	
法律		fǎlǜ	prawo	
希望		xīwàng	nadzieja; mieć nadzieję	
名		míng		klasyfikator osób
律师		lǜshī	prawnik	
