Phrase	Grammar	Transcription	Translation	Notes
［第］		dì	-	prefiks liczebników porządkowych
課		kè	lekcja	
會		huì	umieć; móc	
寫		xiě	pisać	
字		zì	chiński znak; litera	
念		niàn	czytać; uczyć się	
［張］		zhāng	-	klasyfikator przedmiotów z płaską powierzchnią: stołów, arkuszy papieru, map
［棹］		zhuō	stół	
［學］		xué	uczyć się; studiować	
［生］		shēng	rodzić; rodzić się	
也		yě	także; też	
［知］		zhī	wiedzieć	
［道］		dào	droga; wiedza	
多		duō	dużo	
少		shǎo	mało	
都		dōu	wszystko	
作		zuò	robić; pracować	
四		sì	cztery	
五		wǔ	pięć	
六		liù	sześć	
七		qī	siedem	
八		bā	osiem	
九		jiǔ	dziewięć	
十		shí	dziesięć	
百		bǎi	sto	
千		qiān	tysiąc	
寫字		xiězì	pisać	
念書		niànshū	uczyć się; czytać na głos	
棹子		zhuōzi	stół	
學生		xuésheng	uczeń; student	
知道		zhīdào	wiedzieć	
多少		duōshǎo	ile?	
作工		zuò gōng	pracować	
書棹子		shūzhuōzi	biurko	
