Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
我		wǒ	ja	
你		nǐ	ty	
他		tā	on; ona; ono	
有		yǒu	mieć; posiadać; istnieć	
書		shū	książka	
［沒］		méi	nie	
紙		zhǐ	papier	
［中］		zhōng	środek; centrum	
［國］		guó	państwo	
［報］		bào	gazeta; powiadamiać	
［本］		běn	korzeń	
［子］		zǐ	syn	sufiks rzeczowników
［俄］		É	Rosja; rosyjski	
［工］		gōng	praca	
人		rén	człowiek	
沒有		méiyǒu	nie; nie mieć	
中國		Zhōngguó	Chiny; chiński	
報紙		bàozhǐ	gazeta	
本子		běnzi	zeszyt	
俄國		Éguó	Rosja; rosyjski	
工人		gōngrén	robotnik	
# === 2 ===
這		zhè	ten; ta; to	
是		shì	być; tak	
［甚］		shén	co? jak? jakiś	
麽		mó	czy?	
［鋼］		gāng	stal	
［筆］		bǐ	pędzelek	
那		nà	tamten; tamta; tamto	
那		nǎ	jaki? który?	
［鉛］		qiān	ołów	
［不］		bù	nie	
［的］		de	należący do	
［枝］		zhī		klasyfikator pędzelków, długopisów, ołówków
［幾］		jǐ	ile? kilka	
兩		liǎng	dwa; oba	
誰		shéi	kto?	
好		hǎo	dobry; dobrze	
好		hào	lubić; podobać się	
［個］		gè	sztuka; klasyfikator ogólny	
［夫］		fū	mąż; mężczyzna	
一		yī	jeden	
二		èr	dwa	
三		sān	trzy	
甚麽		shénme	co? jaki? co za ...?	
鋼筆		gāngbǐ	pióro wieczne	
鉛筆		qiānbǐ	ołówek	
不是		bù shì	nie; nie jest	
我的		wǒde	mój; moja; moje	
你的		nǐde	twój; twoja; twoje	
他的		tāde	jego; jej; ich	
這個		zhège	ten; ta; to	
甚麽人		shénme rén	kto?	
那個		nàge	tamten; tamta; tamto	
誰的		shéide	czyj? czyja? czyje?	
工夫		gōngfu	czas wolny	
# === 3 ===
［第］		dì		prefiks liczebników porządkowych
課		kè	lekcja	
會		huì	umieć; móc	
寫		xiě	pisać	
字		zì	chiński znak; litera	
念		niàn	czytać; uczyć się	
［張］		zhāng		klasyfikator przedmiotów z płaską - powierzchnią: stołów, papieru, map
［棹］		zhuō	stół	
［學］		xué	uczyć się; studiować	
［生］		shēng	rodzić; rodzić się	
也		yě	także; też	
［知］		zhī	wiedzieć	
［道］		dào	droga; wiedza	
多		duō	dużo	
少		shǎo	mało	
都		dōu	wszystko	
作		zuò	robić; pracować	
四		sì	cztery	
五		wǔ	pięć	
六		liù	sześć	
七		qī	siedem	
八		bā	osiem	
九		jiǔ	dziewięć	
十		shí	dziesięć	
百		bǎi	sto	
千		qiān	tysiąc	
寫字		xiězì	pisać	
念書		niànshū	uczyć się; czytać na głos	
棹子		zhuōzi	stół	
學生		xuésheng	uczeń; student	
知道		zhīdào	wiedzieć	
多少		duōshǎo	ile?	
作工		zuò gōng	pracować	
書棹子		shūzhuōzi	biurko	
# === 4 ===

# === 5 ===
姓		xìng	nazwisko; mieć na nazwisko	
白		bái	biały; jasny	
［名］		míng	imię; nazwa	
叫		jiào	wołać; nazywać; kazać	
［志］		zhì	wola; zamiar	
［明］		míng	jasny; przyszły	
說		shuō	mówić	
話		huà	słowa; mowa; język	
［同］		tóng	wspólnie; razem; z	
［些］		xiē	trochę; kilka	
［房］		fáng	dom	
家		jiā	dom; rodzina	
［屋］		wū	pokój	
對		duì	z; poprawnie	
［可］		kě	można	
［以］		yǐ	dlatego, że	
給		gěi	dawać	
能		néng	móc; być w stanie	
跟		gēn	iść za; iść z	
［東］		dōng	wschód	
［西］		xī	zachód	
萬		wàn	dziesięć tysięcy	
明字		míngzì	imię	
說話		shuōhuà	mówić	
同志		tóngzhì	towarzysz	
明白		míngbai	rozumieć	
房子		fángzi	dom	
國家		guójiā	państwo	
屋子		wūzi	pokój	
可以		kěyǐ	można; wolno	
可是		kěshì	ale; jednakże	
東西		dōngxī	rzecz	
同學		tóngxué	kolega szkolny	
# === 6 ===
請		qǐng	prosić; zapraszać	
問		wèn	pytać	
［父］		fù	ojciec	
［母］		mǔ	matka	
［親］		qīn	krewny	
［教］		jiāo	uczyć; nauczyć	
［員］		yuán	członek	organizacji
［們］		men		sufiks liczby mnogiej
［共］		gòng	razem	
［產］		chǎn	produkować; majątek	
［黨］		dǎng	partia	
呢		ne	a...?	partykuła pytajna
［把］		bǎ		klasyfikator przedmiotów z uchwytem
［椅］		yǐ	krzesło	
錢		qián	pieniądze; moneta	
零		líng	zero; drobnostka	
［塊］		kuài	kawałek	klasyfikator pieniędzy i zegarków
［告］		gào	prosić; oznajmić; powiadomić	
［訴］		sù	powiadomić; powiedzieć; objaśniać	
［兒］		ér	syn; dziecko	sufiks rzeczowników
［了］		liǎo, le		sufiks czasowników
請問		qǐngwèn	Przepraszam, czy ...?	
父母		fùmǔ	rodzice	
父親		fùqīn	ojciec	
教員		jiàoyuán	wykładowca	
母親		mǔqīn	matka	
他們		tāmen	oni	
教書		jiāoshū	wykładać; nauczać	
共產黨		gòngchǎndǎng	partia komunistyczna	
黨員		dǎngyuán	członek partii	
有的		yǒude	niektórzy; bywa; są	
你們		nǐmen	wy	
那一		něi	który? jaki? który z nich?	
哪		něi	który?	
我們		wǒmen	my	
椅子		yǐzi	krzesło	
告訴		gàosu	oznajmić; powiedzieć	
兒子		érzi	syn	
我們的		wǒmen de	nasz; nasze	
你們的		nǐmen de	wasz; wasze	
他們的		tāmen de	ich	
# === 7 ===
每		měi	każdy	
天		tiān	dzień; doba; niebo	
［點］		diǎn	trochę; kropka; kropla	
半		bàn	połowa	
［鐘］		zhōng	dzwon; zegar	
要		yào	chcieć; trzeba; mieć zamiar	
吃		chī	jeść	
飯		fàn	jedzenie; żywność; kasza	
謝		xiè	dziękować	
［分］		fēn	minuta; dzielić	
年		nián	rok	
月		yuè	miesiąc	
手		shǒu	ręka	
錶		biǎo	zegarek	
喝		hē	pić	
［碗］		wǎn	miska; czarka	
水		shuǐ	woda	
［今］		jīn	dzisiejszy; obecny	
［茶］		chá	herbata	
［時］		shí	czas	
［候］		hòu	czas; oczekiwać	
