Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
alle			wszyscy; wszystkie	
angenehm	a		miły; przyjemny	
der Bahnhof			dworzec kolejowy	
bitte			proszę	
danke			dziękuję	
das			-; to	
dort			tam	
du			ty	
einmal			raz; kiedyś	
er			on	
es			ono	
das Gepäck			bagaż	
gut			dobry; dobrze	
herzlich			serdeczny	
hier			tutaj; tu	
ich			ja	
ihr			wy; jej; ich	
in			w	
ja			tak; tak jest	
der Koffer			walizka	
der Lautsprecher			głośnik	
die Lektion			lekcja	
noch			jeszcze	
nun			teraz	
der Ostbahnhof			Dworzec Wschodni	
schnell			szybko; szybki	
schon	adv		już	
sehr			bardzo	
sein	v		być	
sie			ona; one; oni	
der Tag			dzień	
die Tasche			torba; torebka	
und			i; a	
willkommen			witamy	
wir			my	
wirklich			rzeczywiście	
Guten Tag!			Dzień dobry!	
Herzlich willkommen!			Serdecznie witamy!	
in Berlin			w Berlinie	
sehr angenehm			bardzo mi miło	
noch einmal			jeszcze raz	
# === 2 ===
aber			ale; lecz	
auch			także	
auf			na	
aus			z	
der Freund			przyjaciel	
die Haltestelle			przystanek; postój	
heißen			nazywać się	
interessant			interesujący; ciekawy	
kommen			przychodzić; pochodzić	
der Lehrer			nauczyciel	
mein			mój	
morgen			rano; jutro	
nanu			cóż to!	
Polen			Polska	
so			tak; więc	
der Spaß			żart; figiel	
das Taxi			taksówka	
die Taxihaltestelle			postój taksówek	
viel			dużo	
das Wiedersehen			ponowne spotkanie; ponowne zobaczenie się	
wohnen			mieszkać	
Viel Spaß!			Przyjemnej zabawy!	
mein Freund			mój przyjaciel	
aus Polen			z Polski	
Auf Wiedersehen!			Do widzenia!	
Bis morgen!			Do jutra!	
Tschüs!			Cześć!	nieformalne pożegnanie
# === 3 ===
zu Hause			w domu	
unsere Wohnung			nasze mieszkanie	
ein Arbeitsplatz			miejsce do pracy	
der Abend			wieczór	18-23 Uhr
das Abendbrot			kolacja	
alles			wszystko	
arbeiten			pracować	
der Arbeitsplatz			miejsce pracy	
das Bad			łazienka	
der Balkon			balkon	
dann			następnie; potem; wtedy	
fertig			gotowy	
gemütlich			przytulny	
genug			dosyć	
groß			duży; wielki; wielka; wielkie	
das Haus			dom	
hübsch			ładny	
klein			mały; mała; małe	
der Korridor			korytarz	
die Küche			kuchnia	
nein			nie	
neugierig			ciekawy	
nicht			nie	
der Platz			miejsce; plac	
praktisch			praktyczny	
schlafen			spać	
das Schlafzimmer			sypialnia	
übrigens			zresztą	
unser			nasz	
wahr			prawdziwy; prawdziwie	
die Wohnung			mieszkanie	
das Wohnzimmer			salon	
das Zimmer			pokój	
zufrieden			zadowolony	
# === 4 ===
Wie spät ist es?			Która jest godzina?	
der Alexanderplatz			plac Aleksandra	
acht			osiem	
achtzehn			osiemnaście	
also			więc	
bekannt			znany	
drei			trzy	
dreiundzwanzig			dwadzieścia trzy	
dreizehn			trzynaście	
einfach			prosty; łatwy	
eins			jeden	
einundzwanzig			dwadzieścia jeden	
elf			jedenaście	
der Fernsehturm			wieża telewizyjna	
fünf			pięć	
fünfzehn			piętnaście	
ganz			cały; całkiem	
hinten			z tyłu	
das Hotel			hotel	
jetzt			teraz	
kaufen			kupować	
das Kaufhaus			dom towarowy	
links			na lewo; po lewej stronie	
minus			minus	
modern			nowoczesny	
neun			dziewięć	
neunzehn			dziewiętnaście	
plus			plus	
rechts			na prawo; z prawej strony; po prawej stronie	
die S-Bahn			kolej podmiejska	
schön	a		ładny; piękny	
sechs			sześć	
sechzehn			szesnaście	
sehen			widzieć	
sieben			siedem	
siebzehn			siedemnaście	
spät			późno	
die Stadt			miasto	
der Turm			wieża	
die Uhr			zegar; godzina	
vier			cztery	
vierundzwanzig			dwadzieścia cztery	
vierzehn			czternaście	
was?			co?	
die Welt			świat	
die Weltuhr			zegar świata	
wie?			jaki?; jaka?; jakie?; jak?; jacy?	
wo?			gdzie?	
zehn			dziesięć	
zwanzig			dwadzieścia	
zwei			dwa	
zweiundzwanzig			dwadzieścia dwa	
zwölf			dwanaście	
# === 5 ===
Verzeihung			przepraszam; proszę wybaczyć	
Platz nehmen			siadać; zajmować miejsce	
recht haben			mieć rację	
ein Stück Torte	NP		kawałek tortu	
einen Moment, bitte			chwileczkę, proszę	
Haben Sie ...?			Czy ma pan ...?	
mein Herr			proszę pana	
in Ordnung			w porządku	
Hunger haben	VP		być głodnym	
bestellen			zamawiać	
bestimmt			na pewno	
das Café			kawiarnia	
da			tam; w takim razie; wtedy; tu; wtem	
doch			przecież; jednak	
das Eis			lody	
der Eiskaffee	N		kawa z lodami; kawa mrożona	
essen			jeść	
etwas			coś	
frei	Adj		wolny	
gleich			zaraz	
haben			mieć	
der Herr	N		pan	
der Hunger	N		głód	
der Kaffee			kawa	
die Karte			karta; mapa; bilet	
der Kellner			kelner	
mit			-; z	kim? czym?
der Mokka	N		mokka	
mögen	V		chcieć; mieć ochotę	
nehmen			brać; wziąć	
die Nuß	N		orzech	
die Nußtorte	N		tort orzechowy	
der Ober	N		kelner	
das Obst	N		owoce	
der Obstsaft	N		sok owocowy	
die Obsttorte	N		tort owocowy	
die Ordnung	N		porządek	
die Sahne	N		śmietana	
die Sahnetorte	N		tort śmietankowy	
stark	Adj		mocny	
das Stück			kawałek	
der Tee			herbata	
der Tisch			stół	
die Torte	N		tort	
trinken			pić	
vielleicht			może	
wie			jak	
wünschen			życzyć sobie	
die Zeit	N		czas	
zweimal			dwa razy	
# === 6 ===
Herzlichen Glückwunsch zum Geburtstag!			Serdeczne życzenia z okazji urodzin!	
Komm herein!			Wejdź!	
Alles Gute!			Wszystkiego najlepszego!	
Geburtstag haben			obchodzić urodziny	
vor allem			przede wszystkim	
Herzlichen Dank			serdecznie dziękuję	
Hoch soll sie leben!			Niech żyje!	ona
Viel Glück!			Dużo szczęścia!	
Ich gratuliere herzlich!			Składam serdeczne życzenia!	
Danke sehr!			Dziękuję bardzo!	
Ich danke herzlich!			Dziękuję serdecznie!	
die Blume			kwiat; kwiatek	
das Brot			chleb	
die Butter			masło	
der Dank			podziękowanie	
deutsch	a		niemiecki	
deutsch	adv		po niemiecku	
dreimal			trzy razy; trzykrotnie	
die Freude			radość	
der Geburtstag			urodziny	
das Glück			szczęście	
der Glückwunsch			życzenie	
gratulieren			składać życzenia	
herein			do wewnątrz	
hereinkommen			wchodzić	do wewnątrz
hoch			wysoki; wysoka; wysokie	
der Käse			ser	
langsam			powoli; powolny; wolno	
leben			żyć	
lesen			czytać	
mal			raz; razy	w matematyce
nett			miły; przyjemny	
das Päckchen			paczuszka; pakiecik	
polnisch			polski; po polsku	
Prost!			Na zdrowie!	
die Rose			róża	
russisch			rosyjski; po rosyjsku	
sollen			powinien	
sprechen			mówić; rozmawiać	
die Überraschung			niespodzianka	
die Wurst			kiełbasa	
zuerst			najpierw; na początku	
# === 7 ===
Guten Tag!			Dzień dobry!	
Herzlich willkommen!			Serdecznie witamy!	
Auf Wiedersehen!			Do widzenia!	
Tschüs!			Cześć!	nieformalne pożegnanie
Das gefällt mir.			To mi się podoba.	
Das macht nichts.			Nic nie szkodzi.	
Ich freue mich sehr.			Bardzo się cieszę.	
Guten Morgen!			Dzień dobry!	od rana do godziny 11-ej
Guten Abend!			Dobry wieczór!	od godziny 18-ej
Gute Nacht!			Dobranoc!	
Bis bald!			Do zobaczenia wkrótce!	
bald			wkrótce	
bis			do	
erst			dopiero	
der Fahrstuhl			winda	
die Frau			pani; kobieta; żona; niewiasta	
das Fräulein			panna	
sich freuen			cieszyć się	
gefallen			podobać się	
kein			żaden	
klingeln			dzwonić	
leider			niestety	
machen			robić; czynić	
der Morgen			poranek	04-10 Uhr
die Mutter			matka	
die Nacht			noc	23-04 Uhr
nichts			nic	
oben			na górze	
die Oper			opera	
pünktlich			punktualny	
schlecht			zły	
der Stuhl			krzesło	
