Phrase	Grammar	Transcription	Translation	Notes
man kauft			kupuje się	
Gehst du mit?			Czy wejdziesz ze mną?	
Geben sie mir bitte ...			Proszę mi dać ...	
nach Hause			do domu	
antworten			odpowiadać	
der Aufschnitt			pokrojona wędlina; rozmaitości	
bekommen			dostać; otrzymać	
bezahlen			zapłacić; opłacić	
brauchen			potrzebować	
das Brötchen			bułka	
dreihundert			trzysta	
drüben			po drugiej stronie	
das Ei			jajko	
fahren			jechać	
fast			prawie	
das Fleisch			mięso	
die Fleischwaren			wyroby mięsne	
fragen			pytać	
frisch			świeży	
geben			dawać	
gehen			iść	
das Gemüse			warzywa; jarzyny	
gern			chętnie	
das Geschirr			naczynia	
das Gramm			gram	
die Halle			hala	
halten			zatrzymać się; trzymać	
die Haushaltwaren			artykuły gospodarstwa domowego	
hinein			do środka; do wewnątrz	
hineingehen			wchodzić do środka	
holen			przynosić	
hundert			sto	
die Jadgwurst			kiełbasa myśliwska	
die Kaufhalle			hala targowa; pawilon handlowy	
der Kuchen			ciasto; ciastko	
die Lebensmittel			artykuły spożywcze	
die Leberwurst			wątrobianka	
man			-	zaimek nieosobowy
die Marmelade			marmolada	
das Mehl			mąka	
die Milch			mleko	
nach			po	
die Nußschokolade			czekolada orzechowa	
oder			albo	
das Pfund			funt; 1/2 kg	
das Salz			sól	
das Schnitzel			sznycel	
die Schokolade			czekolada	
die Seife			mydło	
selbst			sam	
selbstverständlich			oczywiście	
und so weiter			i tak dalej	
der Verkäufer			sprzedawca	
die Verkäuferin			sprzedawczyni	
vierhundert			czterysta	
die Ware			towar	
warten			czekać	
wieviel			ile	
