Phrase	Grammar	Transcription	Translation	Notes
bitten um etwas			prosić o coś	
Vielen Dank!			Bardzo dziękuję!	
Welches Datum ist heute?			Którego dzisiaj mamy?	
gegen 19 Uhr			około godziny 19-ej	
Ruhe dich aus!			Wypocznij!	
abbestellen			odwołać zamówienie	
abfahren			odjeżdżać	
abgeben			oddawać	
abholen			przychodzić po kogoś	
abreisen			wyjeżdżać; odjeżdżać	
die Abreise			wyjazd; odjazd	
anmelden			zameldować	
die Anmeldung			zameldowanie	
das Anmeldeformular			karta meldunkowa	
anrufen			dzwonić; telefonować	
der Apparat			aparat	
das Appartement			apartament	
der April			kwiecień	
der August			sierpień	
ausfüllen			wypełniać	
sich ausruhen			wypoczywać	
der Ausweis			dowód	dokument
der Beruf			zawód	
bitten			prosić	
die Bitte			prośba	
das Datum			data	
der Dezember			grudzień	
die Dusche			prysznic	
das Einzelzimmer			pokój jednoosobowy	
die Etage			piętro	
der Februar			luty	
der Fernsehapparat			telewizor	
das Geburtsdatum			data urodzenia	
der Geburtsort			miejsce urodzenia	
die Hotelangestellte			urzędniczka hotelowa	
inzwischen			w tym czasie	
der Januar			styczeń	
der Juli			lipiec	
der Juni			czerwiec	
der Kugelschreiber			długopis	
der Lift			winda	
der Mai			maj	
der März			marzec	
mehr			więcej; bardziej	
der Monat			miesiąc	
nachsehen			popatrzeć; zaglądać	
notieren			notować	
der November			listopad	
der Oktober			październik	
der Paß			paszport	
die Person			osoba	
der Personalausweis			dowód osobisty	
das Radio			radio	
die Rezeption			recepcja	
der September			wrzesień	
die Sinfonie			symfonia	
der Staat			państwo	
die Staatsangehörigkeit			obywatelstwo	
der Stock			piętro	
die Stockwerke			piętra	
unterschreiben			podpisywać	
die Unterschrift			podpis	
wecken			budzić	
der Wohnort			miejsce zamieszkania	
der Zimmerschlüssel			klucz do pokoju	
das Zweibettzimmer			pokój dwuosobowy	
