Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
heißen			nazywać się	
jetzt			teraz	
der Lehrer			nauczyciel	
die Lehrerin			nauczycielka	
lernen			uczyć się	
schreiben			pisać	
der Schüler			uczeń	
die Schülerin			uczennica	
aber			lecz; ale	
kommen			przychodzić; pochodzić	
fragen			pytać	
sagen			mówić; powiedzieć	
spielen			bawić się; grać	
das Kind			dziecko	
hören			słyszeć; słuchać	
sehr			bardzo	
Guten Tag!			Dzień dobry!	
Guten Morgen!			Dzień dobry!	od rana do godziny 11-ej
Guten Abend!			Dobry wieczór!	od godziny 18-ej
Hallo!			Cześć!	na powitanie
Auf Wiedersehen!			Do widzenia!	
Tschüs!			Cześć!	nieformalne pożegnanie
Gute Nacht!			Dobranoc!	
Entschuldigung!			Przepraszam!	
Bitte			Proszę	
Danke			Dziękuję	
Wie bitte?			Co proszę?	
Sehr angenehm			Bardzo mi miło	
Ich komme aus …			Pochodzę z …	
leben			żyć	
arbeiten			pracować	
bei			u; przy	
ledig			nieżonaty; niezamężna	
der Freund			przyjaciel	
die Freundin			przyjaciółka	
der Student			student	
die Studentin			studentka	
der Schlosser			ślusarz	
verheiratet			żonaty; zamężna	
Ich bin … Jahre alt			Mam … lat	
die Hausfrau			gospodyni domowa	
geschieden			rozwiedziony	
null			zero	
eins			jeden	
zwei			dwa	
drei			trzy	
vier			cztery	
fünf			pięć	
sechs			sześć	
sieben			siedem	
acht			osiem	
neun			dziewięć	
beginnen			zaczynać; zaczynać się	
suchen			szukać	
gehen			iść	
kaufen			kupować	
trinken			pić	
singen			śpiewać	
kochen			gotować	
schwimmen			pływać	
an der Uni studieren			studiować na uniwersytecie	
schlank			szczupły	
sportlich			wysportowany	
freundlich			przyjazny	
Deutsch sprechen			mówić po niemiecku	
Englisch sprechen			mówić po angielsku	
natürlich			oczywiście	
zweimal pro Woche			dwa razy w tygodniu	
in der Freizeit			w wolnym czasie	
zum Spanischkurs gehen			chodzić na kurs języka hiszpańskiego	
ins Kino gehen			chodzić do kina	
ins Café gehen			chodzić do kawiarni	
Klavier spielen			grać na pianinie	
Gitarre spielen			grać na gitarze	
Tennis spielen			grać w tenisa	
Fußball spielen			grać w piłkę nożną	
Sport machen			uprawiać sport	
am Computer sitzen			siedzieć przy komputerze	
im Internet surfen			surfować w internecie	
# === 2 ===
was?			co?	
wer?			kto?	
wie?			jaki?; jaka?; jakie?; jacy?; jak?	
der Lehrer			nauczyciel	
die Lehrerin			nauczycielka	
wo?			gdzie?	
wohin?			dokąd?	
Was ist das?			Co to jest?	
Wer ist das?			Kto to jest?	
Wo ist das?			Gdzie to jest?	
Wann ist …?			Kiedy będzie …?	
Wie geht’s?			Jak się masz?	
Wie geht es Ihnen?			Jak się Pan ma?	
Wie heißen Sie?			Jak się Pan nazywa?	
Woher kommen Sie?			Skąd Pan pochodzi?	
Wo wohnen Sie?			Gdzie Pan mieszka?	
Wie alt sind Sie?			Ile ma Pan lat?	
Was sind Sie von Beruf?			Kim Pan jest z zawodu?	
Wie lange arbeiten Sie bei …?			Jak długo pracuje Pan w …?	
Wie finden Sie …?			Jak się Panu podoba …?	
Was ist los?			Co się stało?	
Wie heißt das auf Deutsch?			Jak to się nazywa po niemiecku?	
der Arzt			lekarz	
die Ärztin			lekarka	
der Buchhalter			księgowy	
die Buchhalterin			księgowa	
der Direktor			dyrektor	
der Fahrer			kierowca	
der Geschäftsmann			przedsiębiorca	
der Informatiker			informatyk	
der Ingenieur			inżynier	
der Journalist			dziennikarz	
die Journalistin			dziennikarka	
der Koch			kucharz	
die Köchin			kucharka	
der Mechaniker			mechanik	
der Polizist			policjant	
die Polizistin			policjantka	
der Sekretär			sekretarz	
die Sekretärin			sekretarka	
der Verkäufer			sprzedawca	
die Verkäuferin			sprzedawczyni	
wann?			kiedy?	
woher?			skąd?	
zehn			dziesięć	
elf			jedenaście	
zwölf			dwanaście	
dreizehn			trzynaście	
vierzehn			czternaście	
fünfzehn			piętnaście	
sechzehn			szesnaście	
siebzehn			siedemnaście	
achtzehn			osiemnaście	
neunzehn			dziewiętnaście	
zwanzig			dwadzieścia	
dreißig			trzydzieści	
vierzig			czterdzieści	
fünfzig			pięćdziesiąt	
sechzig			sześćdziesiąt	
siebzig			siedemdziesiąt	
achtzig			osiemdziesiąt	
neunzig			dziewięćdziesiąt	
hundert			sto	
# === 3 ===
der Tisch			stół	
das Bett			łóżko	
das Buch			książka	
groß			wielki; wielka; wielkie; duży	
klein			mały; mała; małe	
der Schrank			szafa	
der Stuhl			krzesło	
gut			dobrze; dobry	
das Fenster			okno	
die Lampe			lampa	
das Zimmer			pokój	
hell			jasny; jasno	
das Bild			obraz	
das Sofa			sofa; kanapa	
der Computer			komputer	
der Koffer			walizka	
der Kuli			długopis	
der Schlüssel			klucz	
das Auto			samochód	
das Handy			telefon komórkowy	
das Haus			dom	
die Kamera			aparat fotograficzny	
die Karte			karta; mapa; bilet	
die Tür			drzwi	
die Uhr			zegar; godzina	
die Wohnung			mieszkanie	
dunkel			ciemny	
schlecht			zły	
teuer			drogi	
billig			tani	
neu			nowy	
alt			stary	
voll			pełny	
leer			pusty	
mieten			wynajmować	
eine Wohnung mieten			wynajmować mieszkanie	
gemütlich			przytulny	
die Küche			kuchnia	
das Bad			łazienka	
das Wohnzimmer			salon	
der Sessel			fotel	
modern			nowoczesny	
das Schlafzimmer			sypialnia	
ziemlich			dość	
der Herd			kuchenka	
der Kühlschrank			lodówka	
die Badewanne			wanna	
die Dusche			prysznic	
die Toilette			toaleta	
die Waschmaschine			pralka	
kosten			kosztować	
der Monat			miesiąc	
# === 4 ===
lesen			czytać	
sehen			widzieć	
geben			dać; dawać	
immer			zawsze; ciągle	
laufen			biec; biegać	
sprechen			mówić; rozmawiać	
nehmen			wziąć; brać	
der Apfel			jabłko	
der Fisch			ryba	
der Kaffee			kawa	
der Käse			ser	
der Kuchen			ciasto; ciastko	
der Saft			sok	
der Salat			sałata; sałatka	
der Tee			herbata	
der Teller			talerz	
der Wein			wino	
der Zucker			cukier	
das Bier			piwo	
das Brot			chleb	
das Brötchen			bułka	
das Ei			jajko	
das Eis			lody	
das Fleisch			mięso	
das Glas			szklanka; słoik	
das Wasser			woda	
die Banane			banan	
die Butter			masło	
die Gurke			ogurek	
die Kartoffel			kartofel	
die Marmelade			marmolada	
die Milch			mleko	
die Orange			pomarańcza	
die Suppe			zupa	
die Tasse			filiżanka	
die Tomate			pomidor	
die Wurst			kiełbasa	
die Zitrone			cytryna	
essen			jeść	
fahren			jechać	
fallen			upadać	
helfen			pomagać	
lassen			zostawiać	
schlafen			spać	
tragen			nosić	
treffen			spotykać	
waschen			myć; prać	
es gibt			jest; istnieje	
die Mahlzeit			posiłek	
das Frühstück			śniadanie	
das Mittagessen			obiad	
das Abendessen			kolacja	
frühstücken			jeść śniadanie	
zu Mittag essen			jeść obiad	
zu Abend essen			jeść kolację	
um acht Uhr			o ósmej godzinie	
manchmal			czasami	
