Phrase	Grammar	Transcription	Translation	Notes
der Balkon			balkon	
der Esstisch			stół jadalny	
der Fahrstuhl			winda	
der Fernseher			telewizor	
der Flur			korytarz	
der Fußboden			podłoga	
der Geschirrspüler			zmywarka; zlew	
der Haken			haczyk	
der Herd			kuchenka	
der Hocker			taboret	
der Hof			podwórze; dziedziniec	
der Keller			piwnica	
der Kleiderschrank			szafa na ubrania	
der Kühlschrank			lodówka	
der Nachttisch			stolik nocny	
der Spiegel			lustro	
der Stock			piętro	
der Teppich			dywan	
das Bad			łazienka	
das Badezimmer			łazienka	
das Dach			dach	
das Erdgeschoss			parter	
das Esszimmer			jadalnia	
das Fensterbrett			parapet	
das Licht			światło	
das Regal			półki na książki	
das Schlafzimmer			sypialnia	
das Sofa			sofa	
das Waschbecken			umywalka	
das Wohnzimmer			salon	
die Badewanne			wanna	
die Couch			tapczan	
die Decke			sufit	
die Duschkabine			kabina prysznicowa	
die Ecke			kąt; róg	
die Gardine			zasłonka	
die Kommode			komoda	
die Küche			kuchnia	
die Miete			czynsz	
die Mikrowelle			kuchenka mikrofalowa	
die Mitte			środek	
die Schrankwand			regał	
die Spüle			zlew	
die Stehlampe			lampa stojąca	
die Tapete			tapeta	
die Toilette			toaleta	
die Treppe			schody	
die Wand			ściana	wewnętrzna
die Waschmaschine			pralka	
umziehen			przeprowadzać się	
gehen auf			wychodzić na	
der Lärm			hałas	
stören			przeszkadzać	
die Treppe hochgehen			wchodzić po schodach	
die Treppe runtergehen			schodzić po schodach	
das Waschbecken			umywalka	
einrichten			umeblować	
tapeziert			wytapetowany	
fast			prawie	
der Couchtisch			stolik kawowy	
fertig			gotowy	
ich bin mit ... zufrieden			jestem zadowolony z ...	
