Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
das			-; to	
ja			tak; tak jest	
auch			także	
was?			co?	
der Tisch			stół	
der Bleistift			ołówek	
das Heft			zeszyt	
die Bank			bank; ławka	
die erste Lektion			lekcja pierwsza	
ist			jest	
steht			stoi	
liegt			leży	
# === 2 ===
er			on	
es			ono	
sie			ona; one; oni	
nein			nie	
nicht			nie	
die Frau			pani; kobieta; żona; niewiasta	
das Mädchen			dziewczyna	
wer?			kto?	
der Mann			mężczyzna; mąż	
die zweite Lektion			lekcja druga	
sitzt			siedzi	
geht			idzie; chodzi	
der Knabe			chłopiec	
# === 3 ===
dort			tam	
hier			tutaj; tu	
groß			duży; wielki; wielka; wielkie	
klein			mały; mała; małe	
wie?			jaki?; jaka?; jakie?; jak?; jacy?	
hoch			wysoki; wysoka; wysokie	
der Stuhl			krzesło	
das Buch			książka	
kurz			krótki; krótka; krótkie	
der Schrank			szafa	
das Bett			łóżko	
lang			długi; długa; długie	
dick			gruby; gruba; grube	
dünn			cienki; chudy; cienka; cienkie	
breit			szeroki; szeroka; szerokie	
schmal			wąski; wąska; wąskie	
die dritte Lektion			lekcja trzecia	
sind			są	
die Stühle			krzesła	
die Öfen			piece	
die Bücher			książki	
die Feder			pióro; stalówka	
der Federhalter			obsadka; rączka	
niedrig			niski; niska; niskie	
der Ofen			piec	
# === 4 ===
sie			ona; one; oni	
und			i; a	
heißen			nazywać się	
der Lehrer			nauczyciel	
jetzt			teraz	
wie?			jaki?; jaka?; jakie?; jak?; jacy?	
machen			robić; czynić	
schreiben			pisać	
die Lehrerin			nauczycielka	
der Schüler			uczeń	
die Schülerin			uczennica	
lernen			uczyć się	
die vierte Lektion			lekcja czwarta	
er heißt			on nazywa się	
er macht			on robi	
er schreibt			on pisze	
sie machen			oni robią	
lehren			uczyć	
rechnen			rachować	
# === 5 ===
du			ty	
einmal			raz; kiedyś	
gut			dobry; dobrze	
ich			ja	
ihr			wy; jej; ich	
noch			jeszcze	
wir			my	
aber			ale; lecz	
kommen			przychodzić; pochodzić	
da			tam; w takim razie; wtedy; tu; wtem	
weiter			dalej	
der Vater			ojciec	
zusammen			razem	
zählen			liczyć	
die Schwester			siostra	
sie ist keine Schülerin			ona nie jest uczennicą	
Hilde lehrt sie			Hilda uczy ją	
ich zähle			ja liczę	
du zählst			ty liczysz	
zähle!			licz!	
ihr macht			wy robicie	
wir zählen			my liczymy	
zählt!			liczcie!	
du bist			jesteś	
kein, keine, kein			żaden, żadna, żadne	
schon			już	
von ... bis ...			od ... do ...	
weniger			mniej	
wieviel?			ile?	
# === 6 ===
alle			wszyscy; wszystkie	
die Mutter			matka	
antworten			odpowiadać	
fragen			pytać	
rot			czerwony	
weiß			biały	
die Wand			ściana	wewnętrzna
blau			niebieski	
braun			brązowy; brunatny	
gelb			żółty	
grau			szary; siwy	
grün			zielony	
schwarz			czarny	
die Farbe			kolor; barwa	
die Decke			sufit	
hinter dem Tische			za stołem	
auf dem Tische			na stole	
bunt			pstry; różnobarwny	
dieser, diese, dieses			ten, ta, to	
dunkelrot			ciemnoczerwony	
die Fußmatte			wycieraczka	
hellbraun			jasnobrunatny	
hellgelb			jasnożółty	
hellrot			jasnoczerwony	
jeder, jede, jedes			każdy, każda, każde	
jener, jene, jenes			tamten, tamta, tamto; ów, owa, owo	
die Mappe			teczka	
schmutzig			brudny	
sondern			ale; lecz	
# === 7 ===
dann			następnie; potem; wtedy	
das Zimmer			pokój	
sehen			widzieć	
vielleicht			może	
lesen			czytać	
zuerst			najpierw; na początku	
bald			wkrótce	
oder			albo; lub	
zeichnen			rysować	
sagen			mówić; powiedzieć	
spielen			grać; bawić się	
das Fenster			okno	
die Zeichnung			rysunek	
die Lampe			lampa	
am Tische			przy stole	
er liest eine Novelle			on czyta nowelę	
sie liest einen Roman			ona czyta powieść	
was liest du?			co czytasz?	
ich lese ein Märchen			ja czytam bajkę	
lies!			czytaj!	
im Zimmer			w pokoju	
sie spielt mit der Puppe			ona bawi się lalką	
sie zeichnet den Schrank, die Lampe, das Fenster			ona rysuje szafę, lampę, okno	
sie zeichnet die Stühle			ona rysuje krzesła	
zu Hilde			do Hildy	
die Ballade			ballada	
endlich			wreszcie	
der Hund			pies	
die Katze			kot	
das Märchen			bajka	
die Novelle			nowela	
die Puppe			lalka	
der Roman			powieść	
# === 8 ===
schnell			szybko; szybki	
so			tak; więc	
zufrieden			zadowolony	
