Phrase	Grammar	Transcription	Translation	Notes
er hat				
auf dem Teppich			na dywanie	
in der Vase			w wazonie	
neben der Vase			obok wazonu	
zwischen der Puppe und der Katze			między lalką a kotem	
über dem Tisch			nad stołem	
an der Decke			u sufitu	
unter dem Tische			pod stołem	
an dem Tische				
zwischen den Stühlen			między krzesłami	
hinter dem Tische			za stołem	
an der Wand			na ścianie	
vor dem Sofa			przed kanapą	
mit einem Fenster			z jednym oknem	
an allen Wänden			na wszystkich ścianach	
das Bild			obraz	
einige			kilku; kilka	
elektrisch			elektryczny	
der Fehler			błąd	
die Frage			pytanie	
der Fußboden			podłoga	
ganz			cały; całkiem	
gewiß			pewny; pewnie	
hängen			wisieć	
links			na lewo; po lewej stronie	
der Onkel			wuj; stryj	
recht			prawy; właściwy; słuszny; prawdziwy; właściwie; słusznie; prawdziwie	
rechts			na prawo; po prawej stronie	
richtig			właściwy; stosowny; prawdziwy; właściwie; dobrze	
das Sofa			sofa; kanapa	
sprechen			mówić; rozmawiać	
stecken			tkwić; być	w czym
stellen			stawiać; postawić	
der Teppich			dywan	
die Vase			waza; wazon	na kwiaty
wahr			prawdziwy; prawdziwie	
wo?			gdzie?	
