Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
lernanto			uczeń	
profesoro			profesor	
persono			osoba	
tablo			stół	
tabulo			tablica	
seĝo			krzesło	
benko			ławka	
ŝranko			szafa	
muro			ściana	
fenestro			okno	
pordo			drzwi	
kreto			kreda	
krajono			ołówek	
papero			papier	
libro			książka	
lampo			lampa	
bildo			obraz	
meblo			mebel	
objekto			przedmiot	
mateno			poranek	
tago			dzień	
vespero			wieczór	
nokto			noc	
danko			podziękowanie	
apetito			apetyt	
granda			wielki; duży	
longa			długi	
alta			wysoki	
bona			dobry	
blanka			biały	
nigra			czarny	
ruĝa			czerwony	
blua			niebieski	
verda			zielony	
flava			żółty	
bruna			brązowy; brunatny	
griza			szary; siwy	
kiu?			kto? który?	
kie?			gdzie?	
estas			jest	
sur			na	
jes			tak	
ne			nie	
ĉu			czy	
sed			lecz	
bonan apetiton!			smacznego!	
dankon!			dziękuję!	
same!			nawzajem!	
ĝis la revido!			do widzenia!	
# === 2 ===
sinjoro			pan	
knabo			chłopiec	
kolego			kolega	
kamarado			towarzysz	
civitano			obywatel	
direktoro			dyrektor	
instruisto			nauczyciel	
laboristo			robotnik	
dentisto			dentysta	
fabriko			fabryka	
ĉambro			pokój	
angulo			kąt	
klaso			klasa	
lernejo			szkoła	
oficejo			urząd	
domo			dom	
skatolo			pudełko	
konversacio			rozmowa	
ekzerco			ćwiczenie	
gramatiko			gramatyka	
vorto			słowo; wyraz	
hundo			pies	
kato			kot	
besto			zwierzę	
rozo			róża	
lilio			lilia	
floro			kwiat	
bela			piękny; ładny	
interesa			zajmujący; interesujący	
nova			nowy	
eleganta			elegancki	
juna			młody	
egala			jednakowy; równy	
moderna			nowożytny	
elektra			elektryczny	
fidela			wierny	
inteligenta			inteligentny	
grava			ważny	
feliĉa			szczęśliwy	
gratulas			gratuluje; winszuje	
staras			stoi	
sidas			siedzi	
iras			chodzi; idzie	
komprenas			rozumie	
dankas			dziękuje	
laboras			pracuje	
oficas			urzęduje	
instruas			naucza; uczy	
unu			jeden	
du			dwa	
tri			trzy	
en			w	
kaj			i; a	
# === 3 ===
leciono			lekcja	
paŭzo			pauza	
gimnazio			gimnazjum	
popollernejo			szkoła podstawowa	
universitato			uniwersytet	
titolo			tytuł	
profesio			zawód	
