Phrase	Grammar	Transcription	Translation	Notes
karafo			karafka	
glaso			szklanka	
taso			filiżanka	
akvo			woda	
kafo			kawa	
teo			herbata	
lakto			mleko	
biero			piwo	
vino			wino	
brando			wódka	
alkoholo			alkohol; spirytus	
cigaro			cygaro	
cigaredo			papieros	
nikotino			nikotyna	
abstinenculo			abstynent	
ĉokolado			czekolada	
homo			człowiek	
najbaro			sąsiad	
muziko			muzyka	
Esperanto			Esperanto	
lingvo			język	
mondo			świat	
angla			angielski	
franca			francuski	
pura			czysty	
freŝa			świeży	
varma			ciepły	
dolĉa			słodki	
facila			łatwy	
simpla			prosty	
sama			taki sam	
alia			inny	
salutas			pozdrawia	
ŝatas			lubi; ceni	
trinkas			pije	
drinkas			pije alkohol	
fumas			dymi; pali tytoń	
prenas			bierze	
metas			kładzie	
respondas			odpowiada	
multe			wiele; dużo	
diligente			pilnie	
kvar			cztery	
tre			bardzo	
al			do	
de			od	
ĉe			u; przy	
sub			pod	
el			z	
per			przez; za pomocą	
nur			tylko	
