Phrase	Grammar	Transcription	Translation	Notes
# === 6 ===
آسان		āsān	łatwy	
دشوار		došvār	trudny	
معلم		moʿallem	nauczyciel	
سلام		salām	dzień dobry; cześć	
کجا		kojā	dokąd; gdzie	
از		az	z; od	
شهر		šahr	miasto	
در		dar	w; drzwi	
خانه		xāne	dom	
چه		če	co	
کیست		kist	kto jest	
به		be	do	
سینما		sinemā	kino	
پول		pul	pieniądze	
پدر		pedar	ojciec	
وقت		vaqt	czas	
خوب		xub	dobry	
کتاب		ketāb	książka	
دختر		doxtar	córka; dziewczyna; dziewczynka	
بستن		bastan	łączyć	
داشتن		dāštan	mieć	
دانستن		dānestan	wiedzieć	
رفتن		raftan	iść	
گرفتن		gereftan	brać	
گفتن		goftan	powiedzieć	
نوشتن		neveštan	pisać	
آمدن		āmadan	przychodzić	
بودن		budan	być	
دادن		dādan	dawać	
دیدن		didan	widzieć	
شدن		šodan	stawać się	
کردن		kardan	robić	
مردن		mordan	umierać	
# === 7 ===
دنیا		donyā	świat	
آنجا		ānjā	tam	
نفت		naft	ropa naftowa	
بد		bad	zły; źle	
جوان		javān	młody	
قاضی		qāzi	sędzia	
نویسنده		nevisande	pisarz	
اینجا		injā	tutaj	
دانشجو		dānešju	student	
میز		miz	stół	
اطاق		otāq	pokój; izba	
این		in	ten	
قلم		qalam	obsadka; pióro do pisania	
و		va	i; a	
کاغذ		kāġaz	papier	
کی		ki	kto	
در زدن		dar zadan	pukać	
بلی		bali	tak	
چیست		čist	co jest	
خودنویس		xod-nevis	pióro do pisania	
جوهر		jowhar	atrament	
بازار		bāzār	rynek; bazar	
خریدن		xaridan	kupować	
خط کش		xat-keš	linijka	
سر قلم		sar-qalam	stalówka	
دوات		davāt	kałamarz	
کمی		kam-i	trochę; nieco	
بمن		be-man	mnie; mi	
با		bā	z	
مداد		medad	ołówek	
نامه		nāme	list	
نه		na	nie	
برلن		Berlan	Berlin	
کدو		kadu		
من		man	ja	
تو		to	ty	
او		u	on; ona; ono	
ما		mā	my	
شما		šomā	wy	
ایشان		išān	oni	
# === 8 ===
مادر		mādar	matka	
برادر		barādar	brat	
خواهر		xāhar	siostra	
مرد		mard	mężczyzna; człowiek	
زن		zan	kobieta; żona	
سیب		sib	jabłko	
پیاز		piyāz	cebula	
نان		nān	chleb	
خوردن		xordan	jeść	
وحدت		vahdat	jedność	
نکره		nakere	nieokreśloność	
شیخ		šeyx	szejk	
جا		jā	miejsce	
اسب		asb	koń	
اینها		inhā	oni; ci	
پسر		pesar	chłopiec; syn	
ایرانی		irāni	irański; Irańczyk	
گدا		gedā	żebrak	
خدا		Xodā	Bóg	
بنده		bande	niewolnik	
مرده		morde	martwy; trup	
بزرگ		bozorg	duży; wielki	
کور		kur	ślepy; ślepiec	
دانشگاه		dāneš-gāh	uniwersytet	
توانستن		tavānestan	móc	
اصفهان		Esfahān	Isfahan	
ایران		Irān	Iran	
کیلو		kilo	kilogram	
گوشت		gušt	mięso	
دیروز		diruz	wczoraj	
استاد		ostād	nauczyciel; profesor; wykładowca	
دانشکده		dāneš-kade	fakultet	
امروز		emruz	dzisiaj	
همه		hame	wszyscy	
پنیر		panir	ser	
سبزی		sabzi	warzywa	
کارگر		kārgar	robotnik	
حالا		hālā	teraz	
چادر		čādor	czador	
فردوسی		Ferdowsi	Ferdousi	
سعدی		Saʿdi	Saadi	
حافظ		Hāfez	Hafez; obrońca	
شاعر		šāʿer	poeta	
دفتر		daftar	zeszyt	
شعر گفتن		šeʿr goftan	deklamować	
# === 9 ===
در		dar	w; drzwi	
سر		sar	głowa	
باو		be-u	jemu	
بدو		bed-u	jego	
بدین		bed-in	tym	
دست		dast	ręka	
روز		ruz	dzień	
دیشب		dišab	wczoraj wieczorem; zeszłej nocy	
دزد		dozd	złodziej	
مرا		ma-rā	mnie	
بوسیدن		busidan	całować	
تورا		to-rā	ciebie	
شکر		šokr	podziękowanie	
مدرسه		madrase	szkoła	
درس		dars	lekcja	
تخته		taxte	tablica	
آوردن		āvardan	przynosić	
مدیر		modir	dyrektor	
تاریخ		tārix	historia	
