Phrase	Grammar	Transcription	Translation	Notes
آسان		āsān	łatwy	
دشوار		došvār	trudny	
معلم		moʿallem	nauczyciel	
سلام		salām	dzień dobry	
کجا		kojā	dokąd; gdzie	
از		az	z; od	
شهر		šahr	miasto	
در		dar	w	
خانه		xāne	dom	
چه		če	co	
کیست		kist	kto jest	
به		be	do	
سینما		sinemā	kino	
پول		pul	pieniądze	
پدر		pedar	ojciec	
وقت		vaqt	czas	
خوب		xub	dobry	
کتاب		ketāb	książka	
دختر		doxtar	córka; dziewczyna	
بستن		bastan	łączyć	
داشتن		dāštan	mieć	
دانستن		dānestan	wiedzieć	
رفتن		raftan	iść	
گرفتن		gereftan	brać	
گفتن		goftan	powiedzieć	
نوشتن		neveštan	pisać	
آمدن		āmadan	przychodzić	
بودن		budan	być	
دادن		dādan	dawać	
دیدن		didan	widzieć	
شدن		šodan	stawać się	
کردن		kardan	robić	
مردن		mordan	umierać	
