Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
سلام		salām	dzień dobry; cześć	
خوب		xub	dobry	
بودن		budan	być	
من		man	ja	
تو		to	ty	
او		u	on; ona; ono	
ما		mā	my	
شما		šomā	wy	
خدا		Xodā	Bóg	
حافظ		Hāfez	Hafez; obrońca	
روز		ruz	dzień	
آقا		āqā	pan	
شب		šab	noc; wieczór	
خانم		xānom	pani	
بله		bale	tak	
صبح		sobh	poranek	
به خير		be-xeyr	oby był dobry	
ظهر		zohr	południe	
عصر		asr	popołudnie	
سفر		safar	podróż	
بفرماييد		befarmāid	proszę; czym mogę służyć?	
ببخشيد		bebaxšid	przepraszam	
هستم		hastam	jestem	
آها		āhā	och	
اين		in	ten	
تلفن		telefon	telefon	
براى		barāye	dla	
براى شماست		barāye šomā	dla was	
مرسى		mersi	dziękuję	
الو		alou	halo	
هست		hast	jest	
دكتر		doktor	doktor	
اما		ammā	ale	
ايشون		išun	oni	
خانم		xānom-e	pani ...	
آقاى		āqā-ye	pan ...	
خوش حال		xoš-hāl	szczęśliwy	
پیغام		peyġām	wiadomość	
هدیه		hedye	prezent; podarunek	
بسته		beste	prezent; paczka	
بلیت		belit	bilet	
هم		ham	także; też	
خیلی		xeyli	bardzo	
ممنون		mamnun	wdzięczny	
آن		ān	tamten; to; tamto	
آنها		ānhā	oni	
