Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
رو		ru	twarz	
رود		rud	rzeka	
زود		zud	wcześnie; wczesny	
زور		zur	siła	
ژاژ		žāž	cierń; nonsens	
وادار		vādār	zmuszony	
آرد		ārd	mąka	
آزاد		āzād	wolny; swobodny	
آزار		āzār	męczarnia	
آواز		āvāz	pieśń; śpiew	
دارا		dārā	mający	
دارو		dāru	lekarstwo	
دود		dud	dym	
راز		rāz	tajemnica	
بابا		bābā	ojciec	
باران		bārān	deszcz	
باز		bāz	otwarty; znów; sokół	
بازو		bāzu	ręka	
بازی		bāzi	gra	
بانو		bānu	pani	
برای		barāye	dla	
بود		bud	był	
بی		bi	bez	
بیدار		bidār	czuwający	
بیرون		birun	na zewnątrz	
بینی		bini	nos	
پا		pā	noga	
پودر		pudr	proszek; puder	
دور		dur	daleki; daleko	
زیبا		zibā	piękny	
نیرو		niru	siła; energia	
نور		nur	światło	
یورو		yuro	euro	
آب		āb	woda	
بادبان		bādbān	żagiel	
توپ		tup	piłka; armata	
توت		tut	morwa	
داری		dāri	masz	
آورد		āvord	przyniósł	
بدرود		bedrud	żegnajcie	
پر		par	pióro; skrzydło	
پر		por	pełen	
تبریز		Tabriz	Tebriz	
تند		tond	szybki; nagły	
دراز		derāz	długi	
درود		dorud	pozdrowienie	
دریا		daryā	morze	
دندان		dandān	ząb; zęby	
دو		dow	bieg	
دور		dowr	krąg	
دی		dey	dej	zimowy miesiąc irańskiego kalendarza
رادیو		rādyo	radio	
ری		Rey	Rej	miasto
زبان		zabān	język	
وی		vey	on	
یزد		Yazd	Jezd	miasto
آبادان		Abādān	Abadan	miasto w Iranie
آبدار		ābdār	soczysty	
آرژانتین		Aržāntin	Argentyna	
آژانس		āžāns	agencja	
آسیا		Asyā	Azja	
آسیا		āsyā	młyn	
آسیاب		āsyāb	młyn	
آش		āš	zupa	
آشنا		āšnā	znajomy; znany	
ابرو		abru	brew	
اروپا		Orupā	Europa	
استان		ostān	ostan; prowincja	
اوت		ut	sierpień	
بس		bas	dostateczny	
بسیار		besyār	bardzo; dużo	
داداش		dādāš	brat	
درست		dorost	prawidłowy	
دوست		dust	przyjaciel	
روزی		ruzi	chleb powszedni	
شتر		šotor	wielbłąd	
شیر		šir	mleko; lew; kran	
شیراز		Shirāz	Sziraz	miasto
شیرین		širin	słodki	
نیست		nist	nie jest	
روسی		rusi	rosyjski	
روستا		rustā	wieś	
روشن		rowšan	jasny	
سوار		savār	jeździec	
شست		šost	umył	
شور		šur	solony	
نشست		nešast	usiadł	
نیز		niz	także	
انار		anār	granat	
بار		bār	ładunek	
ببر		babr	tygrys	
بست		bast	przywiązał; zamknął	
پتو		patu	koc; kołdra	
پشت		pošt	plecy	
پشت		pošt-e	za	
پیشانی		pišāni	czoło	
تن		tan	ciało	
روس		rus	Rosjanin	
سوئدی		suʾedi	szwedzki	
سوئیسی		suʾisi	szwajcarski	
شن		šen	piasek	
اروپایی		orupāyi	europejski	
زیاد		ziyād	dużo	
سد		sadd	zapora	
آسان		āsān	łatwy	
از		az	z; od	
در		dar	w; drzwi	
پدر		pedar	ojciec	
بد		bad	zły; źle	
این		in	ten	
بازار		bāzār	rynek; bazar	
با		bā	z	
او		u	on; ona; ono	
برادر		barādar	brat	
زن		zan	kobieta; żona	
سیب		sib	jabłko	
اسب		asb	koń	
پسر		pesar	chłopiec; syn	
ایرانی		irāni	irański; Irańczyk	
ایران		Irān	Iran	
استاد		ostād	nauczyciel; profesor; wykładowca	
پنیر		panir	ser	
سر		sar	głowa	
دست		dast	ręka	
روز		ruz	dzień	
دیشب		dišab	wczoraj wieczorem; zeszłej nocy	
نو		now	nowy	
زرد		zard	złoty; żółty	
سبز		sabz	zielony	
سرد		sard	zimny	
شب		šab	noc; wieczór	
دو		do	dwa	
شش		šeš	sześć	
است		ast	jest	
بیا		biyā	chodź	
آن		ān	tamten; to; tamto	
