Phrase	Grammar	Transcription	Translation	Notes
رو		ru	twarz	
رود		rud	rzeka	
روز		ruz	dzień	
زود		zud	wcześnie	
زور		zur	siła	
ژاژ		žāž	cierń; nonsens	
وادار		vādār	zmuszony	
آرد		ārd	mąka	
آزاد		āzād	wolny; swobodny	
آزار		āzār	męczarnia	
آواز		āvāz	pieśń; śpiew	
دارا		dārā	mający	
دارو		dāru	lekarstwo	
دود		dud	dym	
راز		rāz	tajemnica	
بابا		bābā	ojciec	
باران		bārān	deszcz	
باز		bāz	otwarty	
بازار		bāzār	bazar; rynek	
بازو		bāzu	ręka	
بازی		bāzi	gra	
بانو		bānu	pani	
برای		barāye	dla	
بود		bud	był	
بی		bi	bez	
بیدار		bidār	czuwający	
بیرون		birun	na zewnątrz	
بینی		bini	nos	
پا		pā	noga	
پودر		pudr	proszek; puder	
دو		do	dwa	
دور		dur	daleki; daleko	
زیبا		zibā	piękny	
نیرو		niru	siła; energia	
نور		nur	światło	
یورو		yuro	euro	
آب		āb	woda	
با		bā	z	
بادبان		bādbān	żagiel	
توپ		tup	piłka; armata	
توت		tut	morwa	
داری		dāri	masz	
آورد		āvord	przyniósł	
بد		bad	zły	
بدرود		bedrud	żegnajcie	
برادر		barādar	brat	
پدر		pedar	ojciec	
پر		par	pióro; skrzydło	
پر		por	pełen	
پنیر		panir	ser	
تبریز		Tabriz	Tebriz	
تند		tond	szybki; nagły	
در		dar	drzwi	
در		dar	w	
دراز		derāz	długi	
درود		dorud	pozdrowienie	
دریا		daryā	morze	
دندان		dandān	ząb	
دو		dow	bieg	
دور		dowr	krąg	
دی		dey	dej	zimowy miesiąc irańskiego kalendarza
رادیو		rādyo	radio	
ری		Rey	Rej	miasto
زبان		zabān	język	
زرد		zard	żółty	
زن		zan	kobieta; żona	
نو		now	nowy	
وی		vey	on	
یزد		Yazd	Jezd	miasto
آبادان		Abādān	Abadan	miasto w Iranie
آبدار		ābdār	soczysty	
آرژانتین		Aržāntin	Argentyna	
آژانس		āžāns	agencja	
آسان		āsān	łatwy	
آسیا		Asyā	Azja	
آسیا		āsyā	młyn	
آسیاب		āsyāb	młyn	
آش		āš	zupa	
آشنا		āšnā	znajomy; znany	
آن		ān	tamten	
ابرو		abru	brew	
اروپا		Orupā	Europa	
از		az	z; od	
است		ast	jest	
اسب		asb	koń	
استاد		ostād	nauczyciel; profesor	
استان		ostān	ostan; prowincja	
او		u	on; ona	
اوت		ut	sierpień	
ایران		Irān	Iran	
ایرانی		irāni	irańczyk; irański	
این		in	ten	
بس		bas	dostateczny	
بسیار		besyār	dużo	
پسر		pesar	chłopiec; syn	
داداش		dādāš	brat	
درست		dorost	prawidłowy	
دوست		dust	przyjaciel	
دیشب		dišab	wczoraj wieczorem	
روزی		ruzi	chleb powszedni	
سبز		sabz	zielony	
سیب		sib	jabłko	
شب		šab	noc; wieczór	
شتر		šotor	wielbłąd	
شش		šeš	sześć	
شیر		šir	mleko; lew; kran	
شیراز		Shirāz	Sziraz	miasto
شیرین		širin	słodki	
نیست		nist	nie jest	
روسی		rusi	rosyjski	
روستا		rustā	wieś	
روشن		rowšan	jasny	
سر		sar	głowa	
سرد		sard	zimny	
سوار		savār	jeździec	
شست		šost	umył	
شور		šur	solony	
نشست		nešast	usiadł	
نیز		niz	także	
انار		anār	granat	
بار		bār	ładunek	
باز		bāz	otwarty; znów; sokół	
ببر		babr	tygrys	
بست		bast	przywiązał; zamknął	
بیا		biyā	chodź	
پتو		patu	koc; kołdra	
پشت		pošt	plecy	
پشت		pošt-e	za	
پیشانی		pišāni	czoło	
تن		tan	ciało	
دست		dast	ręka	
روس		rus	Rosjanin	
سوئدی		suʾedi	szwedzki	
سوئیسی		suʾisi	szwajcarski	
شن		šen	piasek	
اروپایی		orupāyi	europejski	
زیاد		ziyād	dużo	
سد		sadd	zapora	
