Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
سر		sar	głowa	
زن		zan	kobieta; żona	
سگ		sag	pies	
بکس		baks	teczka; walizka	
اسپ		asp	koń	
دست		dast	ręka	
گرم		garm	gorący; ciepły	
درس		dars	lekcja	
برف		barf	śnieg	
مرد		mard	mężczyzna	
سبز		sabz	zielony	
زرد		zard	żółty	
سرد		sard	zimny	
تنگ		tang	wąski; ciasny	
سنگ		sang	kamień	
رنگ		rang	kolor	
پدر		padar	ojciec	
سرک		sarak	ulica; droga	
افسر		afsar	oficer	
مکتب		maktab	szkoła	
بچه		bačča	chłopiec; syn	
میمنه		Maymana	Majmana	miasto w Afganistanie
سنتره		santara	mandarynka	
چپرکت		čaparkat	łóżko	
لب		lab	wargi; usta	
مملکت		mamlakat	państwo	
شب		šab	noc; wieczór	
شکر		šakar	cukier	
جنگ		jang	wojna; konflikt	
جنگل		jangal	las	
مجله		majalla	czasopismo	
پنجه		panja	widelec	
دور		dur	daleki; daleko	
روس		rus	Rosjanin	
پول		pul	pieniądze	
بوت		but	but	
بوره		bura	cukier	
جنوب		janub	południe	
انگور		angur	winogrona	
این		in	ten	
چه		či	co?	
شیر		šir	mleko	
کی		ki	kto?	
پیر		pir	stary	
ریش		riš	broda	
زینه		zina	schody	
روسی		rusi	rosyjski	
شیرین		širin	słodki	
دری		darri	Dari	nazwa języka
مریض		mariz	chory	
زمین		zamin	ziemia	
نزدیک		nazdik	bliski; blisko	
وطن		watan	ojczyzna	
نو		naw	nowy	
جو		jaw	jęczmień	
پلو		palaw	pilaw	
مسکو		Maskaw	Moskwa	miasto
چوکی		čawki	krzesło	
انور		Anwar	Anwar	imię męskie
پروین		Parwin	Parwin	imię żeńskie
# === 2 ===
کار		kār	praca	
نام		nām	imię; nazwa	
نان		nān	chleb; jedzenie	
شام		šām	wieczór	
سال		sāl	rok	
پای		pāy	noga	
چای		čāy	herbata	
گاو		gāw	krowa; byk	
پاک		pāk	czysty	
کارد		kārd	nóż	
آب		āb	woda	
آن		ān	tamten	
یا		yā	albo	
جا		jā	miejsce	
باران		bārān	deszcz	
بازار		bāzār	bazar; rynek	
آسان		āsān	łatwy	
آسیا		Āsyā	Azja	
آشنا		āšnā	znajomy	
آسمان		āsmān	niebo	
آفتاب		āftāb	słońce	
فامیل		fāmil	rodzina	
آبی		ābi	niebieski	
تاریک		tārik	ciemny	
زبان		zabān	język	
جوان		jawān	młody; młodzieniec	
شمال		šamāl	północ	
دراز		darāz	długi	
کباب		kabāb	szaszłyk	
دریا		daryā	rzeka	
فردا		fardā	jutro	
سرباز		sarbāz	żołnierz	
میدان		maydān	plac	
الماری		almāri	szafa; kredens	
ترکاری		tarkāri	warzywa	
نسواری		naswāri	brązowy	
تازه		tāza	świeży	
مالته		malta	pomarańcza	
جاده		jādda	ulica	
آدم		ādam	człowiek	
مادر		mādar	matka	
داکتر		dāktar	doktor; lekarz	
کارگر		kārgar	robotnik; pracowity	
سینما		sinamā	kina	
کچالو		kačālu	ziemniak	
تباشیر		tabāšir	kreda	
طیاره		tayyāra	samolot	
مزه دار		mazadār	smaczny	
دروازه		darwāza	drzwi; wrota	
# === 3 ===
لباس		lebās	odzież	
پیاز		peyāz	cebula	
پیاله		peyāla	czarka	
دل		del	serce	
صنف		senf	klasa; audytorium; rok nauki	
چرک		čerk	brudny	
بسیار		besyār	bardzo	
دلچسپ		delčasp	interesujący; ciekawy	
کلکین		kelkin	okno	
تکه		teka	tkanina	
پشک		pešak	kot	
کتاب		ketāb	książka	
تکت		teket	bilet	
کشتی		kešti	łódka; statek	
ستاره		setāra	gwiazda	
کتابچه		ketābča	zeszyt	
برنج		berenj	ryż	
گرشک		Gerešk	Gereszk	miasto
برادر		berādar	brat	
کجا		kojā	gdzie?	
دکان		dokān	sklepik	
بلند		boland	wysoki	
جواری		jowāri	kukurydza	
گل		gol	kwiat	
ترش		torš	kwaśny	
بزرگ		bozorg	duży	
کابل		Kābol	Kabul	stolica Afganistanu
یوسف		Yusof	Jusuf	imię męskie
جمله		jomla	zdanie	termin gramatyczny
لنگی		longi	turban	
مشکل		moškel	trudny	
گندم		gandom	pszenica	
مردم		mardom	naród; lud	
ترجمه		tarjoma	tłumaczenie	
پشت		pošt	plecy	
شتر		šotor	wielbłąd	
درست		dorost	prawidłowy	
بروت		borut	wąsy	
گروپ		gorup	grupa	
و		wa; -o	i; a	
در		dar	w	
میز		mēz	stół	
سیب		sēb	jabłko	
سفید		safēd	biały	
دریشی		derēši	garnitur	
میوه		mēwa	owoc	
زیبا		zēbā	piękny; ładny	
دیوار		dēwār	ściana; mur	
دلیر		delēr	odważny; śmiały	
تیز		tēz	ostry; szybki	
جور		jōr	zdrowy; sprawny	
روز		rōz	dzień	
روی		rōy	twarz	
موی		mōy	włosy	
جوی		jōy	strumień	
دوست		dōst	przyjaciel	
گوشت		gōšt	mięso	
گوسفند		gōsfand	owca; baran	
تربوز		tarbōz	arbuz	
دیروز		dirōz	wczoraj	
ناجور		nājōr	chory	
امروز		emrōz	dzisiaj	
بالاپوش		bālāpōš	palto; płaszcz	
کوچک		kōčak	mały	
موتر		mōtar	samochód	
آیا		āyā	czy	
بلی		balē	tak	
نه		na	nie	
# === 4 ===
توپ		tōp	piłka; armata	
دنیا		donyā	świat; wszechświat	
نبی		Nabi	Nabi	imię męskie
زینب		Zaynab	Zejneb	imię żeńskie
ثریا		Sorayyā	Sorajja	imię żeńskie
تیار		tayyār	gotowy	
آزاد		āzād	wolny	
اروپآ		Orupā	Europa	
ادبیات		adabeyyāt	literatura	
ایران		Irān	Iran	
# === 5 ===
خط		xatt	linia; pismo	
خر		xar	osioł	
خراب		xarāb	zły; niesprawny	
خربوزه		xarbōza	dynia	
خوب		xub	dobry; dobrze	
خانه		xāna	dom	
تخته		taxte	tablica	
دختر		doxtar	dziewczynka; córka	
درخت		daraxt	drzewo	
رخصتی		roxsati	wakacje; dzień wolny	
اخبار		axbār	gazeta	
سرخ		sorx	czerwony	
تلخ		talx	gorzki	
بهار		bahār	wiosna	
پیراهن		pērāhan	koszula; suknia	
محصل		mohassel	student	
کندهار		Kandahār	Kandahar	miasto
شهر		šahr	miasto	
احمد		Ahmad	Ahmad	imię męskie
کهنه		kohna	stary	
مهمان		mehmān	gość	
شوهر		šawhar	mąż	
صفحه		safha	strona kartki	
مشهور		mašhur	sławny; znany	
هم		ham	także	
حرف		harf	litera	
هوا		hawā	powietrze; pogoda	
همسایه		hamsāya	sąsiad	
حالا		hālā	teraz	
هنوز		hanōz	jeszcze	
هرات		Herāt	Herat	miasto
ماهی		māhi	ryba	
راه		rāh	droga	
ماه		māh	miesiąc	
سیاه		seyāh	czarny	
کوتاه		kōtāh	krótki	
ده		deh	wieś	
کوه		kōh	góra	
صبح		sobh	poranek	
کلاه		kolāh	czapka	
تحفه		tohfa	prezent; dar	
مهتاب		mahtāb	księżyc	
محمود		Mahmud	Mahmud	imię męskie
حسن		Hasan	Hasan	imię męskie
من		man	ja	
تو		tu	ty	
او		ō	on; ona	
ما		mā	my	
شما		šomā	wy	
آنها		ānhā	oni	
از		az	z; od	
خزان		xazān	jesień	
پخچ		paxč	niski	
یخ		yax	lód	
پخته		poxta	gotowy; ślepy	
به		ba	do; ku	
پوهنتون		pōhantun	uniwersytet	
روشن		rawšan	jasny	
تابستان		tābestān	lato	
خواهر		xāhar	siostra	
خورد		xord	mały	
# === 6 ===
اما		amma	ale	
زمستان		zemestān	zima	
مهم		mohemm	ważny	
خام		xām	surowy; niedojrzały	
تمرین		tamrin	ćwiczenie	
آلو		ālu	śliwa	
زلزله		zelzela	trzęsienie ziemi	
آلوبالو		ālubālu	wiśnia	
ولایت		welāyat	prowincja	
سلام		salām	cześć	
حویلی		hawēli	podwórze	
زردالو		zardālu	morela	
لیلیه		layleya	internat; akademik	
سلیمان		Solaymān	Sulejman	imię męskie
املا		emlā	dyktando; ortografia	
