Phrase	Grammar	Transcription	Translation	Notes
# === a01 ===
روز		ruz	dzień	
دو		do	dwa	
رو		ru	twarz	
رود		rud	rzeka	
زود		zud	wcześnie; wczesny	
آرد		ārd	mąka	
آزاد		āzād	wolny; swobodny	
دارو		dāru	lekarstwo	
دود		dud	dym	
دور		dur	daleki; daleko	
# === a02 ===
تو		to	ty	
نان		nān	chleb	
دیروز		diruz	wczoraj	
نو		now	nowy	
باران		bārān	deszcz	
باز		bāz	otwarty; znów; sokół	
بازی		bāzi	gra	
بینی		bini	nos	
پا		pā	noga	
زیبا		zibā	piękny	
آب		āb	woda	
باد		bād	wiatr	
بارانی		bārāni	deszczowy; płaszcz	
دیر یا زود		dir yā zud	wcześniej czy później	
دیر		dir	późny; późno	
دیوار		divār	ściana	
زانو		zānu	kolano	
نوروز		Nowruz	Nowruz	irański Nowy Rok
یا		yā	albo	
# === a03 ===
در		dar	w; drzwi	
پدر		pedar	ojciec	
دنیا		donyā	świat	
بد		bad	zły; źle	
برادر		barādar	brat	
زن		zan	kobieta; żona	
پنیر		panir	ser	
زرد		zard	złoty; żółty	
بهار		bahār	wiosna	
دو		do	dwa	
ده		dah	dziesięć	
دریا		daryā	morze	
دندان		dandān	ząb; zęby	
زبان		zabān	język	
پتو		patu	koc; kołdra	
آهن		āhan	żelazo	
بدن		badan	ciało	
بهتر		behtar	lepiej	
پیراهن		pirāhan	suknia; koszula	
ترن		tren	pociąg	
تنها		tanhā	samotnie	
تهران		Tehrān	Teheran	
ده		deh	wieś	
دهان		dahān	usta	
رادیو		rādio	radio	
راه		rāh	droga	
راهرو		rāhrow	korytarz	
زر		zar	złoto	
نثر		nasr	proza	
نهار		nahār	obiad	
هر		har	każdy	
هنوز		hanuz	nadal; jeszcze nie	
هوا		havā	powietrze; pogoda	
# === a04 ===
آسان		āsān	łatwy	
شهر		šahr	miasto	
این		in	ten	
او		u	on; ona; ono	
سیب		sib	jabłko	
اسب		asb	koń	
پسر		pesar	chłopiec; syn	
ایرانی		irāni	irański; Irańczyk	
ایران		Irān	Iran	
استاد		ostād	nauczyciel; profesor; wykładowca	
سر		sar	głowa	
دست		dast	ręka	
سرد		sard	zimny	
آن		ān	tamten; to; tamto	
شتر		šotor	wielbłąd	
شیر		šir	mleko; lew; kran	
شیرین		širin	słodki	
شور		šur	solony	
انار		anār	granat	
ببر		babr	tygrys	
پیشانی		pišāni	czoło	
پاریس		Pāris	Paryż	
# === a05 ===
خانه		xāne	dom	
خوب		xub	dobry	
دختر		doxtar	córka; dziewczyna; dziewczynka	
آنجا		ānjā	tam	
جوان		javān	młody	
اینجا		injā	tutaj	
دانشجو		dānešju	student	
و		va	i; a	
پیر		pir	stary	
تازه		tāze	nowy; świeży	
سرخ		sorx	czerwony	
درخت		deraxt	drzewo	
سبز		sabz	zielony	
بوته		bute	krzak	
شب		šab	noc; wieczór	
سه		se	trzy	
چهار		čahār	cztery	
شش		šeš	sześć	
دوست		dust	przyjaciel	
باختر		bāxtar	zachód	
بسته		baste	zamknięty	
پنجره		panjere	okno	
پنچ		panj	pięć	
جنوب		janub	południe	
هیوان		heyvān	zwierzę	
خانواده		xānevāde	rodzina	
خاور		xāvar	wschód	
دست و پا		dast-o pā	ręce i nogi	
شب و روز		šab-o ruz	w dzień i w nocy	
نخیر		naxeyr	nie	
هر دو		har do	oboje	
هر دو پا		har do pā	obie nogi	
هر سه		har se	wszystkie trzy	
هر سه شب		har se šab	wszystkie trzy noce	
# === a06 ===
کجا		kojā	dokąd; gdzie	
خانه		xāne	dom	
خوب		xub	dobry	
کتاب		ketāb	książka	
دختر		doxtar	córka; dziewczyna; dziewczynka	
آنجا		ānjā	tam	
جوان		javān	młody	
اینجا		injā	tutaj	
دانشجو		dānešju	student	
و		va	i; a	
بزرگ		bozorg	duży; wielki	
گوشت		gušt	mięso	
کارگر		kārgar	robotnik	
پیر		pir	stary	
تازه		tāze	nowy; świeży	
کشور		kešvar	kraj	
کوچک		kuček	mały	
سرخ		sorx	czerwony	
درخت		deraxt	drzewo	
سبز		sabz	zielony	
بوته		bute	krzak	
شب		šab	noc; wieczór	
یک		yek	jeden	
سه		se	trzy	
چهار		čahār	cztery	
شش		šeš	sześć	
دوست		dust	przyjaciel	
روسی		rusi	rosyjski	
باختر		bāxtar	zachód	
بسته		baste	zamknięty	
پنجره		panjere	okno	
پنچ		panj	pięć	
جنوب		janub	południe	
هیوان		heyvān	zwierzę	
خانواده		xānevāde	rodzina	
خاور		xāvar	wschód	
دست و پا		dast-o pā	ręce i nogi	
شب و روز		šab-o ruz	w dzień i w nocy	
نخیر		naxeyr	nie	
هر دو		har do	oboje	
هر دو پا		har do pā	obie nogi	
هر سه		har se	wszystkie trzy	
هر سه شب		har se šab	wszystkie trzy noce	
اداره		edāre	biuro	
اداره پست		edāre-ye post	urząd pocztowy	
آرایشگاه		ārāyešgāh	zakład fryzjerski	
پارک		pārk	park	
پست		post	poczta	
ترک		tork	Turek	
ترکی		torki	turecki	
خیابان		xiyābān	ulica	
دانشکده		dāneškade	fakultet	
دانشگاه		dānešgāh	uniwersytet	
راه آهن		rāhāhan	kolej; droga żelazna	
روباه		rubāh	lis	
سرو		sarv	cyprys	
سگ		sag	pies	
سیگار		sigār	papieros	
کار		kār	praca	
کارخانه		kārxāne	fabryka	
کتابخانه		ketābxāne	biblioteka	
کوچه		kuče	uliczka; zaułek	
گاو		gāv	krowa; byk	
گربه		gorbe	kot	
گرگ		gorg	wilk	
گوش		guš	ucho	
# === a07 ===
سینما		sinemā	kino	
تاریخ		tārix	historia	
ادبیات		adabiyāt	literatura	
آرامگاه		ārāmgāh	mauzoleum	
آلو		ālu	śliwa	
انگلیسی		englisi	angielski	
پستخانه		postxāne	urząd pocztowy; poczta	
دیوار کرملین		divār-e Kremlin	mur Kremla	
ساختمان		sāxtemān	budynek	
کارخانه ماشین سازی		kārxāne-ye māšinsāzi	fabryka budująca maszyny	
کرملین		Kremlin	Kreml	
گلابی		golābi	grusza	
گیلاس		gilās	czereśnia	
لیمو		limu	cytryna	
ماشین سازی		māšinsāzi	budowa maszyn	
مرکز		markaz	centrum	
مرکزی		markazi	centralny	
میدان		meydān	plac	
میوه		mive	owoc	
هتل		hotel	hotel	
ورزشگاه		varzešgāh	stadion	
# === a08 ===
نویسنده		nevisande	pisarz	
قلم		qalam	obsadka; pióro do pisania	
کاغذ		kāġaz	papier	
آقا		āqā	pan	
باغ		bāġ	ogród; sad	
مداد		medād	ołówek	
خانم		xānom	pani	
الاغ		olāq	osioł	
اهل		ahl	mieszkaniec	
اهل تبریز		ahl-e Tabriz	Tebryzyjczyk	
اهل تهران		ahl-e Tehrān	teherańczyk	
اهل مسکو		ahl-e Moskow	moskwiczanin	
پزشک		pezešk	lekarz	
چراغ		čerāġ	lampa	
چشم پزشک		češmpezešk	okulista	
خارجی		xāreji	cudzoziemiec	
دهقان		dehqān	wieśniak	
رفیق		rafiq	towarzysz	
غروب		ġorub	zachód	
فرودگاه		forudgāh	lotnisko	
فروشگاه		forušgāh	supermarket	
فوتبالیست		futbālist	piłkarz	
قند		qand	cukier	
قندان		qandān	cukiernica	
قوری		quri	czajnik	
قیچی		qeyči	nożyce	
نقاش		naqqāš	artysta	
ورزشکار		varzeškār	sportowiec	
# === a09 ===
شاعر		šāʿer	poeta	
صدا		sedā	dźwięk; głos	
صندلی		sandali	krzesło	
اتاق		otāq	pokój; izba	
ساختمان		sāxtemān	budynek	
شنبه		šambe	sobota	
یک شنبه		yekšambe	niedziela	
دو شنبه		došambe	poniedziałek	
سه شنبه		sešambe	wtorek	
چهارشنبه		čahāršambe	środa	
پنجشنبه		panjšambe	czwartek	
جمعه		jomʿe	piątek	
اتاق غذاخوری		otāq-e qazāxori	jadalnia	
