Phrase	Grammar	Transcription	Translation	Notes
اتحاد شوروی		Ettehād-e šowravi	Związek Radziecki	
اتحاد		ettehād	związek	
آفریقا		āfriqā	Afryka	
آیا		āyā	czy	
بچه		bačče	dziecko	
بسیار		besyār	bardzo	
بفرمایید		befarmāyid	proszę (powiedzieć)	
بله		bale	tak	
پایتخت		pāyetaxt	stolica	
پاییز		pāyiz	jesień	
تابستان		tābestān	lato	
تقریبا		taqriban	w przybliżeniu; około	
تلفظ		talaffoz	wymowa	
تنبل		tambal	leniwy	
جالب		jāleb	interesujący	
جمع		jamʿ	liczba mnoga	
چطور		četowr	jaki; jak	
حتی		hattā	nawet	
خنک		xonak	chłodny	
خواهش می کنم		xāheš mikonam	nie ma za co	odpowiedź na podziękowanie
خواهر		xāhar	siostra	
خیلی		xeyli	bardzo	
خیلی لطف می فرمایید		xeyli lotf mifarmāyid	jest Pan bardzo uprzejmy	
خیلی ممنون		xeyli mamnun	dziękuję bardzo	
دانا		dānā	wiedzący	
در این صورت		dar in surat	w takim przypadku	
دستور		dastur	gramatyka	
دقیقه		daqiqe	minuta	
دم		dam-e	około	
روسیه		Rusiye	Rosja	
زمستان		zemestān	zima	
ساعی		sāʿi	pilny; staranny	
سال		sāl	rok	
سختگیر		saxtgir	srogi	
شوروی		šowravi	radziecki	
ظهر		zohr	południe	
فارس		fārs	Pers	
فرزند		farzand	dziecko; syn; córka	
فقط		faqat	tylko	
قابلی ندارد		qābel-i nadārad	proszę	odpowiedź na podziękowanie
کدام		kodām	który; jaki	
کو؟		ku?	gdzie?	potocznie
کوشا		kušā	staranny; pilny	
گرم		garm	ciepły; gorący	
لطف		lotf	uprzejmość	
مثل اینکه		mesl-e in ke	wydaje się, że; prawdopodobnie; widocznie	
مرسی		mersi	dziękuję	
مشکل		moškel	trudny	
معذرت می خوام		moʿazzerat mixām	przepraszam	potocznie
مفرد		mofred	liczba pojedyncza	
مگر		magar	czyż nie	
میهن		mihan	ojczyzna	
نانوایی		nānvāyi	sklep z pieczywem	
هفته		hafte	tydzień	
همسایه		hamsāye	sąsiad	
وطن		vatan	ojczyzna	
ولی		vali	ale	
