Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
در		dar	w; drzwi	
خانه		xāne	dom	
خوب		xub	dobry	
کتاب		ketāb	książka	
بد		bad	zły; źle	
قلم		qalam	obsadka; pióro do pisania	
بزرگ		bozorg	duży; wielki	
گچ		gač	kreda	
کشور		kešvar	kraj; państwo	
کوه		kuh	góra	
کوچک		kuček	mały	
صندلی		sandali	krzesło	
پاک کن		pākkon	gumka do ścierania	
قديمی		qadimi	starożytny	
ميز		miz	stół	
نو		naw	nowy	
# === 2 ===
کجا		kojā	dokąd; gdzie	
شهر		šahr	miasto	
در		dar	w; drzwi	
آنجا		ānjā	tam	
جوان		javān	młody	
اینجا		injā	tutaj	
این		in	ten; to	
اینها		inhā	oni; ci	
ایرانی		irāni	irański; Irańczyk	
ایران		Irān	Iran	
بچه		bačče	dziecko	
بله		bale	tak	
خیلی		xeyli	bardzo	
آن		ān	tamten; to; tamto	
آنها		ānhā	oni; tamci	
بود		bud	był	
بسیار		besyār	bardzo; dużo	
نیست		nist	nie jest	
تهران		Tehrān	Teheran	
پنجره		panjere	okno	
نخیر		naxeyr	nie	
ولی		vali	ale	
آمريکا		āmrikā	Ameryka	
آمریکائی		āmrikā'i	amerykański	
بلی		bale	tak	
چرا		čerā	dlaczego	
کاملاً		kāmelan	zupełnie; całkowicie	
است		-ast	jest	
اند		-and	są	
بودند		budand	byli	
نبود		nebud	nie był	
نبودند		nebudand	nie byli	
نیستند		nistand	nie są	
# === 3 ===
دانشجو		dānešju	student	
مرد		mard	mężczyzna; człowiek	
زن		zan	kobieta; żona	
پسر		pesar	chłopiec; syn	
دانشگاه		dānešgāh	uniwersytet	
تنبل		tanbal	leniwy	
خراب		xarāb	zepsuty; zrujnowany	
خوشحال		xošhāl	szczęśliwy	
دربارهٔ		darbāre-ye	co się tyczy ...; jeśli chodzi o ...	
زرنگ		zerang	mądry; bystry	
کهنه		kohne	stary; znoszony	
مشهور		mašhur	sławny; dobrze znany	
مفید		mofid	użyteczny; przydatny	
نسبتا		nesbatan	stosunkowo; względnie	
# === 4 ===
معلم		moʿallem	nauczyciel	
چه		če	co	
کی		ki	kto	
زرد		zard	złoty; żółty	
آقا		āqā	pan	
سفید		sefid	biały	
سیاه		siyāh	czarny	
سبز		sabz	zielony	
خانم		xānom	pani	
پزشک		pezešk	lekarz	
آبی		ābi	błękitny	
جعبه		jaʿbe	pudełko	
سرمه ای		sorme i	ciemnoniebieski	
قرمز		qermez	czerwony	
همیشه		hamiše	zawsze	
# === 5 ===
از		az	z; od	
به		be	do; ku	
پدر		pedar	ojciec	
دختر		doxtar	córka; dziewczyna; dziewczynka	
با		bā	z; przy pomocy	
مادر		mādar	matka	
جا		jā	miejsce	
امروز		emruz	dzisiaj	
یک		yek	jeden	
دور		dur	daleki; daleko; odległy	
راه		rāh	droga	
نزدیک		nazdik	bliski; blisko	
اسم		esm	imię	
برای		barā-ye	dla	
جدید		jadid	nowy	
یکی		yek-i	pewien; jakiś	
