Phrase	Grammar	Transcription	Translation	Notes
آمريکا		āmrikā	Ameryka	
آمریکائی		āmrikā'i	amerykański	
آن		ān	tamten; tamto	
آنها		ānhā	tamci	
ایران		Irān	Iran	
ایرانی		irāni	irański	
این		in	ten; to	
اینها		inhā	ci	
بچه		bačče	dziecko	
پنجره		panjere	okno	
تهران		Tehrān	Teheran	
جوان		javān	młody	
شهر		šahr	miasto	
آنجا		ānjā	tam	
اینجا		injā	tutaj	
بسیار		besyār	bardzo	
بله		bale	tak	
بلی		bale	tak	
چرا		čerā	dlaczego	
خیلی		xeyli	bardzo	
در		dar	w	
کاملاً		kāmelan	zupełnie; całkowicie	
کجا		kojā	gdzie	
نخیر		naxeyr	nie	
ولی		vali	ale	
است		-ast	jest	
اند		-and	są	
بود		bud	był	
بودند		budand	byli	
نبود		nebud	nie był	
نبودند		nebudand	nie byli	
نیست		nist	nie jest	
نیستند		nistand	nie są	
