Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
anteeksi			przepraszam	
auto			samochód	
bussi			autobus	
ei			nie	
harmaa			szary	
huone			pokój	
huono			zły	
hyvin			bardzo	
hyvä			dobry	
ikkuna			okno	
iso			duży	
ja			i	
joo			tak	
kartta			mapa	
kaunis			ładny	
kaupunki			miasto	
kello			zegar	
kirja			książka	
kissa			kot	
kiva			doskonały	
koira			pies	
kukka			kwiatek	
kuva			obrazek	
kyllä			tak	
lamppu			lampa	
liian			zbytnio	
linna			twierdza; zamek	
maa			kraj	
matto			dywan	
melko			dość	
mikä			co?	
millainen			jaki?	
minkälainen			jaki?	
Moskova			Moskwa	
mukava			wygodny; przyjemny	
musta			czarny	
mutta			ale	
myös			także; też	
niin			tak; w ten sposób	
ovi			drzwi	
paikka			miejsce	
pieni			mały	
Pietari			Petersburg	
puu			drzewo	
ruma			nieładny	
Ruotsi			Szwecja	
pöytä			stół	
se			to; ten	
sohva			tapczan; sofa	
Suomi			Finlandia	
suuri			ogromny	
talo			dom	
tiikeri			tygrys	
tuo			tamten; tamto	
tuoli			krzesło	
tämä			to; ten	
uusi			nowy	
valkoinen			biały	
vanha			stary	
Venäjä			Rosja	
niin on			tak, tak jest	
totta kai			tak, to prawda; oczywiście	
# === 2 ===

