Phrase	Grammar	Transcription	Translation	Notes
le front	N		czoło	
le menton	N		podbródek	
le cheveu	N		włosy	
l'œil	N		oko	
les yeux	N		oczy	
le cil	N		rzęsa	
le nez	N		nos	
le portrait	N		portret	
le sourcil	N		brew	
le visage	N		twarz	
la dent	N		ząb	
la langue	N		język	
la joue	N		policzek	
la fleur	N		kwiat	
la sœur	N		siostra	
la lèvre	N		warga	
l'oreille	N		ucho	
entendre	V		słyszeć	
sentir	V		czuć	
voir	V		widzieć	
beau	Adj		piękny	
belle	Adj		piękna	
blond	Adj		jasnowłosy	
blonde	Adj		jasmowłosa	
laid	Adj		brzydki	
laide	Adj		brzydka	
